book,model,relation,reset_taamim,n_words,n_pulses,n_accents,n_intervals,unique_intervals,mean_interval,median_interval,entropy_norm,top1_interval,top1_share,top3_intervals,top3_share,top5_intervals,top5_share,null_model,null_top3_mean,null_top3_sd,top3_z,top3_empirical_p,top3_empirical_p_tail,null_entropy_mean,null_entropy_sd,entropy_z,entropy_empirical_p,entropy_empirical_p_tail
deuteronomy,continuous,continuous,none,14269,32989,12693,12692,8,2.599118,2.0,0.69157227,2,0.3788213,2+3+1,0.82965648,2+3+1+4+5,0.98707847,not_applicable_distribution_preserved,,,,,,,,,,
deuteronomy,sof_only,within,sof_pasuq,14269,32989,12693,11739,8,2.604055,2,0.68865844,2,0.38240055,2+3+1,0.83158702,2+3+1+4+5,0.98679615,global_interval_shuffle,0.82975722,0.0009015,2.029731,0.02788845,upper,0.69147216,0.00083639,-3.36412,0.00398406,lower
deuteronomy,sof_only,cross_reset,sof_pasuq,14269,32989,12693,953,7,2.5383,2,0.76548722,2,0.33473242,2+3+1,0.80587618,2+3+1+4+5,0.99055614,global_interval_shuffle,0.83144176,0.00985647,-2.593788,1.0,upper,0.7227905,0.03142062,1.358876,0.92430279,lower
deuteronomy,sof_only,all,sof_pasuq,14269,32989,12693,12692,8,2.599118,2.0,0.69157227,2,0.3788213,2+3+1,0.82965648,2+3+1+4+5,0.98707847,not_applicable_distribution_preserved,,,,,,,,,,
deuteronomy,major,within,atnah+atnah_hafukh+sof_pasuq,14269,32989,12693,10831,8,2.604469,2,0.6853513,2,0.38657557,2+3+1,0.83408734,2+3+1+4+5,0.9866125,global_interval_shuffle,0.82978008,0.00138669,3.106151,0.00398406,upper,0.6914274,0.00121963,-4.981918,0.00398406,lower
deuteronomy,major,cross_reset,atnah+atnah_hafukh+sof_pasuq,14269,32989,12693,1861,7,2.567974,2,0.76797312,2,0.33369156,2+3+1,0.80386889,2+3+1+4+5,0.98979044,global_interval_shuffle,0.83065234,0.00707128,-3.787639,1.0,upper,0.70248961,0.02060091,3.17867,0.99601594,lower
deuteronomy,major,all,atnah+atnah_hafukh+sof_pasuq,14269,32989,12693,12692,8,2.599118,2.0,0.69157227,2,0.3788213,2+3+1,0.82965648,2+3+1+4+5,0.98707847,not_applicable_distribution_preserved,,,,,,,,,,
deuteronomy,major_minor,within,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,14269,32989,12693,8881,8,2.584844,2,0.66931887,2,0.39241076,2+3+1,0.84708929,2+3+1+4+5,0.98975341,global_interval_shuffle,0.82965477,0.00227985,7.647241,0.00398406,upper,0.69151671,0.00204136,-10.874059,0.00398406,lower
deuteronomy,major_minor,cross_reset,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,14269,32989,12693,3811,8,2.63238,2,0.7342134,2,0.34715298,2+3+1,0.78903175,2+3+1+4+5,0.98084492,global_interval_shuffle,0.83012018,0.00496544,-8.274887,1.0,upper,0.69369255,0.01082945,3.741729,0.97211155,lower
deuteronomy,major_minor,all,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,14269,32989,12693,12692,8,2.599118,2.0,0.69157227,2,0.3788213,2+3+1,0.82965648,2+3+1+4+5,0.98707847,not_applicable_distribution_preserved,,,,,,,,,,
