from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A5_C0,P<=4_A0-1_C0,25,0.11574074,0.05930202,1.95171665,12.836,3.40580416,3.57155,0.00796813,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,26,0.11504425,0.061926,1.85776961,14.36,3.42187623,3.401643,0.00398406,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,155,0.25876461,0.20939386,1.23577935,125.628,8.75053733,3.356594,0.00398406,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,64,0.0802005,0.05930202,1.35240757,47.004,5.33270428,3.187126,0.00398406,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,225,0.24064171,0.20939386,1.14923003,195.556,10.4681034,2.812735,0.01593625,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P13-15_A8+_C0,P<=4_A4_C0,3,0.75,0.20939386,3.58176692,0.836,0.77167736,2.804281,0.01992032,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,25,0.11061947,0.06743637,1.64035329,15.328,3.57428567,2.705995,0.00796813,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,24,0.09338521,0.05667804,1.64764375,14.792,3.6011957,2.556929,0.00796813,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,38,0.04761905,0.03306219,1.44028723,26.612,4.77752604,2.38366,0.01195219,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P7-9_A5_C0,4,0.01694915,0.00682236,2.48435463,1.524,1.05350057,2.35026,0.0438247,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A6-7_C0,3,0.02380952,0.00708475,3.36067019,0.944,0.92535893,2.221841,0.07968127,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P7-9_A5_C0,P5-6_A6-7_C0,4,0.15384615,0.061926,2.48435463,1.58,1.21056262,1.99907,0.07171315,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A3_C0,252,0.26951872,0.24560483,1.09736734,230.424,11.13355506,1.937925,0.02788845,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A4_C0,16,0.08080808,0.05195487,1.55535149,10.368,3.16109889,1.781659,0.07171315,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P<=4_A5_C0,4,0.11764706,0.05667804,2.07570806,1.744,1.28883996,1.750411,0.07968127,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P10-12_A8+_C0,P5-6_A5_C0,6,0.13636364,0.06743637,2.02210824,3.108,1.6623446,1.739711,0.09561753,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P5-6_A4_C0,6,0.09090909,0.05195487,1.74977043,3.328,1.57682004,1.69455,0.09561753,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,64,0.0802005,0.06743637,1.18927669,54.272,5.98911462,1.62428,0.06374502,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
