level,n_segments,n_incomplete_trailing,word_count_n,word_count_unique,word_count_mean,word_count_median,word_count_min,word_count_max,word_count_entropy_norm,word_count_top1,word_count_top1_share,word_count_top3,word_count_top3_share,word_count_top5,word_count_top5_share,pulse_count_n,pulse_count_unique,pulse_count_mean,pulse_count_median,pulse_count_min,pulse_count_max,pulse_count_entropy_norm,pulse_count_top1,pulse_count_top1_share,pulse_count_top3,pulse_count_top3_share,pulse_count_top5,pulse_count_top5_share,accent_count_n,accent_count_unique,accent_count_mean,accent_count_median,accent_count_min,accent_count_max,accent_count_entropy_norm,accent_count_top1,accent_count_top1_share,accent_count_top3,accent_count_top3_share,accent_count_top5,accent_count_top5_share,density_mean,shape_top5,bucket_shape_top5,book,run_label
verse,954,0,954,32,14.95702306,14.0,2,37,0.90545583,11,0.07232704,11+13+12,0.21278826,11+13+12+14+10,0.33333333,954,72,34.57966457,33.0,3,82,0.92734836,35,0.03773585,35+40+28,0.10691824,35+40+28+26+30,0.17085954,954,28,13.30503145,13.0,2,30,0.90523873,10,0.07861635,10+11+12,0.23165618,10+11+12+14+15,0.36897275,0.39091872,P40_A15+P24_A10+P20_A8+P30_A12+P29_A11,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P13-15_A6-7,deuteronomy,control_top200
major,1862,0,1862,26,7.66326531,7.0,1,29,0.82074432,6,0.12728249,6+5+4,0.349087,6+5+4+7+3,0.52685285,1862,58,17.716971,16.0,2,73,0.86618582,15,0.05155747,15+12+17,0.14930183,15+12+17+10+11,0.24489796,1862,22,6.81686359,6.0,1,26,0.82051125,5,0.13319012,5+6+3,0.38238453,5+6+3+4+7,0.59398496,0.39522289,P8_A3+P10_A4+P7_A3+P12_A5+P17_A6,P25+_A8++P19-24_A8++P16-18_A6-7+P7-9_A3+P13-15_A6-7,deuteronomy,control_top200
minor,3812,0,3812,15,3.74317943,3.0,1,16,0.70331394,3,0.28934942,3+4+2,0.67366212,3+4+2+5+1,0.86594963,3812,33,8.65398741,8.0,1,38,0.78417611,7,0.13221406,7+6+8,0.35440714,7+6+8+9+5,0.54197272,3812,13,3.32974816,3.0,1,13,0.67824191,3,0.35729276,3+2+4,0.75288562,3+2+4+5+1,0.91736621,0.40347269,P7_A3+P8_A3+P9_A3+P6_A3+P5_A2,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P1-4_A0-1,deuteronomy,control_top200
