book,run_label,feature_set,model_role,n_words,n_candidates,n_minor_boundaries_candidates,evaluation_mode,folds,split_mode,test_frac,include_edges,pos_cap,len_cap,alpha,test_candidates,gold_boundaries,predicted_boundaries,tp,fp,fn,precision,recall,f1,fold_f1_mean,fold_f1_sd,fold_f1_min,fold_f1_max,random_f1_mean,random_f1_sd,model_vs_random_f1_z,model_vs_random_empirical_p
genesis,control_random_words,structure,geometry_baseline,20596,14625,2455,cross_validation,5,random_words,NA,False,10,30,1.0,14625,2455,2455,733,1722,1722,0.29857434,0.29857434,0.29857434,0.2984344,0.01867541,0.27442827,0.31968811,0.16786314,0.00712327,18.349897,0.00199601
genesis,control_random_words,current_only,ablation,20596,14625,2455,cross_validation,5,random_words,NA,False,10,30,1.0,14625,2455,2455,1226,1229,1229,0.499389,0.499389,0.499389,0.49954452,0.01211474,0.48856549,0.51914894,0.16786314,0.00712327,46.54127,0.00199601
genesis,control_random_words,adjacent_only,strict_adjacency_primary,20596,14625,2455,cross_validation,5,random_words,NA,False,10,30,1.0,14625,2455,2455,1775,680,680,0.72301426,0.72301426,0.72301426,0.7232932,0.02545817,0.70542636,0.76715177,0.16786314,0.00712327,77.934909,0.00199601
genesis,control_random_words,local_taam,ablation,20596,14625,2455,cross_validation,5,random_words,NA,False,10,30,1.0,14625,2455,2455,1911,544,544,0.77841141,0.77841141,0.77841141,0.77861632,0.01936219,0.76382979,0.81081081,0.16786314,0.00712327,85.71184,0.00199601
genesis,control_random_words,structure_current,ablation,20596,14625,2455,cross_validation,5,random_words,NA,False,10,30,1.0,14625,2455,2455,1496,959,959,0.60936864,0.60936864,0.60936864,0.60938008,0.00504583,0.60210526,0.61489362,0.16786314,0.00712327,61.980765,0.00199601
genesis,control_random_words,structure_local,maximal_reconstruction,20596,14625,2455,cross_validation,5,random_words,NA,False,10,30,1.0,14625,2455,2455,1818,637,637,0.74052953,0.74052953,0.74052953,0.74055465,0.0110095,0.72978723,0.75883576,0.16786314,0.00712327,80.393792,0.00199601
exodus,control_random_words,structure,geometry_baseline,16701,12008,1949,cross_validation,5,random_words,NA,False,10,30,1.0,12008,1949,1949,586,1363,1363,0.30066701,0.30066701,0.30066701,0.30089042,0.01613649,0.28346457,0.32198953,0.16254387,0.00772607,17.877542,0.00199601
exodus,control_random_words,current_only,ablation,16701,12008,1949,cross_validation,5,random_words,NA,False,10,30,1.0,12008,1949,1949,913,1036,1036,0.46844536,0.46844536,0.46844536,0.46764694,0.03114578,0.43701799,0.51923077,0.16254387,0.00772607,39.593414,0.00199601
exodus,control_random_words,adjacent_only,strict_adjacency_primary,16701,12008,1949,cross_validation,5,random_words,NA,False,10,30,1.0,12008,1949,1949,1377,572,572,0.70651616,0.70651616,0.70651616,0.70622802,0.01435225,0.68766404,0.72355769,0.16254387,0.00772607,70.407373,0.00199601
exodus,control_random_words,local_taam,ablation,16701,12008,1949,cross_validation,5,random_words,NA,False,10,30,1.0,12008,1949,1949,1452,497,497,0.74499743,0.74499743,0.74499743,0.74483768,0.01329067,0.72251309,0.75480769,0.16254387,0.00772607,75.388078,0.00199601
exodus,control_random_words,structure_current,ablation,16701,12008,1949,cross_validation,5,random_words,NA,False,10,30,1.0,12008,1949,1949,1143,806,806,0.58645459,0.58645459,0.58645459,0.58643428,0.02245531,0.55380577,0.6167979,0.16254387,0.00772607,54.867575,0.00199601
exodus,control_random_words,structure_local,maximal_reconstruction,16701,12008,1949,cross_validation,5,random_words,NA,False,10,30,1.0,12008,1949,1949,1440,509,509,0.73884043,0.73884043,0.73884043,0.73883133,0.00946573,0.72703412,0.75065617,0.16254387,0.00772607,74.591165,0.00199601
leviticus,control_random_words,structure,geometry_baseline,11945,8609,1303,cross_validation,5,random_words,NA,False,10,30,1.0,8609,1303,1303,352,951,951,0.27014582,0.27014582,0.27014582,0.2698354,0.01535344,0.25,0.2851711,0.15137222,0.00898694,13.216249,0.00199601
leviticus,control_random_words,current_only,ablation,11945,8609,1303,cross_validation,5,random_words,NA,False,10,30,1.0,8609,1303,1303,574,729,729,0.44052187,0.44052187,0.44052187,0.44050581,0.04303252,0.3935743,0.4904943,0.15137222,0.00898694,32.174439,0.00199601
leviticus,control_random_words,adjacent_only,strict_adjacency_primary,11945,8609,1303,cross_validation,5,random_words,NA,False,10,30,1.0,8609,1303,1303,887,416,416,0.68073676,0.68073676,0.68073676,0.68068949,0.00556509,0.6730038,0.68725869,0.15137222,0.00898694,58.903779,0.00199601
