from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A2_C0,P<=4_A2_C0,45,0.20930233,0.08833196,2.36949703,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P7-9_A6-7_C1,38,0.16239316,0.09613804,1.68916648,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A3_C0,38,0.13013699,0.11996713,1.084772,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A5_C1,34,0.11643836,0.0788825,1.47609874,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P<=4_A2_C0,31,0.16230366,0.08833196,1.83742847,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C1,P<=4_A3_C1,26,0.5,0.02136401,23.40384615,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P<=4_A3_C0,24,0.1025641,0.11996713,0.85493502,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A6-7_C1,24,0.08219178,0.09613804,0.85493502,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A3_C0,23,0.10697674,0.11996713,0.89171711,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A5_C1,22,0.16296296,0.0788825,2.06589506,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A4_C0,20,0.06849315,0.05546426,1.23490614,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A5_C0,20,0.09302326,0.04724733,1.96885743,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P<=4_A3_C0,19,0.09947644,0.11996713,0.82919745,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A5_C1,19,0.08119658,0.0788825,1.02933583,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P<=4_A3_C0,19,0.1637931,0.11996713,1.36531649,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P10-12_A8+_C1,19,0.06506849,0.03944125,1.64975742,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A2_C0,19,0.06506849,0.08833196,0.73663587,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P5-6_A5_C1,18,0.09424084,0.0788825,1.19469895,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P7-9_A6-7_C1,17,0.08900524,0.09613804,0.9258066,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A2_C0,17,0.14782609,0.08833196,1.67352882,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C1,P5-6_A4_C0,17,0.17708333,0.05546426,3.19274691,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C1,P<=4_A3_C0,16,0.16666667,0.11996713,1.38926941,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A5_C1,16,0.0744186,0.0788825,0.94341085,numbers,major,transition_bucket_shape,accent_words
P7-9_A8+_C2,P<=4_A3_C0,15,0.1875,0.11996713,1.56292808,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A5_C0,14,0.05982906,0.04724733,1.26629506,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P<=4_A2_C0,14,0.05982906,0.08833196,0.67732061,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P10-12_A8+_C2,14,0.04794521,0.04765818,1.00602267,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C1,P7-9_A6-7_C1,13,0.23636364,0.09613804,2.45858586,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P7-9_A6-7_C1,13,0.11206897,0.09613804,1.16570881,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A4_C0,13,0.05555556,0.05546426,1.00164609,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A5_C0,13,0.04452055,0.04724733,0.94228708,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P13-15_A8+_C2,13,0.06046512,0.0221857,2.72540913,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A3_C0,13,0.2,0.11996713,1.66712329,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A3_C0,13,0.11304348,0.11996713,0.94228708,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P10-12_A8+_C2,13,0.05555556,0.04765818,1.16570881,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A8+_C1,12,0.04109589,0.0221857,1.85235921,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A3_C0,11,0.08148148,0.11996713,0.67919838,numbers,major,transition_bucket_shape,accent_words
P5-6_A6-7_C1,P7-9_A8+_C2,11,0.12087912,0.03286771,3.67774725,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P7-9_A6-7_C1,11,0.16923077,0.09613804,1.76028928,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P7-9_A6-7_C1,11,0.10280374,0.09613804,1.06933461,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A2_C0,11,0.10280374,0.08833196,1.16383395,numbers,major,transition_bucket_shape,accent_words
P5-6_A6-7_C0,P10-12_A8+_C1,11,0.2972973,0.03944125,7.53772523,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P5-6_A4_C0,10,0.05235602,0.05546426,0.94395967,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P<=4_A4_C0,10,0.05235602,0.04396056,1.19097715,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A6-7_C1,10,0.03424658,0.03738702,0.91600181,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P10-12_A8+_C1,10,0.07407407,0.03944125,1.87808642,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P7-9_A6-7_C2,10,0.04273504,0.02506163,1.70519826,numbers,major,transition_bucket_shape,accent_words
P5-6_A6-7_C1,P<=4_A3_C0,10,0.10989011,0.11996713,0.91600181,numbers,major,transition_bucket_shape,accent_words
P13-15_A8+_C2,P5-6_A6-7_C2,10,0.18518519,0.00986031,18.7808642,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P7-9_A8+_C2,10,0.0862069,0.03286771,2.62284483,numbers,major,transition_bucket_shape,accent_words
P7-9_A8+_C2,P7-9_A6-7_C1,10,0.125,0.09613804,1.30021368,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P13-15_A8+_C2,9,0.06666667,0.0221857,3.00493827,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P<=4_A4_C1,9,0.03846154,0.02013147,1.91051805,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P5-6_A6-7_C1,9,0.04712042,0.03738702,1.26034175,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C1,P7-9_A6-7_C1,9,0.09375,0.09613804,0.97516026,numbers,major,transition_bucket_shape,accent_words
P5-6_A6-7_C2,P5-6_A6-7_C0,9,0.375,0.01520131,24.66891892,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P5-6_A4_C0,9,0.07758621,0.05546426,1.39885057,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A4_C0,9,0.06666667,0.05546426,1.20197531,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P10-12_A8+_C2,9,0.04186047,0.04765818,0.87834804,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A4_C0,8,0.02739726,0.04396056,0.62322366,numbers,major,transition_bucket_shape,accent_words
