interval,count,share,cum_share,book,model,relation
1,1931,0.1335131,0.1335131,numbers,continuous,continuous
2,5571,0.38518979,0.5187029,numbers,continuous,continuous
3,4579,0.31660098,0.83530388,numbers,continuous,continuous
4,1730,0.11961557,0.95491945,numbers,continuous,continuous
5,497,0.03436355,0.989283,numbers,continuous,continuous
6,123,0.00850446,0.99778746,numbers,continuous,continuous
7,28,0.00193597,0.99972343,numbers,continuous,continuous
8,4,0.00027657,1.0,numbers,continuous,continuous
1,1762,0.13368741,0.13368741,numbers,sof_only,within
2,5192,0.3939302,0.5276176,numbers,sof_only,within
3,4088,0.31016692,0.83778452,numbers,sof_only,within
4,1549,0.11752656,0.95531108,numbers,sof_only,within
5,443,0.03361153,0.98892261,numbers,sof_only,within
6,115,0.00872534,0.99764795,numbers,sof_only,within
7,27,0.00204856,0.99969651,numbers,sof_only,within
8,4,0.00030349,1.0,numbers,sof_only,within
1,169,0.13172253,0.13172253,numbers,sof_only,cross_reset
2,379,0.2954014,0.42712393,numbers,sof_only,cross_reset
3,491,0.3826968,0.80982073,numbers,sof_only,cross_reset
4,181,0.1410756,0.95089634,numbers,sof_only,cross_reset
5,54,0.04208885,0.99298519,numbers,sof_only,cross_reset
6,8,0.00623539,0.99922058,numbers,sof_only,cross_reset
7,1,0.00077942,1.0,numbers,sof_only,cross_reset
1,1931,0.1335131,0.1335131,numbers,sof_only,all
2,5571,0.38518979,0.5187029,numbers,sof_only,all
3,4579,0.31660098,0.83530388,numbers,sof_only,all
4,1730,0.11961557,0.95491945,numbers,sof_only,all
5,497,0.03436355,0.989283,numbers,sof_only,all
6,123,0.00850446,0.99778746,numbers,sof_only,all
7,28,0.00193597,0.99972343,numbers,sof_only,all
8,4,0.00027657,1.0,numbers,sof_only,all
1,1553,0.12910466,0.12910466,numbers,major,within
2,4808,0.39970072,0.52880539,numbers,major,within
3,3737,0.31066589,0.83947128,numbers,major,within
4,1390,0.11555408,0.95502536,numbers,major,within
5,404,0.0335855,0.98861086,numbers,major,within
6,109,0.00906143,0.99767229,numbers,major,within
7,24,0.00199518,0.99966747,numbers,major,within
8,4,0.00033253,1.0,numbers,major,within
1,378,0.15529992,0.15529992,numbers,major,cross_reset
2,763,0.31347576,0.46877568,numbers,major,cross_reset
3,842,0.34593262,0.8147083,numbers,major,cross_reset
4,340,0.13968776,0.95439606,numbers,major,cross_reset
5,93,0.03820871,0.99260477,numbers,major,cross_reset
6,14,0.00575185,0.99835661,numbers,major,cross_reset
7,4,0.00164339,1.0,numbers,major,cross_reset
1,1931,0.1335131,0.1335131,numbers,major,all
2,5571,0.38518979,0.5187029,numbers,major,all
3,4579,0.31660098,0.83530388,numbers,major,all
4,1730,0.11961557,0.95491945,numbers,major,all
5,497,0.03436355,0.989283,numbers,major,all
6,123,0.00850446,0.99778746,numbers,major,all
7,28,0.00193597,0.99972343,numbers,major,all
8,4,0.00027657,1.0,numbers,major,all
1,1220,0.12237938,0.12237938,numbers,major_minor,within
2,4089,0.41017153,0.53255091,numbers,major_minor,within
3,3109,0.31186679,0.84441769,numbers,major_minor,within
4,1127,0.11305046,0.95746815,numbers,major_minor,within
5,330,0.03310262,0.99057077,numbers,major_minor,within
6,75,0.00752332,0.99809409,numbers,major_minor,within
7,17,0.00170529,0.99979938,numbers,major_minor,within
8,2,0.00020062,1.0,numbers,major_minor,within
1,711,0.15821095,0.15821095,numbers,major_minor,cross_reset
2,1482,0.32977303,0.48798398,numbers,major_minor,cross_reset
3,1470,0.3271028,0.81508678,numbers,major_minor,cross_reset
4,603,0.13417891,0.94926569,numbers,major_minor,cross_reset
5,167,0.03716066,0.98642635,numbers,major_minor,cross_reset
6,48,0.01068091,0.99710725,numbers,major_minor,cross_reset
7,11,0.00244771,0.99955496,numbers,major_minor,cross_reset
8,2,0.00044504,1.0,numbers,major_minor,cross_reset
1,1931,0.1335131,0.1335131,numbers,major_minor,all
2,5571,0.38518979,0.5187029,numbers,major_minor,all
3,4579,0.31660098,0.83530388,numbers,major_minor,all
4,1730,0.11961557,0.95491945,numbers,major_minor,all
5,497,0.03436355,0.989283,numbers,major_minor,all
6,123,0.00850446,0.99778746,numbers,major_minor,all
7,28,0.00193597,0.99972343,numbers,major_minor,all
8,4,0.00027657,1.0,numbers,major_minor,all
