book,run_label,model,comparator,observed_f1_difference,null_mean,null_sd,z,empirical_p_one_sided,permutations,cluster_unit,nonzero_clusters
genesis,main,current_only,structure,0.20081466,5.662e-05,0.01775979,11.304079,9.999e-05,10000,major_unit,910
genesis,main,adjacent_only,structure,0.42606925,-0.00016367,0.01850438,23.034164,9.999e-05,10000,major_unit,1037
genesis,main,local_taam,structure,0.4802444,-3.397e-05,0.01908409,25.166424,9.999e-05,10000,major_unit,1050
genesis,main,local_taam,adjacent_only,0.05417515,-0.00015169,0.00784158,6.928049,9.999e-05,10000,major_unit,334
genesis,main,structure_current,structure,0.30712831,-0.00016709,0.01342017,22.898021,9.999e-05,10000,major_unit,741
genesis,main,structure_local,structure,0.44562118,0.00018525,0.01755854,25.368618,9.999e-05,10000,major_unit,943
genesis,main,structure_local,structure_current,0.13849287,0.00014346,0.01073179,12.891545,9.999e-05,10000,major_unit,480
exodus,main,current_only,structure,0.16829143,-7.132e-05,0.01902474,8.849675,9.999e-05,10000,major_unit,743
exodus,main,adjacent_only,structure,0.39763982,0.00012242,0.02007588,19.800748,9.999e-05,10000,major_unit,865
exodus,main,local_taam,structure,0.43817342,-9.903e-05,0.02029937,21.59045,9.999e-05,10000,major_unit,850
exodus,main,local_taam,adjacent_only,0.04053361,7.18e-06,0.00996173,4.068211,0.00019998,10000,major_unit,313
exodus,main,structure_current,structure,0.28732683,-0.00016644,0.0156473,18.373352,9.999e-05,10000,major_unit,602
exodus,main,structure_local,structure,0.4325295,3.12e-05,0.01925687,22.459432,9.999e-05,10000,major_unit,761
exodus,main,structure_local,structure_current,0.14520267,-3.561e-05,0.01139822,12.742193,9.999e-05,10000,major_unit,403
leviticus,main,current_only,structure,0.17574827,-0.00024021,0.02266506,7.764747,9.999e-05,10000,major_unit,477
leviticus,main,adjacent_only,structure,0.41442824,0.00034336,0.02345128,17.657241,9.999e-05,10000,major_unit,586
leviticus,main,local_taam,structure,0.47122026,0.00011174,0.02521388,18.684494,9.999e-05,10000,major_unit,591
leviticus,main,local_taam,adjacent_only,0.05679202,-9.363e-05,0.01180635,4.818223,9.999e-05,10000,major_unit,205
leviticus,main,structure_current,structure,0.30928626,0.00015395,0.01832455,16.869848,9.999e-05,10000,major_unit,408
leviticus,main,structure_local,structure,0.44435917,-2.487e-05,0.02283165,19.46351,9.999e-05,10000,major_unit,524
leviticus,main,structure_local,structure_current,0.13507291,0.00014428,0.01401477,9.6276,9.999e-05,10000,major_unit,272
numbers,main,current_only,structure,0.16694215,0.00012672,0.01900172,8.778966,9.999e-05,10000,major_unit,664
numbers,main,adjacent_only,structure,0.41322314,5.18e-06,0.02151338,19.207488,9.999e-05,10000,major_unit,841
numbers,main,local_taam,structure,0.44352617,-0.0002076,0.02134837,20.785373,9.999e-05,10000,major_unit,828
numbers,main,local_taam,adjacent_only,0.03030303,-4.65e-05,0.01060368,2.862169,0.00229977,10000,major_unit,307
numbers,main,structure_current,structure,0.30578512,-2.42e-06,0.01598633,19.128067,9.999e-05,10000,major_unit,584
numbers,main,structure_local,structure,0.43360882,-0.00010711,0.02002475,21.658998,9.999e-05,10000,major_unit,739
numbers,main,structure_local,structure_current,0.12782369,-0.00011041,0.0123719,10.340699,9.999e-05,10000,major_unit,316
deuteronomy,main,current_only,structure,0.23181049,-0.00011213,0.02163655,10.719021,9.999e-05,10000,major_unit,706
deuteronomy,main,adjacent_only,structure,0.41229554,0.00019774,0.0214057,19.251776,9.999e-05,10000,major_unit,729
deuteronomy,main,local_taam,structure,0.46249295,4.986e-05,0.02238579,20.657883,9.999e-05,10000,major_unit,732
deuteronomy,main,local_taam,adjacent_only,0.05019741,-0.00012758,0.0105712,4.760574,9.999e-05,10000,major_unit,313
deuteronomy,main,structure_current,structure,0.31302876,-9.724e-05,0.01729522,18.104774,9.999e-05,10000,major_unit,535
deuteronomy,main,structure_local,structure,0.4427524,8.91e-06,0.02055749,21.536847,9.999e-05,10000,major_unit,676
deuteronomy,main,structure_local,structure_current,0.12972363,3.362e-05,0.01200713,10.80108,9.999e-05,10000,major_unit,332
