book,model,within_n,cross_n,within_top3_share,cross_top3_share,delta_top3_within_minus_cross,delta_top3_null_mean,delta_top3_null_sd,delta_top3_z,delta_top3_empirical_p,delta_top3_empirical_p_tail,within_entropy,cross_entropy,delta_entropy_within_minus_cross,delta_entropy_null_mean,delta_entropy_null_sd,delta_entropy_z,delta_entropy_empirical_p,delta_entropy_empirical_p_tail,null_model
genesis,sof_only,16599,1529,0.85270197,0.85938522,-0.00668325,1.123e-05,0.00918804,-0.728608,0.78642715,upper,0.66612726,0.71248788,-0.04636062,-0.0390657,0.0275437,-0.264849,0.36726547,lower,cyclic_shift
genesis,major,15133,2995,0.85515099,0.83105175,0.02409924,9.721e-05,0.00733156,3.273795,0.00199601,upper,0.6627226,0.73133542,-0.06861282,-0.02406889,0.02318827,-1.920968,0.00598802,lower,cyclic_shift
genesis,major_minor,12382,5746,0.86310774,0.82213714,0.0409706,-9.75e-05,0.00587857,6.986069,0.00199601,upper,0.64983719,0.74757779,-0.0977406,-0.01075662,0.01945082,-4.471996,0.00199601,lower,cyclic_shift
exodus,sof_only,13421,1204,0.84188958,0.85714286,-0.01525328,-0.00527031,0.00899186,-1.110222,0.8742515,upper,0.67035686,0.79690567,-0.12654881,-0.0520371,0.03034114,-2.455798,0.00199601,lower,cyclic_shift
exodus,major,12276,2349,0.84693711,0.83226905,0.01466806,-0.0031201,0.00668454,2.661091,0.00798403,upper,0.66572589,0.74939553,-0.08366964,-0.03368517,0.02728185,-1.832151,0.04590818,lower,cyclic_shift
exodus,major_minor,10117,4508,0.85736879,0.79813665,0.05923214,-0.00150113,0.00511278,11.878718,0.00199601,upper,0.64824912,0.76712755,-0.11887843,-0.01737391,0.0296221,-3.426648,0.00199601,lower,cyclic_shift
leviticus,sof_only,9480,856,0.85116034,0.75233645,0.09882389,0.00018006,0.01338228,7.371227,0.00199601,upper,0.71892451,0.80974424,-0.09081973,-0.01551721,0.0278477,-2.704083,0.00199601,lower,cyclic_shift
leviticus,major,8667,1669,0.85819776,0.7669263,0.09127146,4.586e-05,0.00995813,9.160918,0.00199601,upper,0.7119886,0.79567843,-0.08368983,-0.0058188,0.01953023,-3.987205,0.00199601,lower,cyclic_shift
leviticus,major_minor,7259,3077,0.86885246,0.78030549,0.08854697,9.57e-06,0.00730437,12.12115,0.00199601,upper,0.6948047,0.79107464,-0.09626994,-0.00036107,0.00827926,-11.584234,0.00199601,lower,cyclic_shift
numbers,sof_only,13180,1283,0.83778452,0.81917381,0.01861071,-0.00068339,0.00992629,1.943737,0.02195609,upper,0.68348769,0.74087607,-0.05738838,-0.03445794,0.02612401,-0.877753,0.11177645,lower,cyclic_shift
numbers,major,12029,2434,0.83947128,0.8147083,0.02476298,-0.00036304,0.0080071,3.137967,0.00399202,upper,0.68049553,0.75028251,-0.06978698,-0.02230563,0.02419405,-1.962522,0.00798403,lower,cyclic_shift
numbers,major_minor,9969,4494,0.84441769,0.81508678,0.02933091,-0.00030014,0.00699052,4.238749,0.00199601,upper,0.6706682,0.71248687,-0.04181867,-0.00902711,0.01953415,-1.678679,0.15369261,lower,cyclic_shift
deuteronomy,sof_only,11739,953,0.83158702,0.80587618,0.02571084,-0.00289459,0.01116934,2.561067,0.00598802,upper,0.68865844,0.76548722,-0.07682878,-0.02812545,0.03042498,-1.600768,0.06586826,lower,cyclic_shift
deuteronomy,major,10831,1861,0.83408734,0.80386889,0.03021845,-0.00201425,0.00854914,3.770286,0.00199601,upper,0.6853513,0.76797312,-0.08262182,-0.01126748,0.02116072,-3.372018,0.00199601,lower,cyclic_shift
deuteronomy,major_minor,8881,3811,0.84708929,0.78903175,0.05805754,-0.00060306,0.00696702,8.41975,0.00199601,upper,0.66931887,0.7342134,-0.06489453,-0.00162906,0.01077506,-5.87147,0.00199601,lower,cyclic_shift
