from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A4_C0,P<=4_A5_C0,64,0.05245902,0.05429864,0.96612022,66.096,7.0499779,-0.297306,0.63672655,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A5_C0,62,0.06512605,0.0673512,0.96696198,64.154,7.18509117,-0.299787,0.62874251,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,80,0.05249344,0.05429864,0.96675416,82.674,7.7544818,-0.344833,0.67864271,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,78,0.06393443,0.0673512,0.94926928,82.158,7.77418239,-0.534847,0.72055888,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A4_C0,43,0.04516807,0.04838148,0.93358171,46.412,6.29328745,-0.542165,0.71257485,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A6-7_C0,74,0.04855643,0.05325444,0.91178186,80.968,7.29694915,-0.95492,0.83832335,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A5_C0,92,0.06036745,0.0673512,0.8963085,102.272,8.63847571,-1.189099,0.8762475,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A6-7_C0,55,0.04508197,0.05325444,0.84653916,65.062,7.1828506,-1.400837,0.93612774,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A3_C0,28,0.1971831,0.26505395,0.74393571,37.58,5.30130245,-1.807103,0.9740519,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A2_C0,135,0.14180672,0.16568047,0.85590486,156.452,11.16175908,-1.921919,0.98203593,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A3_C0,67,0.21895425,0.26505395,0.82607427,81.346,7.11727442,-2.015659,0.98403194,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A6-7_C0,27,0.01771654,0.02471284,0.71689586,37.692,5.18912227,-2.060464,0.99201597,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A4_C0,51,0.16346154,0.21249565,0.76924652,66.206,6.9748736,-2.180111,0.99201597,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A2_C0,47,0.12144703,0.16568047,0.73301956,64.128,7.27994583,-2.352765,0.99201597,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A3_C0,56,0.20143885,0.26505395,0.75999188,72.946,7.12914676,-2.377003,0.99401198,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A4_C0,48,0.15686275,0.21249565,0.73819274,64.912,6.91577268,-2.445425,0.99800399,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A3_C0,81,0.20930233,0.26505395,0.78965933,102.338,8.41649754,-2.535259,1.0,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
