from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A2_C0,P<=4_A4_C0,171,0.24050633,0.19492657,1.23383041,138.68,9.40907335,3.434982,0.00199601,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A8+_C0,23,0.02628571,0.01513129,1.73717647,13.354,3.18951878,3.024281,0.00199601,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,167,0.19085714,0.15821095,1.20634599,138.682,9.55046065,2.965093,0.00199601,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,40,0.29411765,0.19492657,1.50886382,26.45,4.58579973,2.954774,0.00199601,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A4_C0,23,0.06609195,0.03871829,1.70699564,13.486,3.47591253,2.737123,0.00798403,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A5_C0,22,0.12643678,0.07743658,1.63277844,13.22,3.41157995,2.573588,0.01397206,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,222,0.31223629,0.27614597,1.13069289,196.38,10.38167416,2.46781,0.00399202,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,79,0.06365834,0.05184691,1.22781365,64.27,6.66016634,2.211656,0.01397206,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A0-1_C0,100,0.08058018,0.06875834,1.17193306,85.06,7.34958726,2.032767,0.01996008,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,36,0.10344828,0.07743658,1.33590963,26.512,4.92771964,1.925434,0.03592814,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,266,0.21434327,0.19492657,1.09961035,242.142,12.50337974,1.908124,0.03792415,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A3_C0,99,0.32038835,0.27614597,1.16021373,84.882,7.58915453,1.860286,0.04191617,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A0-1_C0,23,0.09871245,0.06875834,1.43564315,16.152,3.69326094,1.854188,0.05588822,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A5_C0,23,0.07443366,0.05184691,1.43564315,16.046,3.8269014,1.817136,0.04391218,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A3_C0,26,0.38235294,0.27614597,1.38460445,18.898,3.99543778,1.777527,0.05189621,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
