ngram_n,rank,pattern,count,share,book,model,relation
2,1,2-2,2220,0.15350574,numbers,continuous,continuous
2,2,3-2,1811,0.12522473,numbers,continuous,continuous
2,3,2-3,1793,0.12398009,numbers,continuous,continuous
2,4,3-3,1437,0.09936385,numbers,continuous,continuous
2,5,2-1,703,0.04861015,numbers,continuous,continuous
2,6,4-2,663,0.04584428,numbers,continuous,continuous
2,7,3-1,654,0.04522196,numbers,continuous,continuous
2,8,1-2,624,0.04314756,numbers,continuous,continuous
2,9,2-4,611,0.04224865,numbers,continuous,continuous
2,10,1-3,600,0.04148804,numbers,continuous,continuous
2,11,4-3,546,0.03775411,numbers,continuous,continuous
2,12,3-4,522,0.03609459,numbers,continuous,continuous
2,13,1-4,342,0.02364818,numbers,continuous,continuous
2,14,4-1,280,0.01936108,numbers,continuous,continuous
2,15,1-1,195,0.01348361,numbers,continuous,continuous
2,16,5-2,191,0.01320703,numbers,continuous,continuous
2,17,4-4,185,0.01279214,numbers,continuous,continuous
2,18,2-5,183,0.01265385,numbers,continuous,continuous
2,19,5-3,155,0.01071774,numbers,continuous,continuous
2,20,3-5,135,0.00933481,numbers,continuous,continuous
2,21,1-5,107,0.0073987,numbers,continuous,continuous
2,22,5-1,82,0.00567003,numbers,continuous,continuous
2,23,6-2,52,0.00359563,numbers,continuous,continuous
2,24,4-5,51,0.00352648,numbers,continuous,continuous
2,25,5-4,51,0.00352648,numbers,continuous,continuous
2,26,2-6,50,0.00345734,numbers,continuous,continuous
2,27,1-6,49,0.00338819,numbers,continuous,continuous
2,28,6-3,34,0.00235099,numbers,continuous,continuous
2,29,6-1,16,0.00110635,numbers,continuous,continuous
2,30,3-6,15,0.0010372,numbers,continuous,continuous
2,31,6-4,15,0.0010372,numbers,continuous,continuous
2,32,5-5,13,0.00089891,numbers,continuous,continuous
2,33,1-7,11,0.00076061,numbers,continuous,continuous
2,34,2-7,11,0.00076061,numbers,continuous,continuous
2,35,7-3,11,0.00076061,numbers,continuous,continuous
2,36,7-2,8,0.00055317,numbers,continuous,continuous
2,37,6-5,5,0.00034573,numbers,continuous,continuous
2,38,5-6,4,0.00027659,numbers,continuous,continuous
2,39,4-6,4,0.00027659,numbers,continuous,continuous
2,40,7-4,4,0.00027659,numbers,continuous,continuous
2,41,7-5,3,0.00020744,numbers,continuous,continuous
2,42,3-7,3,0.00020744,numbers,continuous,continuous
2,43,1-8,3,0.00020744,numbers,continuous,continuous
2,44,8-3,2,0.00013829,numbers,continuous,continuous
2,45,8-2,2,0.00013829,numbers,continuous,continuous
2,46,5-7,1,6.915e-05,numbers,continuous,continuous
2,47,3-8,1,6.915e-05,numbers,continuous,continuous
2,48,6-6,1,6.915e-05,numbers,continuous,continuous
2,49,7-7,1,6.915e-05,numbers,continuous,continuous
2,50,4-7,1,6.915e-05,numbers,continuous,continuous
3,1,2-2-2,921,0.06368854,numbers,continuous,continuous
3,2,3-2-2,722,0.04992739,numbers,continuous,continuous
3,3,2-3-2,696,0.04812945,numbers,continuous,continuous
3,4,2-2-3,677,0.04681557,numbers,continuous,continuous
3,5,3-2-3,604,0.04176751,numbers,continuous,continuous
3,6,3-3-2,588,0.04066109,numbers,continuous,continuous
3,7,2-3-3,575,0.03976212,numbers,continuous,continuous
3,8,3-3-3,450,0.03111818,numbers,continuous,continuous
3,9,2-2-1,272,0.01880921,numbers,continuous,continuous
3,10,4-2-2,263,0.01818685,numbers,continuous,continuous
3,11,2-2-4,262,0.0181177,numbers,continuous,continuous
3,12,2-3-1,254,0.01756448,numbers,continuous,continuous
3,13,2-4-2,235,0.01625061,numbers,continuous,continuous
3,14,4-3-2,230,0.01590485,numbers,continuous,continuous
3,15,1-2-2,229,0.0158357,numbers,continuous,continuous
3,16,3-2-1,228,0.01576654,numbers,continuous,continuous
3,17,3-1-2,224,0.01548994,numbers,continuous,continuous
3,18,2-1-3,222,0.01535164,numbers,continuous,continuous
3,19,3-1-3,221,0.01528248,numbers,continuous,continuous
3,20,1-2-3,220,0.01521333,numbers,continuous,continuous
3,21,3-4-2,218,0.01507503,numbers,continuous,continuous
3,22,1-3-2,217,0.01500588,numbers,continuous,continuous
3,23,2-4-3,213,0.01472927,numbers,continuous,continuous
3,24,2-1-2,200,0.0138303,numbers,continuous,continuous
3,25,3-3-1,200,0.0138303,numbers,continuous,continuous
3,26,4-2-3,194,0.01341539,numbers,continuous,continuous
3,27,2-3-4,191,0.01320794,numbers,continuous,continuous
3,28,1-3-3,178,0.01230897,numbers,continuous,continuous
3,29,3-2-4,177,0.01223982,numbers,continuous,continuous
3,30,3-3-4,168,0.01161745,numbers,continuous,continuous
3,31,4-3-3,167,0.0115483,numbers,continuous,continuous
3,32,3-4-3,155,0.01071848,numbers,continuous,continuous
3,33,2-1-4,132,0.009128,numbers,continuous,continuous
3,34,1-4-2,117,0.00809073,numbers,continuous,continuous
3,35,1-3-1,104,0.00719176,numbers,continuous,continuous
3,36,4-1-2,101,0.0069843,numbers,continuous,continuous
3,37,1-4-3,93,0.00643109,numbers,continuous,continuous
3,38,2-1-1,90,0.00622364,numbers,continuous,continuous
3,39,1-2-1,89,0.00615448,numbers,continuous,continuous
3,40,3-1-4,88,0.00608533,numbers,continuous,continuous
3,41,2-4-1,88,0.00608533,numbers,continuous,continuous
3,42,4-2-1,87,0.00601618,numbers,continuous,continuous
3,43,3-4-1,80,0.00553212,numbers,continuous,continuous
3,44,1-3-4,79,0.00546297,numbers,continuous,continuous
3,45,5-2-3,76,0.00525551,numbers,continuous,continuous
3,46,1-4-1,76,0.00525551,numbers,continuous,continuous
3,47,4-1-3,75,0.00518636,numbers,continuous,continuous
3,48,4-3-1,75,0.00518636,numbers,continuous,continuous
3,49,4-2-4,74,0.00511721,numbers,continuous,continuous
3,50,4-4-2,73,0.00504806,numbers,continuous,continuous
4,1,2-2-2-2,396,0.02738589,numbers,continuous,continuous
4,2,2-3-2-2,300,0.02074689,numbers,continuous,continuous
4,3,3-2-2-2,290,0.02005533,numbers,continuous,continuous
4,4,2-2-3-2,288,0.01991701,numbers,continuous,continuous
4,5,2-2-2-3,279,0.01929461,numbers,continuous,continuous
4,6,2-3-3-2,249,0.01721992,numbers,continuous,continuous
4,7,3-2-2-3,237,0.01639004,numbers,continuous,continuous
4,8,2-3-2-3,233,0.01611342,numbers,continuous,continuous
4,9,3-2-3-3,222,0.0153527,numbers,continuous,continuous
4,10,3-2-3-2,217,0.01500692,numbers,continuous,continuous
4,11,3-3-2-2,213,0.01473029,numbers,continuous,continuous
4,12,3-3-2-3,208,0.01438451,numbers,continuous,continuous
4,13,2-2-3-3,207,0.01431535,numbers,continuous,continuous
4,14,3-3-3-2,194,0.01341632,numbers,continuous,continuous
4,15,2-3-3-3,172,0.01189488,numbers,continuous,continuous
4,16,3-3-3-3,139,0.00961272,numbers,continuous,continuous
4,17,2-2-2-4,108,0.00746888,numbers,continuous,continuous
4,18,4-2-2-2,103,0.0071231,numbers,continuous,continuous
4,19,1-2-2-2,102,0.00705394,numbers,continuous,continuous
4,20,2-2-4-2,100,0.00691563,numbers,continuous,continuous
4,21,2-2-2-1,100,0.00691563,numbers,continuous,continuous
4,22,2-4-2-2,100,0.00691563,numbers,continuous,continuous
4,23,2-2-4-3,97,0.00670816,numbers,continuous,continuous
4,24,2-2-1-3,97,0.00670816,numbers,continuous,continuous
4,25,3-2-2-1,96,0.006639,numbers,continuous,continuous
4,26,4-3-2-2,95,0.00656985,numbers,continuous,continuous
4,27,2-2-3-1,93,0.00643154,numbers,continuous,continuous
4,28,2-4-3-2,92,0.00636238,numbers,continuous,continuous
4,29,2-3-1-3,91,0.00629322,numbers,continuous,continuous
4,30,1-3-2-2,90,0.00622407,numbers,continuous,continuous
4,31,3-1-2-3,88,0.00608575,numbers,continuous,continuous
4,32,2-1-3-2,86,0.00594744,numbers,continuous,continuous
4,33,3-1-2-2,86,0.00594744,numbers,continuous,continuous
4,34,2-3-1-2,85,0.00587828,numbers,continuous,continuous
4,35,4-2-3-2,84,0.00580913,numbers,continuous,continuous
4,36,3-4-2-2,83,0.00573997,numbers,continuous,continuous
4,37,2-3-3-1,82,0.00567082,numbers,continuous,continuous
4,38,3-1-3-3,80,0.0055325,numbers,continuous,continuous
4,39,3-3-4-2,80,0.0055325,numbers,continuous,continuous
4,40,3-3-2-1,79,0.00546335,numbers,continuous,continuous
4,41,1-2-3-2,79,0.00546335,numbers,continuous,continuous
4,42,3-2-2-4,77,0.00532503,numbers,continuous,continuous
4,43,3-4-2-3,77,0.00532503,numbers,continuous,continuous
4,44,3-2-3-1,73,0.00504841,numbers,continuous,continuous
4,45,4-3-2-3,73,0.00504841,numbers,continuous,continuous
4,46,2-2-1-2,73,0.00504841,numbers,continuous,continuous
4,47,2-4-3-3,72,0.00497925,numbers,continuous,continuous
4,48,3-2-1-3,72,0.00497925,numbers,continuous,continuous
4,49,2-3-2-1,72,0.00497925,numbers,continuous,continuous
4,50,3-2-1-2,71,0.0049101,numbers,continuous,continuous
5,1,2-2-2-2-2,179,0.01237983,numbers,continuous,continuous
5,2,2-3-2-2-2,132,0.00912926,numbers,continuous,continuous
5,3,2-2-3-2-2,126,0.0087143,numbers,continuous,continuous
5,4,2-2-2-3-2,122,0.00843765,numbers,continuous,continuous
5,5,3-2-2-2-2,120,0.00829933,numbers,continuous,continuous
5,6,2-2-2-2-3,117,0.00809185,numbers,continuous,continuous
5,7,3-2-2-3-2,104,0.00719275,numbers,continuous,continuous
5,8,2-3-3-2-3,99,0.00684695,numbers,continuous,continuous
5,9,2-2-3-2-3,99,0.00684695,numbers,continuous,continuous
5,10,2-3-2-3-3,96,0.00663946,numbers,continuous,continuous
5,11,3-2-2-2-3,93,0.00643198,numbers,continuous,continuous
5,12,3-2-3-2-2,92,0.00636282,numbers,continuous,continuous
5,13,3-2-3-3-2,90,0.0062245,numbers,continuous,continuous
5,14,2-3-3-2-2,87,0.00601701,numbers,continuous,continuous
