taam,rank,successor,count,prob,book,run_label,stream_type
revia,6,tevir,47,0.09179688,deuteronomy,main,core_projected
revia,7,merkha,18,0.03515625,deuteronomy,main,core_projected
revia,8,darga,12,0.0234375,deuteronomy,main,core_projected
revia,9,telisha_qetana,11,0.02148438,deuteronomy,main,core_projected
revia,10,geresh,5,0.00976562,deuteronomy,main,core_projected
sof_pasuq,1,munah,239,0.25078699,deuteronomy,main,core_projected
sof_pasuq,2,meteg,134,0.1406086,deuteronomy,main,core_projected
sof_pasuq,3,merkha,121,0.12696747,deuteronomy,main,core_projected
sof_pasuq,4,qadma,87,0.09129066,deuteronomy,main,core_projected
sof_pasuq,5,mahapakh,86,0.09024134,deuteronomy,main,core_projected
sof_pasuq,6,revia,66,0.06925498,deuteronomy,main,core_projected
sof_pasuq,7,pashta,55,0.05771249,deuteronomy,main,core_projected
sof_pasuq,8,tipeha,49,0.05141658,deuteronomy,main,core_projected
sof_pasuq,9,telisha_qetana,36,0.03777545,deuteronomy,main,core_projected
sof_pasuq,10,darga,29,0.03043022,deuteronomy,main,core_projected
telisha_qetana,1,qadma,109,0.92372881,deuteronomy,main,core_projected
telisha_qetana,2,meteg,4,0.03389831,deuteronomy,main,core_projected
telisha_qetana,3,tipeha,2,0.01694915,deuteronomy,main,core_projected
telisha_qetana,4,merkha,1,0.00847458,deuteronomy,main,core_projected
telisha_qetana,5,mahapakh,1,0.00847458,deuteronomy,main,core_projected
telisha_qetana,6,telisha_qetana,1,0.00847458,deuteronomy,main,core_projected
tevir,1,merkha,318,0.66666667,deuteronomy,main,core_projected
tevir,2,tipeha,139,0.29140461,deuteronomy,main,core_projected
tevir,3,meteg,13,0.02725367,deuteronomy,main,core_projected
tevir,4,tevir,3,0.00628931,deuteronomy,main,core_projected
tevir,5,darga,2,0.00419287,deuteronomy,main,core_projected
tevir,6,telisha_qetana,1,0.00209644,deuteronomy,main,core_projected
tevir,7,qadma,1,0.00209644,deuteronomy,main,core_projected
tipeha,1,meteg,593,0.31967655,deuteronomy,main,core_projected
tipeha,2,atnah,513,0.27654987,deuteronomy,main,core_projected
tipeha,3,merkha,374,0.20161725,deuteronomy,main,core_projected
tipeha,4,munah,369,0.19892183,deuteronomy,main,core_projected
tipeha,5,qadma,3,0.00161725,deuteronomy,main,core_projected
tipeha,6,pashta,2,0.00107817,deuteronomy,main,core_projected
tipeha,7,geresh,1,0.00053908,deuteronomy,main,core_projected
zaqef_gadol,1,merkha,31,0.44285714,deuteronomy,main,core_projected
zaqef_gadol,2,tipeha,21,0.3,deuteronomy,main,core_projected
zaqef_gadol,3,meteg,4,0.05714286,deuteronomy,main,core_projected
zaqef_gadol,4,pashta,4,0.05714286,deuteronomy,main,core_projected
zaqef_gadol,5,tevir,3,0.04285714,deuteronomy,main,core_projected
