k,pattern,observed_count,observed_share,enrichment_ratio,total_ngrams,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,rank,book,run_label,stream_type
3,pashta zaqef_qatan merkha,113,0.00775407,9.389281,14573,12.035,3.45884272,18,29.190399,True,0.00497512,0,200,45,deuteronomy,main,full
3,mahapakh meteg pashta,75,0.0051465,13.215859,14573,5.675,2.43908192,14,28.42258,True,0.00497512,0,200,46,deuteronomy,main,full
3,merkha tipeha merkha,152,0.01043025,6.831461,14573,22.25,4.63843458,24,27.972799,True,0.00497512,0,200,47,deuteronomy,main,full
3,pashta zaqef_qatan tipeha,118,0.00809717,8.566243,14573,13.775,3.74761231,20,27.811041,True,0.00497512,0,200,48,deuteronomy,main,full
3,darga meteg tevir,22,0.00150964,31.205674,14573,0.705,0.77522893,4,27.469305,True,0.00497512,0,200,49,deuteronomy,main,full
3,meteg sof_pasuq telisha_qetana,28,0.00192136,31.818182,14573,0.88,0.99020327,7,27.388316,True,0.00497512,0,200,50,deuteronomy,main,full
4,tipeha merkha meteg sof_pasuq,360,0.02470491,218.844985,14572,1.645,1.26370875,6,283.574044,True,0.00497512,0,200,1,deuteronomy,main,full
4,merkha tipeha meteg sof_pasuq,341,0.02340104,211.801242,14572,1.61,1.34795583,7,251.781247,True,0.00497512,0,200,2,deuteronomy,main,full
4,mahapakh pashta munah zaqef_qatan,165,0.01132309,305.555556,14572,0.54,0.77550437,5,212.068436,True,0.00497512,0,200,3,deuteronomy,main,full
4,munah zaqef_qatan merkha tipeha,230,0.01578369,104.072398,14572,2.21,1.52232961,8,149.63251,True,0.00497512,0,200,4,deuteronomy,main,full
4,pashta munah zaqef_qatan tipeha,184,0.01262696,108.235294,14572,1.7,1.39992821,7,130.220963,True,0.00497512,0,200,5,deuteronomy,main,full
4,tevir merkha tipeha atnah,96,0.00658798,206.451613,14572,0.465,0.75606426,5,126.358307,True,0.00497512,0,200,6,deuteronomy,main,full
4,pashta munah zaqef_qatan merkha,163,0.01118584,105.501618,14572,1.545,1.32163102,8,122.163447,True,0.00497512,0,200,7,deuteronomy,main,full
4,zaqef_qatan merkha tipeha atnah,131,0.00898984,123.584906,14572,1.06,1.06869573,6,121.587461,True,0.00497512,0,200,8,deuteronomy,main,full
4,merkha tipeha munah atnah,155,0.01063684,101.30719,14572,1.53,1.26772855,7,121.059039,True,0.00497512,0,200,9,deuteronomy,main,full
4,tevir merkha tipeha meteg,96,0.00658798,127.152318,14572,0.755,0.83574358,5,113.964381,True,0.00497512,0,200,10,deuteronomy,main,full
4,meteg sof_pasuq mahapakh pashta,71,0.00487236,184.415584,14572,0.385,0.62347301,3,113.260717,True,0.00497512,0,200,11,deuteronomy,main,full
4,zaqef_qatan tipeha munah atnah,121,0.0083036,93.076923,14572,1.3,1.08900397,6,109.916955,True,0.00497512,0,200,12,deuteronomy,main,full
4,pashta pashta munah zaqef_qatan,91,0.00624485,87.08134,14572,1.045,0.95263454,5,94.427607,True,0.00497512,0,200,13,deuteronomy,main,full
4,revia pashta munah zaqef_qatan,66,0.00452923,129.411765,14572,0.51,0.69448654,4,94.299883,True,0.00497512,0,200,14,deuteronomy,main,full
4,merkha tipeha merkha meteg,150,0.01029371,52.724077,14572,2.845,1.58224286,9,93.004054,True,0.00497512,0,200,15,deuteronomy,main,full
4,zaqef_qatan tipeha merkha meteg,130,0.00892122,60.324826,14572,2.155,1.44964907,8,88.19031,True,0.00497512,0,200,16,deuteronomy,main,full
4,zaqef_qatan merkha tipeha meteg,144,0.00988197,60.887949,14572,2.365,1.61393897,8,87.757346,True,0.00497512,0,200,17,deuteronomy,main,full
4,mahapakh pashta pashta zaqef_qatan,55,0.00377436,141.025641,14572,0.39,0.63237607,4,86.356841,True,0.00497512,0,200,18,deuteronomy,main,full
4,mahapakh pashta zaqef_qatan tipeha,61,0.00418611,118.446602,14572,0.515,0.74332879,5,81.370453,True,0.00497512,0,200,19,deuteronomy,main,full
4,tipeha meteg sof_pasuq munah,116,0.00796047,60.732984,14572,1.91,1.421974,9,80.233535,True,0.00497512,0,200,20,deuteronomy,main,full
4,pashta zaqef_qatan merkha tipeha,103,0.00706835,68.211921,14572,1.51,1.27200234,6,79.787589,True,0.00497512,0,200,21,deuteronomy,main,full
4,zaqef_qatan tevir merkha tipeha,64,0.00439198,104.065041,14572,0.615,0.7999843,5,79.232805,True,0.00497512,0,200,22,deuteronomy,main,full
4,zaqef_qatan tipeha meteg sof_pasuq,88,0.00603898,66.165414,14572,1.33,1.12133266,7,77.291961,True,0.00497512,0,200,23,deuteronomy,main,full
4,meteg sof_pasuq merkha tipeha,97,0.0066566,54.341737,14572,1.785,1.26759972,7,75.114406,True,0.00497512,0,200,24,deuteronomy,main,full
4,mahapakh pashta zaqef_qatan merkha,46,0.00315674,113.580247,14572,0.405,0.64268204,4,70.94488,True,0.00497512,0,200,25,deuteronomy,main,full
4,mahapakh pashta pashta munah,52,0.00356849,101.960784,14572,0.51,0.72976901,4,70.556572,True,0.00497512,0,200,26,deuteronomy,main,full
4,tipeha meteg sof_pasuq mahapakh,50,0.00343124,86.206897,14572,0.58,0.70432975,5,70.165998,True,0.00497512,0,200,27,deuteronomy,main,full
4,revia tevir merkha tipeha,35,0.00240187,129.62963,14572,0.27,0.50832269,3,68.322742,True,0.00497512,0,200,28,deuteronomy,main,full
4,tipeha atnah mahapakh pashta,45,0.00308811,115.384615,14572,0.39,0.66340071,4,67.244426,True,0.00497512,0,200,29,deuteronomy,main,full
4,atnah merkha tipeha meteg,78,0.00535273,49.52381,14572,1.575,1.16669658,6,65.505463,True,0.00497512,0,200,30,deuteronomy,main,full
4,meteg sof_pasuq munah revia,57,0.00391161,98.275862,14572,0.58,0.88175248,5,63.986211,True,0.00497512,0,200,31,deuteronomy,main,full
4,munah zaqef_qatan tipeha atnah,69,0.00473511,54.330709,14572,1.27,1.06431378,6,63.637248,True,0.00497512,0,200,32,deuteronomy,main,full
4,merkha tevir merkha tipeha,52,0.00356849,77.037037,14572,0.675,0.80786025,5,63.532028,True,0.00497512,0,200,33,deuteronomy,main,full
4,sof_pasuq mahapakh pashta zaqef_qatan,33,0.00226462,132.0,14572,0.25,0.5185019,4,63.162739,True,0.00497512,0,200,34,deuteronomy,main,full
4,revia mahapakh pashta munah,31,0.00212737,140.909091,14572,0.22,0.50285616,3,61.210346,True,0.00497512,0,200,35,deuteronomy,main,full
4,atnah pashta munah zaqef_qatan,55,0.00377436,67.901235,14572,0.81,0.89885466,5,60.287833,True,0.00497512,0,200,36,deuteronomy,main,full
4,tevir tipeha meteg sof_pasuq,39,0.00267637,92.857143,14572,0.42,0.64473126,4,59.838886,True,0.00497512,0,200,37,deuteronomy,main,full
4,tipeha meteg sof_pasuq revia,39,0.00267637,92.857143,14572,0.42,0.66770438,5,57.780061,True,0.00497512,0,200,38,deuteronomy,main,full
4,tipeha meteg sof_pasuq qadma,39,0.00267637,92.857143,14572,0.42,0.67518842,4,57.139606,True,0.00497512,0,200,39,deuteronomy,main,full
4,munah zaqef_qatan tipeha merkha,87,0.00597035,41.232227,14572,2.11,1.51968656,8,55.860203,True,0.00497512,0,200,40,deuteronomy,main,full
4,tipeha meteg sof_pasuq merkha,75,0.00514686,47.318612,14572,1.585,1.31965238,7,55.632075,True,0.00497512,0,200,41,deuteronomy,main,full
4,tipeha atnah merkha tipeha,70,0.00480373,42.813456,14572,1.635,1.24479822,7,54.920548,True,0.00497512,0,200,42,deuteronomy,main,full
4,merkha meteg sof_pasuq munah,72,0.00494098,44.036697,14572,1.635,1.2923334,7,54.448024,True,0.00497512,0,200,43,deuteronomy,main,full
4,sof_pasuq merkha tipeha atnah,52,0.00356849,66.242038,14572,0.785,0.94511439,6,54.189208,True,0.00497512,0,200,44,deuteronomy,main,full
