from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A0-1_C0,P5-6_A5_C0,27,0.15340909,0.08449789,1.81553759,14.832,3.52599508,3.450941,0.00199601,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A2_C0,213,0.28629032,0.24179396,1.18402597,180.354,10.29975018,3.169591,0.00199601,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A4_C0,34,0.12363636,0.08937277,1.38337851,24.218,4.48538888,2.180859,0.01596806,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P7-9_A6-7_C0,18,0.06545455,0.04322392,1.51431306,11.788,3.08189099,2.015646,0.05189621,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A5_C0,32,0.11636364,0.08449789,1.37711888,23.754,4.18766726,1.969115,0.03792415,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A0-1_C0,22,0.08461538,0.05719857,1.47932692,14.866,3.63241419,1.963983,0.04191617,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A3_C0,64,0.36363636,0.30256744,1.20183576,53.102,6.18806758,1.761131,0.04391218,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A0-1_C0,24,0.07643312,0.05719857,1.33627678,17.784,3.73808649,1.662883,0.06586826,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A4_C0,38,0.12101911,0.10204745,1.18591018,31.802,5.03642006,1.230636,0.14171657,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A3_C0,28,0.03007519,0.02469938,1.21764939,22.93,4.15688096,1.219664,0.13373253,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P7-9_A6-7_C0,38,0.05107527,0.04322392,1.18164363,32.248,4.98640396,1.153537,0.1497006,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A3_C0,294,0.31578947,0.30256744,1.04369947,281.224,11.4679052,1.114066,0.15369261,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A6-7_C0,P<=4_A2_C0,15,0.30612245,0.24179396,1.26604674,11.898,2.84037523,1.092109,0.17964072,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A6-7_C0,18,0.01933405,0.0159246,1.21409939,14.802,3.10387888,1.030324,0.19161677,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A3_C0,22,0.02956989,0.02469938,1.19719157,18.436,3.72312063,0.957261,0.22754491,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,accent_words
