from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A3_C0,P<=4_A3_C0,294,0.31578947,0.30256744,1.04369947,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A3_C0,231,0.31048387,0.30256744,1.0261642,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A2_C0,219,0.23523093,0.24179396,0.97285697,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A2_C0,213,0.28629032,0.24179396,1.18402597,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A3_C0,91,0.28980892,0.30256744,0.95783248,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A4_C0,85,0.09129968,0.10204745,0.89467869,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A4_C0,81,0.08700322,0.08937277,0.97348696,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A3_C0,80,0.30769231,0.30256744,1.01693795,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A5_C0,76,0.08163265,0.08449789,0.96609105,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A4_C0,75,0.10080645,0.10204745,0.98783902,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A2_C0,73,0.23248408,0.24179396,0.96149664,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A3_C0,67,0.24363636,0.30256744,0.80522996,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A3_C0,64,0.36363636,0.30256744,1.20183576,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A4_C0,63,0.08467742,0.08937277,0.94746334,leviticus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A0-1_C0,58,0.0622986,0.05719857,1.08916366,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A2_C0,56,0.20363636,0.24179396,0.84218964,leviticus,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A2_C0,54,0.20769231,0.24179396,0.85896402,leviticus,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A3_C0,42,0.31578947,0.30256744,1.04369947,leviticus,minor,transition_bucket_shape,accent_words
