measure,value,count,share,cum_share,level,book,run_label
word_count,2,3,0.00314465,0.00314465,verse,deuteronomy,control_large_ranges
word_count,3,2,0.00209644,0.00524109,verse,deuteronomy,control_large_ranges
word_count,4,9,0.00943396,0.01467505,verse,deuteronomy,control_large_ranges
word_count,5,14,0.01467505,0.0293501,verse,deuteronomy,control_large_ranges
word_count,6,30,0.03144654,0.06079665,verse,deuteronomy,control_large_ranges
word_count,7,25,0.02620545,0.0870021,verse,deuteronomy,control_large_ranges
word_count,8,45,0.04716981,0.13417191,verse,deuteronomy,control_large_ranges
word_count,9,46,0.04821803,0.18238994,verse,deuteronomy,control_large_ranges
word_count,10,55,0.05765199,0.24004193,verse,deuteronomy,control_large_ranges
word_count,11,69,0.07232704,0.31236897,verse,deuteronomy,control_large_ranges
word_count,12,66,0.06918239,0.38155136,verse,deuteronomy,control_large_ranges
word_count,13,68,0.07127883,0.45283019,verse,deuteronomy,control_large_ranges
word_count,14,60,0.06289308,0.51572327,verse,deuteronomy,control_large_ranges
word_count,15,45,0.04716981,0.56289308,verse,deuteronomy,control_large_ranges
word_count,16,51,0.05345912,0.6163522,verse,deuteronomy,control_large_ranges
word_count,17,55,0.05765199,0.67400419,verse,deuteronomy,control_large_ranges
word_count,18,45,0.04716981,0.721174,verse,deuteronomy,control_large_ranges
word_count,19,45,0.04716981,0.76834382,verse,deuteronomy,control_large_ranges
word_count,20,41,0.04297694,0.81132075,verse,deuteronomy,control_large_ranges
word_count,21,31,0.03249476,0.84381551,verse,deuteronomy,control_large_ranges
word_count,22,41,0.04297694,0.88679245,verse,deuteronomy,control_large_ranges
word_count,23,30,0.03144654,0.91823899,verse,deuteronomy,control_large_ranges
word_count,24,23,0.02410901,0.94234801,verse,deuteronomy,control_large_ranges
word_count,25,12,0.01257862,0.95492662,verse,deuteronomy,control_large_ranges
word_count,26,15,0.01572327,0.9706499,verse,deuteronomy,control_large_ranges
word_count,27,10,0.01048218,0.98113208,verse,deuteronomy,control_large_ranges
word_count,28,8,0.00838574,0.98951782,verse,deuteronomy,control_large_ranges
word_count,29,4,0.00419287,0.99371069,verse,deuteronomy,control_large_ranges
word_count,30,2,0.00209644,0.99580713,verse,deuteronomy,control_large_ranges
word_count,31,2,0.00209644,0.99790356,verse,deuteronomy,control_large_ranges
word_count,32,1,0.00104822,0.99895178,verse,deuteronomy,control_large_ranges
word_count,37,1,0.00104822,1.0,verse,deuteronomy,control_large_ranges
pulse_count,3,1,0.00104822,0.00104822,verse,deuteronomy,control_large_ranges
pulse_count,4,2,0.00209644,0.00314465,verse,deuteronomy,control_large_ranges
pulse_count,6,1,0.00104822,0.00419287,verse,deuteronomy,control_large_ranges
pulse_count,7,3,0.00314465,0.00733753,verse,deuteronomy,control_large_ranges
pulse_count,8,1,0.00104822,0.00838574,verse,deuteronomy,control_large_ranges
pulse_count,9,2,0.00209644,0.01048218,verse,deuteronomy,control_large_ranges
pulse_count,10,5,0.00524109,0.01572327,verse,deuteronomy,control_large_ranges
pulse_count,11,3,0.00314465,0.01886792,verse,deuteronomy,control_large_ranges
pulse_count,12,12,0.01257862,0.03144654,verse,deuteronomy,control_large_ranges
pulse_count,13,9,0.00943396,0.0408805,verse,deuteronomy,control_large_ranges
pulse_count,14,12,0.01257862,0.05345912,verse,deuteronomy,control_large_ranges
pulse_count,15,14,0.01467505,0.06813417,verse,deuteronomy,control_large_ranges
pulse_count,16,20,0.02096436,0.08909853,verse,deuteronomy,control_large_ranges
pulse_count,17,12,0.01257862,0.10167715,verse,deuteronomy,control_large_ranges
pulse_count,18,23,0.02410901,0.12578616,verse,deuteronomy,control_large_ranges
pulse_count,19,16,0.01677149,0.14255765,verse,deuteronomy,control_large_ranges
pulse_count,20,24,0.02515723,0.16771488,verse,deuteronomy,control_large_ranges
pulse_count,21,20,0.02096436,0.18867925,verse,deuteronomy,control_large_ranges
pulse_count,22,15,0.01572327,0.20440252,verse,deuteronomy,control_large_ranges
pulse_count,23,16,0.01677149,0.221174,verse,deuteronomy,control_large_ranges
pulse_count,24,30,0.03144654,0.25262055,verse,deuteronomy,control_large_ranges
pulse_count,25,22,0.0230608,0.27568134,verse,deuteronomy,control_large_ranges
pulse_count,26,31,0.03249476,0.3081761,verse,deuteronomy,control_large_ranges
pulse_count,27,19,0.01991614,0.32809224,verse,deuteronomy,control_large_ranges
pulse_count,28,32,0.03354298,0.36163522,verse,deuteronomy,control_large_ranges
pulse_count,29,22,0.0230608,0.38469602,verse,deuteronomy,control_large_ranges
pulse_count,30,30,0.03144654,0.41614256,verse,deuteronomy,control_large_ranges
pulse_count,31,27,0.02830189,0.44444444,verse,deuteronomy,control_large_ranges
pulse_count,32,29,0.03039832,0.47484277,verse,deuteronomy,control_large_ranges
pulse_count,33,27,0.02830189,0.50314465,verse,deuteronomy,control_large_ranges
pulse_count,34,22,0.0230608,0.52620545,verse,deuteronomy,control_large_ranges
pulse_count,35,36,0.03773585,0.5639413,verse,deuteronomy,control_large_ranges
pulse_count,36,20,0.02096436,0.58490566,verse,deuteronomy,control_large_ranges
pulse_count,37,19,0.01991614,0.6048218,verse,deuteronomy,control_large_ranges
pulse_count,38,17,0.01781971,0.62264151,verse,deuteronomy,control_large_ranges
pulse_count,39,22,0.0230608,0.64570231,verse,deuteronomy,control_large_ranges
pulse_count,40,34,0.03563941,0.68134172,verse,deuteronomy,control_large_ranges
pulse_count,41,23,0.02410901,0.70545073,verse,deuteronomy,control_large_ranges
pulse_count,42,23,0.02410901,0.72955975,verse,deuteronomy,control_large_ranges
pulse_count,43,16,0.01677149,0.74633124,verse,deuteronomy,control_large_ranges
pulse_count,44,14,0.01467505,0.76100629,verse,deuteronomy,control_large_ranges
pulse_count,45,23,0.02410901,0.7851153,verse,deuteronomy,control_large_ranges
pulse_count,46,14,0.01467505,0.79979036,verse,deuteronomy,control_large_ranges
pulse_count,47,22,0.0230608,0.82285115,verse,deuteronomy,control_large_ranges
pulse_count,48,16,0.01677149,0.83962264,verse,deuteronomy,control_large_ranges
pulse_count,49,15,0.01572327,0.85534591,verse,deuteronomy,control_large_ranges
pulse_count,50,10,0.01048218,0.86582809,verse,deuteronomy,control_large_ranges
pulse_count,51,16,0.01677149,0.88259958,verse,deuteronomy,control_large_ranges
pulse_count,52,12,0.01257862,0.8951782,verse,deuteronomy,control_large_ranges
pulse_count,53,12,0.01257862,0.90775681,verse,deuteronomy,control_large_ranges
pulse_count,54,11,0.0115304,0.91928721,verse,deuteronomy,control_large_ranges
pulse_count,55,13,0.01362683,0.93291405,verse,deuteronomy,control_large_ranges
pulse_count,56,4,0.00419287,0.93710692,verse,deuteronomy,control_large_ranges
pulse_count,57,5,0.00524109,0.94234801,verse,deuteronomy,control_large_ranges
pulse_count,58,5,0.00524109,0.9475891,verse,deuteronomy,control_large_ranges
pulse_count,59,5,0.00524109,0.95283019,verse,deuteronomy,control_large_ranges
pulse_count,60,6,0.00628931,0.9591195,verse,deuteronomy,control_large_ranges
pulse_count,61,6,0.00628931,0.96540881,verse,deuteronomy,control_large_ranges
pulse_count,62,2,0.00209644,0.96750524,verse,deuteronomy,control_large_ranges
pulse_count,63,3,0.00314465,0.9706499,verse,deuteronomy,control_large_ranges
pulse_count,64,9,0.00943396,0.98008386,verse,deuteronomy,control_large_ranges
pulse_count,65,2,0.00209644,0.98218029,verse,deuteronomy,control_large_ranges
pulse_count,66,1,0.00104822,0.98322851,verse,deuteronomy,control_large_ranges
pulse_count,67,2,0.00209644,0.98532495,verse,deuteronomy,control_large_ranges
pulse_count,68,2,0.00209644,0.98742138,verse,deuteronomy,control_large_ranges
pulse_count,71,1,0.00104822,0.9884696,verse,deuteronomy,control_large_ranges
pulse_count,72,2,0.00209644,0.99056604,verse,deuteronomy,control_large_ranges
pulse_count,73,1,0.00104822,0.99161426,verse,deuteronomy,control_large_ranges
pulse_count,75,4,0.00419287,0.99580713,verse,deuteronomy,control_large_ranges
pulse_count,76,1,0.00104822,0.99685535,verse,deuteronomy,control_large_ranges
pulse_count,77,2,0.00209644,0.99895178,verse,deuteronomy,control_large_ranges
pulse_count,82,1,0.00104822,1.0,verse,deuteronomy,control_large_ranges
accent_count,2,3,0.00314465,0.00314465,verse,deuteronomy,control_large_ranges
accent_count,3,9,0.00943396,0.01257862,verse,deuteronomy,control_large_ranges
accent_count,4,8,0.00838574,0.02096436,verse,deuteronomy,control_large_ranges
accent_count,5,18,0.01886792,0.03983229,verse,deuteronomy,control_large_ranges
accent_count,6,40,0.04192872,0.08176101,verse,deuteronomy,control_large_ranges
accent_count,7,51,0.05345912,0.13522013,verse,deuteronomy,control_large_ranges
accent_count,8,49,0.05136268,0.18658281,verse,deuteronomy,control_large_ranges
accent_count,9,58,0.06079665,0.24737945,verse,deuteronomy,control_large_ranges
accent_count,10,75,0.07861635,0.32599581,verse,deuteronomy,control_large_ranges
accent_count,11,74,0.07756813,0.40356394,verse,deuteronomy,control_large_ranges
accent_count,12,72,0.0754717,0.47903564,verse,deuteronomy,control_large_ranges
accent_count,13,56,0.05870021,0.53773585,verse,deuteronomy,control_large_ranges
accent_count,14,70,0.07337526,0.61111111,verse,deuteronomy,control_large_ranges
accent_count,15,61,0.0639413,0.67505241,verse,deuteronomy,control_large_ranges
accent_count,16,49,0.05136268,0.72641509,verse,deuteronomy,control_large_ranges
accent_count,17,48,0.05031447,0.77672956,verse,deuteronomy,control_large_ranges
accent_count,18,49,0.05136268,0.82809224,verse,deuteronomy,control_large_ranges
accent_count,19,49,0.05136268,0.87945493,verse,deuteronomy,control_large_ranges
accent_count,20,29,0.03039832,0.90985325,verse,deuteronomy,control_large_ranges
accent_count,21,27,0.02830189,0.93815514,verse,deuteronomy,control_large_ranges
accent_count,22,16,0.01677149,0.95492662,verse,deuteronomy,control_large_ranges
accent_count,23,14,0.01467505,0.96960168,verse,deuteronomy,control_large_ranges
accent_count,24,9,0.00943396,0.97903564,verse,deuteronomy,control_large_ranges
accent_count,25,7,0.00733753,0.98637317,verse,deuteronomy,control_large_ranges
accent_count,26,7,0.00733753,0.99371069,verse,deuteronomy,control_large_ranges
accent_count,27,3,0.00314465,0.99685535,verse,deuteronomy,control_large_ranges
accent_count,29,2,0.00209644,0.99895178,verse,deuteronomy,control_large_ranges
accent_count,30,1,0.00104822,1.0,verse,deuteronomy,control_large_ranges
word_count,1,1,0.00053706,0.00053706,major,deuteronomy,control_large_ranges
word_count,2,72,0.0386681,0.03920516,major,deuteronomy,control_large_ranges
word_count,3,154,0.08270677,0.12191192,major,deuteronomy,control_large_ranges
word_count,4,204,0.10955961,0.23147154,major,deuteronomy,control_large_ranges
word_count,5,209,0.1122449,0.34371643,major,deuteronomy,control_large_ranges
word_count,6,237,0.12728249,0.47099893,major,deuteronomy,control_large_ranges
word_count,7,177,0.09505908,0.566058,major,deuteronomy,control_large_ranges
word_count,8,148,0.07948443,0.64554243,major,deuteronomy,control_large_ranges
word_count,9,143,0.07679914,0.72234157,major,deuteronomy,control_large_ranges
word_count,10,114,0.06122449,0.78356606,major,deuteronomy,control_large_ranges
word_count,11,106,0.05692803,0.84049409,major,deuteronomy,control_large_ranges
word_count,12,76,0.04081633,0.88131042,major,deuteronomy,control_large_ranges
word_count,13,52,0.02792696,0.90923738,major,deuteronomy,control_large_ranges
word_count,14,47,0.02524168,0.93447905,major,deuteronomy,control_large_ranges
word_count,15,38,0.02040816,0.95488722,major,deuteronomy,control_large_ranges
word_count,16,18,0.00966702,0.96455424,major,deuteronomy,control_large_ranges
word_count,17,22,0.01181525,0.9763695,major,deuteronomy,control_large_ranges
word_count,18,10,0.00537057,0.98174006,major,deuteronomy,control_large_ranges
word_count,19,12,0.00644468,0.98818475,major,deuteronomy,control_large_ranges
word_count,20,9,0.00483351,0.99301826,major,deuteronomy,control_large_ranges
word_count,21,6,0.00322234,0.9962406,major,deuteronomy,control_large_ranges
word_count,22,2,0.00107411,0.99731472,major,deuteronomy,control_large_ranges
word_count,23,1,0.00053706,0.99785177,major,deuteronomy,control_large_ranges
word_count,24,2,0.00107411,0.99892589,major,deuteronomy,control_large_ranges
word_count,27,1,0.00053706,0.99946294,major,deuteronomy,control_large_ranges
word_count,29,1,0.00053706,1.0,major,deuteronomy,control_large_ranges
pulse_count,2,1,0.00053706,0.00053706,major,deuteronomy,control_large_ranges
pulse_count,3,10,0.00537057,0.00590763,major,deuteronomy,control_large_ranges
pulse_count,4,15,0.00805585,0.01396348,major,deuteronomy,control_large_ranges
pulse_count,5,33,0.01772288,0.03168636,major,deuteronomy,control_large_ranges
pulse_count,6,56,0.03007519,0.06176155,major,deuteronomy,control_large_ranges
pulse_count,7,76,0.04081633,0.10257787,major,deuteronomy,control_large_ranges
pulse_count,8,84,0.04511278,0.14769066,major,deuteronomy,control_large_ranges
pulse_count,9,82,0.04403867,0.19172932,major,deuteronomy,control_large_ranges
pulse_count,10,90,0.04833512,0.24006445,major,deuteronomy,control_large_ranges
pulse_count,11,88,0.04726101,0.28732546,major,deuteronomy,control_large_ranges
pulse_count,12,92,0.04940924,0.33673469,major,deuteronomy,control_large_ranges
pulse_count,13,86,0.0461869,0.38292159,major,deuteronomy,control_large_ranges
pulse_count,14,88,0.04726101,0.4301826,major,deuteronomy,control_large_ranges
pulse_count,15,96,0.05155747,0.48174006,major,deuteronomy,control_large_ranges
pulse_count,16,87,0.04672395,0.52846402,major,deuteronomy,control_large_ranges
pulse_count,17,90,0.04833512,0.57679914,major,deuteronomy,control_large_ranges
pulse_count,18,65,0.0349087,0.61170784,major,deuteronomy,control_large_ranges
pulse_count,19,64,0.03437164,0.64607948,major,deuteronomy,control_large_ranges
pulse_count,20,62,0.03329753,0.67937701,major,deuteronomy,control_large_ranges
pulse_count,21,61,0.03276047,0.71213749,major,deuteronomy,control_large_ranges
pulse_count,22,45,0.02416756,0.73630505,major,deuteronomy,control_large_ranges
