cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,621,0.53953084,numbers,explore_k3_7_edges20,core_projected
atnah,2,munah,484,0.42050391,numbers,explore_k3_7_edges20,core_projected
atnah,3,meteg,45,0.03909644,numbers,explore_k3_7_edges20,core_projected
paseq,1,munah,68,0.85,numbers,explore_k3_7_edges20,core_projected
revia,1,munah,264,0.53118712,numbers,explore_k3_7_edges20,core_projected
revia,2,geresh,61,0.12273642,numbers,explore_k3_7_edges20,core_projected
revia,3,sof_pasuq,52,0.10462777,numbers,explore_k3_7_edges20,core_projected
revia,4,meteg,50,0.10060362,numbers,explore_k3_7_edges20,core_projected
revia,5,atnah,45,0.09054326,numbers,explore_k3_7_edges20,core_projected
sof_pasuq,1,meteg,1283,0.99922118,numbers,explore_k3_7_edges20,core_projected
zaqef_gadol,1,zaqef_qatan,45,0.35714286,numbers,explore_k3_7_edges20,core_projected
zaqef_gadol,2,atnah,43,0.34126984,numbers,explore_k3_7_edges20,core_projected
zaqef_gadol,3,sof_pasuq,34,0.26984127,numbers,explore_k3_7_edges20,core_projected
zaqef_qatan,1,munah,756,0.55711127,numbers,explore_k3_7_edges20,core_projected
zaqef_qatan,2,pashta,421,0.31024318,numbers,explore_k3_7_edges20,core_projected
zaqef_qatan,3,meteg,125,0.09211496,numbers,explore_k3_7_edges20,core_projected
zaqef_qatan,4,qadma,31,0.02284451,numbers,explore_k3_7_edges20,core_projected
