relation,n_parent_segments,child_count_mean,child_count_median,child_count_entropy_norm,child_count_top5,child_count_top5_share,child_count_1_share,child_count_2_share,child_count_3_share,partition_exact_share,top_child_pulse_sequences,top_child_accent_sequences,top_child_bucket_sequences,book,run_label
verse_contains_major,1205,1.95020747,2,0.2153908,2+1+3,1.0,0.05394191,0.94190871,0.00414938,1.0,11+10+7+9+14+18+11+10+16,4+4+7+4+6+5+8+5+4,P25+_A8+ | P10-12_A4+P25+_A8+ | P16-18_A6-7+P25+_A8+ | P7-9_A3+P19-24_A8+ | P19-24_A8++P25+_A8+ | P13-15_A5,exodus,explore_ngram500
major_contains_minor,2350,1.9187234,2.0,0.60571076,1+2+3+4+5,0.99829787,0.40680851,0.35234043,0.1706383,1.0,8+9+10+7+11,4+3+2+5+3+3,P7-9_A3+P10-12_A4+P7-9_A4+P5-6_A2+P10-12_A5,exodus,explore_ngram500
