book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,-0.07500000000000007,0.009394444444444438,-0.08439444444444451,-7.9834417504435375,0.136607148173508,-0.6177893731977562,0.7485029940119761,0.2554890219560878,0.5109780439121756
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,-0.05138888888888894,0.01281666666666666,-0.0642055555555556,-4.009536194191597,0.15619931286502567,-0.4110488988580676,0.6586826347305389,0.34331337325349304,0.6866267465069861
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.20347222222222217,0.009545833333333332,-0.2130180555555555,-21.315291721227993,0.10722648929153204,-1.9866178307525555,0.9780439121756487,0.023952095808383235,0.04790419161676647
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.02359287680802102,0.01750803611788061,0.006084840690140411,1.3475455870190995,0.012499558977309847,0.48680443055519623,0.26147704590818366,0.7405189620758483,0.5229540918163673
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.26388888888888884,0.2304388888888889,0.03344999999999995,1.1451577906892643,0.0886822353012411,0.3771894098787091,0.3193612774451098,0.688622754491018,0.6387225548902196
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,-0.07500000000000007,0.0013277777777777767,-0.07632777777777784,-56.48535564853566,0.1224277790382841,-0.6234514615666561,0.7425149700598802,0.2634730538922156,0.5269461077844312
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,-0.05138888888888894,0.001824999999999995,-0.053213888888888936,-28.158295281583058,0.14503357026781638,-0.36690739110004067,0.6467065868263473,0.35528942115768464,0.7105788423153693
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.20347222222222217,0.0016861111111111135,-0.20515833333333328,-120.67545304777575,0.09810657513580089,-2.0911782217384456,0.9740518962075848,0.027944111776447105,0.05588822355289421
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.02359287680802102,0.017133235841077683,0.006459640966943337,1.3770239916651392,0.012829030793113504,0.5035174574848482,0.2375249500998004,0.7644710578842315,0.4750499001996008
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.26388888888888884,0.23036111111111113,0.03352777777777771,1.1455444350657178,0.09042087377138228,0.37079687885507995,0.3333333333333333,0.6786427145708582,0.6666666666666666
exodus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.041666666666666685,0.0037555555555555528,0.03791111111111113,11.09467455621303,0.06400617832832649,0.5923039322335738,0.27944111776447106,0.7305389221556886,0.5588822355289421
exodus,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.04305555555555557,0.005758333333333333,0.03729722222222224,7.477086348287509,0.07514133652821803,0.49636091059168097,0.3213572854291417,0.6826347305389222,0.6427145708582834
exodus,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.03680555555555559,0.0019541666666666657,-0.03875972222222226,-18.834399431414386,0.05015398455039105,-0.7728144148403469,0.782435129740519,0.21956087824351297,0.43912175648702595
exodus,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.01289939034121741,0.01152876605197682,0.0013706242892405907,1.1188873365164325,0.007665584907928617,0.17880231002632763,0.35528942115768464,0.6467065868263473,0.7105788423153693
exodus,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.1166666666666667,0.11291666666666667,0.003750000000000031,1.0332103321033212,0.03946747176043196,0.09501495364999758,0.46706586826347307,0.5429141716566867,0.9341317365269461
exodus,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.041666666666666685,0.0027722222222222232,0.03889444444444446,15.030060120240481,0.05875180559347796,0.6620127509538556,0.25149700598802394,0.7644710578842315,0.5029940119760479
exodus,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.04305555555555557,0.0037611111111111126,0.03929444444444446,11.447562776957163,0.06996481059948796,0.5616315417386699,0.2874251497005988,0.7145708582834331,0.5748502994011976
exodus,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.03680555555555559,0.002091666666666668,-0.03889722222222226,-17.596281540504656,0.04767808890923626,-0.8158301457147339,0.810379241516966,0.1936127744510978,0.3872255489021956
