from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A2_C0,P<=4_A4_C0,125,0.24850895,0.18719532,1.32753824,93.984,7.36973514,4.208564,0.00398406,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P7-9_A8+_C0,9,0.05325444,0.0201495,2.64296621,3.3,1.70811905,3.337004,0.01195219,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A0-1_C0,8,0.12903226,0.04777381,2.70089971,3.008,1.59565676,3.128492,0.00796813,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P7-9_A6-7_C0,15,0.08571429,0.03899903,2.19785714,6.868,2.64699876,3.072159,0.00796813,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P7-9_A5_C0,3,0.025,0.00649984,3.84625,0.764,0.77892934,2.870607,0.03187251,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A0-1_C0,16,0.09467456,0.04777381,1.98172523,8.176,2.83853008,2.756356,0.01593625,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A0-1_C0,15,0.09259259,0.04777381,1.93814563,7.624,2.72328646,2.708492,0.01992032,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,151,0.30019881,0.24894378,1.20588999,125.716,9.34712893,2.705002,0.00796813,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,15,0.10204082,0.05492363,1.85786741,8.1,2.67706307,2.577451,0.01593625,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P10-12_A6-7_C0,P<=4_A4_C0,3,0.5,0.18719532,2.67100694,1.076,0.92174969,2.087335,0.07569721,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A6-7_C0,3,0.01102941,0.0038999,2.828125,1.04,1.00520733,1.949847,0.09960159,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
