level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04428320726172463,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.025455370650529524,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012508415841584158,directional audit; books are not treated as independent replications
