taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,1151,0.07540124,1151,1151,18,3,3.53961769,0.84884445,1.18853019,0.74987906,merkha,0.16854909,tipeha,0.53953084,numbers,control_exclude_external,full
darga,237,0.01552571,237,237,4,11,0.76192838,0.38096419,2.92338575,0.84504799,tevir,0.85232068,atnah,0.24050633,numbers,control_exclude_external,full
geresh,223,0.01460858,223,223,10,5,2.48538104,0.74817424,0.71052315,0.30600567,munah,0.30941704,qadma,0.85201794,numbers,control_exclude_external,full
gershayim,114,0.00746806,114,114,7,7,2.51813354,0.89697726,1.95644705,0.6969005,mahapakh,0.28070175,meteg,0.53508772,numbers,control_exclude_external,full
mahapakh,567,0.03714379,567,567,2,11,0.50325833,0.50325833,2.95577926,0.85441182,pashta,0.88888889,meteg,0.21516755,numbers,control_exclude_external,full
merkha,1854,0.12145431,1854,1854,5,13,1.40072414,0.60325905,2.60090795,0.70286457,tipeha,0.57443366,tipeha,0.27508091,numbers,control_exclude_external,full
merkha_kefula,2,0.00013102,2,2,1,1,-0.0,0.0,-0.0,0.0,tipeha,1.0,darga,1.0,numbers,control_exclude_external,full
meteg,2148,0.14071405,2147,2148,23,23,3.7759789,0.83473575,2.74592805,0.60702784,munah,0.14904518,tipeha,0.37616387,numbers,control_exclude_external,full
munah,1886,0.12355061,1886,1886,17,16,2.51811035,0.61605706,2.88222499,0.72055625,zaqef_qatan,0.40084836,pashta,0.2804878,numbers,control_exclude_external,full
pashta,1217,0.07972486,1217,1217,7,10,1.78409928,0.63550899,2.38382553,0.71760299,munah,0.43467543,mahapakh,0.41413311,numbers,control_exclude_external,full
pazer,36,0.00235834,36,36,5,5,1.80609861,0.77784433,1.45709142,0.62753512,telisha_qetana,0.5,munah,0.5,numbers,control_exclude_external,full
qadma,435,0.02849656,435,434,7,10,2.23740345,0.79697919,2.55531572,0.76922668,geresh,0.43678161,meteg,0.37557604,numbers,control_exclude_external,full
qarney_para,1,6.551e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,telisha_qetana,1.0,meteg,1.0,numbers,control_exclude_external,full
revia,497,0.03255814,497,497,13,7,3.15489936,0.85257418,2.05438959,0.73178834,pashta,0.23943662,munah,0.50905433,numbers,control_exclude_external,full
segol,96,0.0062889,96,96,13,3,2.73575288,0.73930481,1.20298186,0.75899705,mahapakh,0.38541667,munah,0.52083333,numbers,control_exclude_external,full
telisha_gedola,50,0.00327547,50,50,7,7,1.94590696,0.69314605,2.40890856,0.85807054,qadma,0.58,atnah,0.28,numbers,control_exclude_external,full
telisha_qetana,88,0.00576482,88,88,2,9,0.26676499,0.26676499,2.40781819,0.75958207,qadma,0.95454545,meteg,0.375,numbers,control_exclude_external,full
tevir,576,0.03773338,576,576,4,9,1.19320401,0.59660201,2.42757494,0.76581463,merkha,0.58854167,darga,0.35069444,numbers,control_exclude_external,full
tipeha,2435,0.15951523,2435,2435,4,8,1.97079287,0.98539643,2.1466422,0.7155474,meteg,0.33182752,merkha,0.43737166,numbers,control_exclude_external,full
yerah_ben_yomo,1,6.551e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,meteg,1.0,munah,1.0,numbers,control_exclude_external,full
yetiv,72,0.00471667,72,72,3,6,0.9051213,0.57106796,2.13208547,0.82480325,munah,0.80555556,revia,0.30555556,numbers,control_exclude_external,full
zaqef_gadol,126,0.00825418,126,126,8,4,1.35226673,0.45075558,1.67108886,0.83554443,tipeha,0.69047619,zaqef_qatan,0.35714286,numbers,control_exclude_external,full
zaqef_qatan,1357,0.08889617,1357,1357,16,7,2.34886064,0.58721516,1.54735569,0.55117922,tipeha,0.44436256,munah,0.55711127,numbers,control_exclude_external,full
zarqa,1,6.551e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,meteg,1.0,meteg,1.0,numbers,control_exclude_external,full
zinor,95,0.00622339,95,95,3,4,1.16538162,0.73527394,1.28891771,0.64445885,munah,0.52631579,munah,0.70526316,numbers,control_exclude_external,full
