level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04541208459214502,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.026166031342651414,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.011844097995545658,directional audit; books are not treated as independent replications
