interval,count,share,cum_share,book,model,relation
1,2441,0.13465357,0.13465357,genesis,continuous,continuous
2,7283,0.40175419,0.53640777,genesis,continuous,continuous
3,5687,0.31371359,0.85012136,genesis,continuous,continuous
4,2090,0.11529126,0.96541262,genesis,continuous,continuous
5,497,0.02741615,0.99282877,genesis,continuous,continuous
6,102,0.00562665,0.99845543,genesis,continuous,continuous
7,24,0.00132392,0.99977935,genesis,continuous,continuous
8,4,0.00022065,1.0,genesis,continuous,continuous
1,2291,0.13802036,0.13802036,genesis,sof_only,within
2,6774,0.40809687,0.54611724,genesis,sof_only,within
3,5089,0.30658473,0.85270197,genesis,sof_only,within
4,1883,0.11344057,0.96614254,genesis,sof_only,within
5,442,0.02662811,0.99277065,genesis,sof_only,within
6,93,0.00560275,0.9983734,genesis,sof_only,within
7,23,0.00138563,0.99975902,genesis,sof_only,within
8,4,0.00024098,1.0,genesis,sof_only,within
1,150,0.09810334,0.09810334,genesis,sof_only,cross_reset
2,509,0.33289732,0.43100065,genesis,sof_only,cross_reset
3,598,0.3911053,0.82210595,genesis,sof_only,cross_reset
4,207,0.1353826,0.95748855,genesis,sof_only,cross_reset
5,55,0.03597122,0.99345978,genesis,sof_only,cross_reset
6,9,0.0058862,0.99934598,genesis,sof_only,cross_reset
7,1,0.00065402,1.0,genesis,sof_only,cross_reset
1,2441,0.13465357,0.13465357,genesis,sof_only,all
2,7283,0.40175419,0.53640777,genesis,sof_only,all
3,5687,0.31371359,0.85012136,genesis,sof_only,all
4,2090,0.11529126,0.96541262,genesis,sof_only,all
5,497,0.02741615,0.99282877,genesis,sof_only,all
6,102,0.00562665,0.99845543,genesis,sof_only,all
7,24,0.00132392,0.99977935,genesis,sof_only,all
8,4,0.00022065,1.0,genesis,sof_only,all
1,2069,0.13672107,0.13672107,genesis,major,within
2,6244,0.41260821,0.54932928,genesis,major,within
3,4628,0.30582171,0.85515099,genesis,major,within
4,1699,0.1122712,0.96742219,genesis,major,within
5,389,0.02570541,0.9931276,genesis,major,within
6,78,0.0051543,0.9982819,genesis,major,within
7,22,0.00145378,0.99973568,genesis,major,within
8,4,0.00026432,1.0,genesis,major,within
1,372,0.12420701,0.12420701,genesis,major,cross_reset
2,1039,0.34691152,0.47111853,genesis,major,cross_reset
3,1059,0.35358932,0.82470785,genesis,major,cross_reset
4,391,0.13055092,0.95525876,genesis,major,cross_reset
5,108,0.0360601,0.99131886,genesis,major,cross_reset
6,24,0.00801336,0.99933222,genesis,major,cross_reset
7,2,0.00066778,1.0,genesis,major,cross_reset
1,2441,0.13465357,0.13465357,genesis,major,all
2,7283,0.40175419,0.53640777,genesis,major,all
3,5687,0.31371359,0.85012136,genesis,major,all
4,2090,0.11529126,0.96541262,genesis,major,all
5,497,0.02741615,0.99282877,genesis,major,all
6,102,0.00562665,0.99845543,genesis,major,all
7,24,0.00132392,0.99977935,genesis,major,all
8,4,0.00022065,1.0,genesis,major,all
1,1603,0.12946212,0.12946212,genesis,major_minor,within
2,5254,0.42432563,0.55378776,genesis,major_minor,within
3,3830,0.30931998,0.86310774,genesis,major_minor,within
4,1342,0.10838314,0.97149087,genesis,major_minor,within
5,286,0.02309805,0.99458892,genesis,major_minor,within
6,50,0.00403812,0.99862704,genesis,major_minor,within
7,13,0.00104991,0.99967695,genesis,major_minor,within
8,4,0.00032305,1.0,genesis,major_minor,within
1,838,0.14584058,0.14584058,genesis,major_minor,cross_reset
2,2029,0.35311521,0.4989558,genesis,major_minor,cross_reset
3,1857,0.32318134,0.82213714,genesis,major_minor,cross_reset
4,748,0.13017751,0.95231465,genesis,major_minor,cross_reset
5,211,0.0367212,0.98903585,genesis,major_minor,cross_reset
6,52,0.00904977,0.99808562,genesis,major_minor,cross_reset
7,11,0.00191438,1.0,genesis,major_minor,cross_reset
1,2441,0.13465357,0.13465357,genesis,major_minor,all
2,7283,0.40175419,0.53640777,genesis,major_minor,all
3,5687,0.31371359,0.85012136,genesis,major_minor,all
4,2090,0.11529126,0.96541262,genesis,major_minor,all
5,497,0.02741615,0.99282877,genesis,major_minor,all
6,102,0.00562665,0.99845543,genesis,major_minor,all
7,24,0.00132392,0.99977935,genesis,major_minor,all
8,4,0.00022065,1.0,genesis,major_minor,all
