trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5609,15918,run_preserving_circular_translation,500,0.3523683879884408,0.3081639653222767,0.04420442266616409,1.1434444894293052,0.0036061342461683617,12.25811898520771,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,2987,15918,run_preserving_circular_translation,500,0.1876492021610755,0.16111571805503203,0.026533484106043476,1.1646858818391665,0.0026870521318962787,9.874569901745277,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1564,15918,run_preserving_circular_translation,500,0.09825354944088453,0.08298429450936047,0.015269254931524062,1.184001744207173,0.002015800905869349,7.574783247226954,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,5522,15681,run_preserving_circular_translation,500,0.35214590906192206,0.30792384371068715,0.04422206535123491,1.143613644264535,0.00364302156475835,12.138842596768503,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,2940,15681,run_preserving_circular_translation,500,0.1874880428544098,0.16091811334584843,0.026569929508561352,1.1651145974565134,0.0027140038098264485,9.789938176343389,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1538,15681,run_preserving_circular_translation,500,0.09808047956125247,0.08292223511833288,0.015158244442919591,1.1828007219208245,0.0020192698091047114,7.506794968444726,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,5338,15071,run_preserving_circular_translation,500,0.3541901665450202,0.30758567800675246,0.04660448853826776,1.1515170954651688,0.0037420459530538965,12.454280124548893,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2850,15071,run_preserving_circular_translation,500,0.18910490345697034,0.1600172748499432,0.029087628607027155,1.1817780526152828,0.002796266346831063,10.402309722745624,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1489,15071,run_preserving_circular_translation,500,0.09879901798155398,0.08248404860198696,0.016314969379567015,1.1977954484059359,0.002072220289863642,7.873182913695237,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,5093,14351,run_preserving_circular_translation,500,0.3548881611037558,0.30780274302255195,0.04708541808120387,1.152972704592675,0.0038587431088243527,12.202268135841111,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,2694,14351,run_preserving_circular_translation,500,0.18772210995749425,0.15953676286178403,0.028185347095710217,1.1766699197734682,0.002883216530639186,9.775660896846256,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,1404,14351,run_preserving_circular_translation,500,0.09783290363040903,0.08223358254105648,0.015599321089352552,1.1896952632650333,0.002131576440718676,7.31820862314144,0.001996007984031936,1.0,0.003992015968063872
