level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04340718382130998,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.0248614548747359,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012903926895529758,directional audit; books are not treated as independent replications
