excluded_book,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
NONE,minor,robustness,5609,15918,run_preserving_circular_translation,500,0.3523683879884408,0.3081639653222767,0.04420442266616409,1.1434444894293052,0.0036061342461683617,12.25811898520771,0.001996007984031936,1.0,0.003992015968063872
NONE,major,robustness,2987,15918,run_preserving_circular_translation,500,0.1876492021610755,0.16111571805503203,0.026533484106043476,1.1646858818391665,0.0026870521318962787,9.874569901745277,0.001996007984031936,1.0,0.003992015968063872
NONE,verse,exploratory,1564,15918,run_preserving_circular_translation,500,0.09825354944088453,0.08298429450936047,0.015269254931524062,1.184001744207173,0.002015800905869349,7.574783247226954,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,4145,11869,run_preserving_circular_translation,500,0.3492290841688432,0.3051202291684219,0.044108855000421276,1.1445622111671718,0.004182550804187919,10.545922109602545,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,2240,11869,run_preserving_circular_translation,500,0.18872693571488752,0.15971404499115344,0.029012890723734086,1.1816552246569243,0.0031994359626268606,9.06812671440793,0.001996007984031936,1.0,0.003992015968063872
genesis,verse,exploratory,1171,11869,run_preserving_circular_translation,500,0.09866037576880951,0.08258421096975314,0.016076164799056367,1.1946639025823511,0.002303201570057175,6.979920910116994,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,robustness,4443,12605,run_preserving_circular_translation,500,0.3524791749305831,0.30806521221737404,0.044413962713209076,1.1441706526794402,0.004116378555579519,10.78957197777849,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,2372,12605,run_preserving_circular_translation,500,0.18817929393097976,0.1612063466878223,0.026972947243157464,1.1673193878364532,0.0030919204528754413,8.7236873180463,0.001996007984031936,1.0,0.003992015968063872
exodus,verse,exploratory,1246,12605,run_preserving_circular_translation,500,0.09884966283220945,0.08314192780642603,0.015707735025783418,1.1889267598215274,0.002311433056028904,6.7956694591751114,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,robustness,4809,13557,run_preserving_circular_translation,500,0.35472449657003763,0.30994703843033117,0.04477745813970646,1.1444680948283086,0.003855471721854975,11.614002480133035,0.001996007984031936,1.0,0.003992015968063872
leviticus,major,robustness,2539,13557,run_preserving_circular_translation,500,0.18728332226893857,0.16103415209854688,0.02624917017039169,1.1630037468966719,0.0029163625326881345,9.000654025751977,0.001996007984031936,1.0,0.003992015968063872
leviticus,verse,exploratory,1342,13557,run_preserving_circular_translation,500,0.09898945194364535,0.08300095891421405,0.015988493029431297,1.192630220645478,0.0021488011348023,7.440657383542528,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,robustness,4380,12570,run_preserving_circular_translation,500,0.34844868735083534,0.30737979315831343,0.04106889419252191,1.1336096096966586,0.0039203049779027496,10.475943689078136,0.001996007984031936,1.0,0.003992015968063872
numbers,major,robustness,2270,12570,run_preserving_circular_translation,500,0.1805887032617343,0.15917311058074782,0.021415592680986473,1.1345427792599583,0.0029291748543041865,7.311134959907902,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,exploratory,1177,12570,run_preserving_circular_translation,500,0.09363564041368337,0.08143770883054893,0.012197931583134439,1.149782352159676,0.0021582306278592964,5.651820257612279,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,robustness,4659,13071,run_preserving_circular_translation,500,0.35643791599724584,0.3099277790528651,0.04651013694438072,1.1500676612032488,0.00407562140043209,11.411790344277268,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,robustness,2527,13071,run_preserving_circular_translation,500,0.1933287430188968,0.1642538443883406,0.029074898630556206,1.177011982512965,0.0029832929494326274,9.74590800279462,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,verse,exploratory,1320,13071,run_preserving_circular_translation,500,0.10098691760385586,0.08466559559329813,0.016321322010557734,1.1927739584914665,0.002313530498236467,7.054725244814786,0.001996007984031936,1.0,0.003992015968063872
