scope,level,metric_role,metric,eligible_blocks,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
ALL,minor,robustness,positive_block_difference_share,70,run_preserving_circular_translation,500,0.8285714285714286,0.4959142857142857,0.33265714285714293,1.670795644408596,0.06122591821462941,5.43327323717715,0.001996007984031936,1.0,0.003992015968063872
ALL,minor,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.039932897053836125,-0.00018281100528556878,0.040115708059121694,-218.43814595000453,0.004295545652382344,9.338908559119423,0.001996007984031936,1.0,0.003992015968063872
ALL,major,robustness,positive_block_difference_share,70,run_preserving_circular_translation,500,0.7857142857142857,0.4942285714285714,0.2914857142857143,1.5897791652214128,0.05702270224593509,5.111748528306427,0.001996007984031936,1.0,0.003992015968063872
ALL,major,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.022692168026672926,-0.00031527996342518784,0.023007447990098115,-71.97465953797443,0.0032352725029041155,7.111440526090359,0.001996007984031936,1.0,0.003992015968063872
ALL,verse,exploratory,positive_block_difference_share,70,run_preserving_circular_translation,500,0.7857142857142857,0.4881714285714286,0.2975428571428571,1.609504857778298,0.05953290292445216,4.997956466534849,0.001996007984031936,1.0,0.003992015968063872
ALL,verse,exploratory,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.015808190254556,-0.0005096792291454976,0.016317869483701498,-31.015959353609944,0.002506849002919825,6.5093148668689,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,positive_block_difference_share,18,run_preserving_circular_translation,500,0.9444444444444444,0.4986666666666667,0.4457777777777777,1.8939393939393938,0.11914593189202792,3.7414435448937455,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.045381730745814086,-3.207822488215861e-05,0.045413808970696246,-1414.7207619039627,0.008653886783683425,5.2477932870952575,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,positive_block_difference_share,18,run_preserving_circular_translation,500,0.8333333333333334,0.4973333333333333,0.3360000000000001,1.6756032171581772,0.12299874535142499,2.7317351818508397,0.005988023952095809,1.0,0.011976047904191617
genesis,major,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.01685954770139099,-0.00019666840973546438,0.017056216111126454,-85.72575394324134,0.006917200709266404,2.4657685714219113,0.005988023952095809,0.9960079840319361,0.011976047904191617
genesis,verse,exploratory,positive_block_difference_share,18,run_preserving_circular_translation,500,0.7777777777777778,0.4916666666666667,0.2861111111111111,1.5819209039548021,0.11737220526130211,2.437639392342938,0.013972055888223553,0.998003992015968,0.027944111776447105
genesis,verse,exploratory,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.01442366355063144,-0.000340326017774579,0.014763989568406018,-42.38190087536948,0.004892854201091321,3.017459536217736,0.003992015968063872,0.998003992015968,0.007984031936127744
exodus,minor,robustness,positive_block_difference_share,15,run_preserving_circular_translation,500,0.8,0.496,0.30400000000000005,1.6129032258064517,0.1323026832683298,2.297761409596222,0.021956087824351298,0.9960079840319361,0.043912175648702596
exodus,minor,robustness,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.03576956823025168,-0.0003774770208619136,0.03614704525111359,-94.75959132181636,0.009231205733665315,3.915744735196271,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,positive_block_difference_share,15,run_preserving_circular_translation,500,0.8,0.4928,0.30720000000000003,1.6233766233766234,0.1319652479506126,2.3278855969335823,0.021956087824351298,0.9960079840319361,0.043912175648702596
exodus,major,robustness,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.019269604854992795,-0.0005352237523582849,0.01980482860735108,-36.0028955555274,0.007183495922092873,2.7569903041834047,0.007984031936127744,0.9940119760479041,0.015968063872255488
exodus,verse,exploratory,positive_block_difference_share,15,run_preserving_circular_translation,500,0.6666666666666666,0.48506666666666665,0.18159999999999998,1.3743815283122596,0.126206603102479,1.438910449499555,0.10578842315369262,0.9481037924151696,0.21157684630738524
exodus,verse,exploratory,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.016983701272288473,-0.0004527963813152547,0.01743649765360373,-37.508473947948254,0.005402046766861537,3.227757627084359,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,robustness,positive_block_difference_share,10,run_preserving_circular_translation,500,0.7,0.49760000000000004,0.2023999999999999,1.4067524115755625,0.15935570275330593,1.2701145707557742,0.16367265469061876,0.9481037924151696,0.3273453093812375
leviticus,minor,robustness,median_block_hit_rate_difference,10,run_preserving_circular_translation,500,0.039932897053836125,-0.00035318897534670183,0.04028608602918283,-113.06382656660415,0.01095544422172001,3.6772663174454,0.001996007984031936,1.0,0.003992015968063872
leviticus,major,robustness,positive_block_difference_share,10,run_preserving_circular_translation,500,0.7,0.49839999999999995,0.2016,1.404494382022472,0.1525694595913612,1.3213653672233039,0.17165668662674652,0.9580838323353293,0.34331337325349304
leviticus,major,robustness,median_block_hit_rate_difference,10,run_preserving_circular_translation,500,0.02888599164614597,-0.0002895049906096553,0.029175496636755626,-99.77718030116263,0.008221041409782633,3.5488808756075874,0.001996007984031936,1.0,0.003992015968063872
leviticus,verse,exploratory,positive_block_difference_share,10,run_preserving_circular_translation,500,0.7,0.487,0.21299999999999997,1.4373716632443532,0.16263763402115758,1.309659976806418,0.15169660678642716,0.9520958083832335,0.3033932135728543
leviticus,verse,exploratory,median_block_hit_rate_difference,10,run_preserving_circular_translation,500,0.01458397471699796,-0.0004033501859206466,0.014987324902918608,-36.157104238616,0.006074029232076239,2.467443657296263,0.00998003992015968,0.9920159680638723,0.01996007984031936
numbers,minor,robustness,positive_block_difference_share,14,run_preserving_circular_translation,500,0.8571428571428571,0.495,0.3621428571428571,1.7316017316017316,0.1338804675516064,2.70497155982267,0.005988023952095809,1.0,0.011976047904191617
numbers,minor,robustness,median_block_hit_rate_difference,14,run_preserving_circular_translation,500,0.04930818098005557,0.000142237675261834,0.049165943304793736,346.6604814040167,0.009423155122995233,5.21756701052438,0.001996007984031936,1.0,0.003992015968063872
numbers,major,robustness,positive_block_difference_share,14,run_preserving_circular_translation,500,0.8571428571428571,0.4908571428571428,0.36628571428571427,1.7462165308498254,0.13115686199730303,2.7927300844788903,0.007984031936127744,1.0,0.015968063872255488
numbers,major,robustness,median_block_hit_rate_difference,14,run_preserving_circular_translation,500,0.05308619064433334,-0.0003800019624428446,0.05346619260677619,-139.69978024078742,0.007243848693933816,7.380909633238218,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,exploratory,positive_block_difference_share,14,run_preserving_circular_translation,500,0.9285714285714286,0.4891428571428571,0.4394285714285715,1.8983644859813087,0.13187997016458658,3.332034204133982,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,exploratory,median_block_hit_rate_difference,14,run_preserving_circular_translation,500,0.03020040117684228,-0.00046940832389701055,0.03066980950073929,-64.33716583063476,0.005463065519327196,5.614029228138642,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,robustness,positive_block_difference_share,13,run_preserving_circular_translation,500,0.7692307692307693,0.4916923076923077,0.27753846153846157,1.5644555694618274,0.13731008401278338,2.021253308042715,0.041916167664670656,0.9840319361277445,0.08383233532934131
deuteronomy,minor,robustness,median_block_hit_rate_difference,13,run_preserving_circular_translation,500,0.030984164782661416,-0.0005707707740733383,0.031554935556734755,-54.28477804065046,0.01010137411879878,3.123826044420099,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,robustness,positive_block_difference_share,13,run_preserving_circular_translation,500,0.6923076923076923,0.492,0.2003076923076923,1.4071294559099436,0.1268457573348283,1.5791438083258098,0.10978043912175649,0.9800399201596807,0.21956087824351297
deuteronomy,major,robustness,median_block_hit_rate_difference,13,run_preserving_circular_translation,500,0.015572209688098276,-0.000527086142809775,0.01609929583090805,-29.543955766103824,0.007820184610683453,2.058684881801152,0.021956087824351298,0.9800399201596807,0.043912175648702596
deuteronomy,verse,exploratory,positive_block_difference_share,13,run_preserving_circular_translation,500,0.8461538461538461,0.4867692307692308,0.35938461538461536,1.7383059418457647,0.13535873878579274,2.655052925347856,0.00998003992015968,0.998003992015968,0.01996007984031936
deuteronomy,verse,exploratory,median_block_hit_rate_difference,13,run_preserving_circular_translation,500,0.008743553742836613,-0.00023442739427945741,0.00897798113711607,-37.29749148861652,0.005573508018401989,1.6108312946664058,0.07385229540918163,0.9281437125748503,0.14770459081836326
