taam,rank,predecessor,count,prob,book,run_label,stream_type
revia,10,paseq,1,0.00197239,exodus,main,full
segol,1,munah,37,0.45679012,exodus,main,full
segol,2,zinor,35,0.43209877,exodus,main,full
segol,3,meteg,6,0.07407407,exodus,main,full
segol,4,atnah,1,0.01234568,exodus,main,full
segol,5,zarqa,1,0.01234568,exodus,main,full
segol,6,paseq,1,0.01234568,exodus,main,full
sof_pasuq,1,meteg,1200,0.99585062,exodus,main,full
sof_pasuq,2,atnah,3,0.00248963,exodus,main,full
sof_pasuq,3,tipeha,1,0.00082988,exodus,main,full
sof_pasuq,4,zaqef_qatan,1,0.00082988,exodus,main,full
telisha_gedola,1,munah,12,0.27906977,exodus,main,full
telisha_gedola,2,atnah,9,0.20930233,exodus,main,full
telisha_gedola,3,sof_pasuq,6,0.13953488,exodus,main,full
telisha_gedola,4,zaqef_qatan,6,0.13953488,exodus,main,full
telisha_gedola,5,revia,5,0.11627907,exodus,main,full
telisha_gedola,6,meteg,2,0.04651163,exodus,main,full
telisha_gedola,7,paseq,1,0.02325581,exodus,main,full
telisha_gedola,8,segol,1,0.02325581,exodus,main,full
telisha_gedola,9,pazer,1,0.02325581,exodus,main,full
telisha_qetana,1,sof_pasuq,26,0.28888889,exodus,main,full
telisha_qetana,2,pazer,19,0.21111111,exodus,main,full
telisha_qetana,3,atnah,11,0.12222222,exodus,main,full
telisha_qetana,4,munah,11,0.12222222,exodus,main,full
telisha_qetana,5,meteg,10,0.11111111,exodus,main,full
telisha_qetana,6,revia,5,0.05555556,exodus,main,full
telisha_qetana,7,segol,2,0.02222222,exodus,main,full
telisha_qetana,8,zaqef_qatan,2,0.02222222,exodus,main,full
telisha_qetana,9,tevir,2,0.02222222,exodus,main,full
telisha_qetana,10,merkha,1,0.01111111,exodus,main,full
tevir,1,darga,189,0.32307692,exodus,main,full
tevir,2,merkha,145,0.24786325,exodus,main,full
tevir,3,zaqef_qatan,70,0.11965812,exodus,main,full
tevir,4,atnah,55,0.09401709,exodus,main,full
tevir,5,meteg,39,0.06666667,exodus,main,full
tevir,6,sof_pasuq,38,0.06495726,exodus,main,full
tevir,7,revia,37,0.06324786,exodus,main,full
tevir,8,zaqef_gadol,9,0.01538462,exodus,main,full
tevir,9,tevir,1,0.0017094,exodus,main,full
tevir,10,paseq,1,0.0017094,exodus,main,full
tipeha,1,merkha,1153,0.49126545,exodus,main,full
tipeha,2,zaqef_qatan,591,0.25181082,exodus,main,full
tipeha,3,tevir,193,0.08223264,exodus,main,full
tipeha,4,atnah,144,0.06135492,exodus,main,full
tipeha,5,meteg,135,0.05752024,exodus,main,full
tipeha,6,sof_pasuq,70,0.02982531,exodus,main,full
tipeha,7,zaqef_gadol,46,0.01959949,exodus,main,full
tipeha,8,munah,4,0.0017043,exodus,main,full
tipeha,9,paseq,2,0.00085215,exodus,main,full
tipeha,10,qadma,2,0.00085215,exodus,main,full
yetiv,1,revia,32,0.35555556,exodus,main,full
yetiv,2,atnah,23,0.25555556,exodus,main,full
yetiv,3,zaqef_qatan,22,0.24444444,exodus,main,full
yetiv,4,sof_pasuq,7,0.07777778,exodus,main,full
yetiv,5,pashta,3,0.03333333,exodus,main,full
