cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,439,0.5399754,leviticus,explore_k3_7_edges20,full
atnah,2,munah,335,0.41205412,leviticus,explore_k3_7_edges20,full
atnah,3,meteg,38,0.04674047,leviticus,explore_k3_7_edges20,full
paseq,1,munah,47,0.87037037,leviticus,explore_k3_7_edges20,full
revia,1,munah,175,0.56089744,leviticus,explore_k3_7_edges20,full
revia,2,sof_pasuq,46,0.1474359,leviticus,explore_k3_7_edges20,full
revia,3,geresh,38,0.12179487,leviticus,explore_k3_7_edges20,full
revia,4,meteg,30,0.09615385,leviticus,explore_k3_7_edges20,full
sof_pasuq,1,meteg,856,0.99883314,leviticus,explore_k3_7_edges20,full
zaqef_gadol,1,zaqef_qatan,24,0.43636364,leviticus,explore_k3_7_edges20,full
zaqef_qatan,1,munah,571,0.57852077,leviticus,explore_k3_7_edges20,full
zaqef_qatan,2,pashta,309,0.31306991,leviticus,explore_k3_7_edges20,full
zaqef_qatan,3,meteg,69,0.06990881,leviticus,explore_k3_7_edges20,full
zaqef_qatan,4,qadma,21,0.0212766,leviticus,explore_k3_7_edges20,full
