book,coverage_unit,tokens,eligible_stream_positions,analyzed_total_arrivals,active_positions,active_rate,boundary_test_burst_ends,fixed_blocks_total,fixed_blocks_included,included_blocks_with_activity,canonical_verses_total,canonical_verses_with_analyzable_tokens,complete_represented_canonical_verses,complete_canonical_verses_with_activity,complete_canonical_verse_activity_coverage,complete_canonical_verses_with_burst_end,complete_canonical_verse_burst_end_coverage
genesis,canonical_chapter_verse,18128,18108,10980,6873,0.3795559973492379,4034,10,9,9,1533,1533,1530,1501,0.9810457516339869,1485,0.9705882352941176
exodus,canonical_chapter_verse,14626,14606,9826,5896,0.4036697247706422,3306,8,7,7,1210,1210,1206,1185,0.9825870646766169,1174,0.9734660033167496
leviticus,canonical_chapter_verse,10336,10316,7263,4306,0.4174098487785964,2363,6,5,5,859,859,857,841,0.9813302217036173,837,0.9766627771295215
numbers,canonical_chapter_verse,14463,14443,10198,6144,0.4253963857924254,3345,8,7,7,1288,1288,1286,1267,0.9852255054432348,1252,0.973561430793157
deuteronomy,canonical_chapter_verse,12690,12670,8743,5066,0.3998421468034728,2840,7,6,6,956,956,955,937,0.981151832460733,928,0.9717277486910995
