k,observed_entropy,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
2,5.63411119,7.21547838,0.0011041,200,-1432.264811,True,0.00497512,0,200,genesis,control_exclude_meteg,full
3,7.25841942,10.59770776,0.00395891,200,-843.486724,True,0.00497512,0,200,genesis,control_exclude_meteg,full
4,8.78669528,13.04678345,0.00703044,200,-605.949358,True,0.00497512,0,200,genesis,control_exclude_meteg,full
5,10.19621918,13.97345189,0.00462205,199,-817.220696,True,0.00497512,0,200,genesis,control_exclude_meteg,full
6,11.42607119,14.12580091,0.00163193,155,-1654.319041,True,0.00497512,0,200,genesis,control_exclude_meteg,full
2,5.73243474,7.30274153,0.00151664,200,-1035.382081,True,0.00497512,0,200,exodus,control_exclude_meteg,full
3,7.37147343,10.67636976,0.00526193,200,-628.076413,True,0.00497512,0,200,exodus,control_exclude_meteg,full
4,8.89356865,12.9678604,0.00824368,200,-494.232077,True,0.00497512,0,200,exodus,control_exclude_meteg,full
5,10.27557079,13.72086689,0.00454601,199,-757.872954,True,0.00497512,0,200,exodus,control_exclude_meteg,full
6,11.45059789,13.83016298,0.00154459,113,-1540.576046,True,0.00497512,0,200,exodus,control_exclude_meteg,full
2,5.71551703,7.32299368,0.0020359,200,-789.566495,True,0.00497512,0,200,leviticus,control_exclude_meteg,full
3,7.3082986,10.6186653,0.00630199,200,-525.28907,True,0.00497512,0,200,leviticus,control_exclude_meteg,full
4,8.79739015,12.66907327,0.00832426,200,-465.108287,True,0.00497512,0,200,leviticus,control_exclude_meteg,full
5,10.12687483,13.24661738,0.00462528,195,-674.498261,True,0.00497512,0,200,leviticus,control_exclude_meteg,full
6,11.22657126,13.32284548,0.00167084,73,-1254.626694,True,0.00497512,0,200,leviticus,control_exclude_meteg,full
2,5.74193376,7.33790491,0.00138551,200,-1151.898022,True,0.00497512,0,200,numbers,control_exclude_meteg,full
3,7.36847769,10.71571606,0.00486725,200,-687.706062,True,0.00497512,0,200,numbers,control_exclude_meteg,full
4,8.88505297,12.97199566,0.00809147,200,-505.092751,True,0.00497512,0,200,numbers,control_exclude_meteg,full
5,10.25199696,13.702281,0.00426076,199,-809.782032,True,0.00497512,0,200,numbers,control_exclude_meteg,full
6,11.39033832,13.80893819,0.00155131,124,-1559.068753,True,0.00497512,0,200,numbers,control_exclude_meteg,full
2,5.82591714,7.40819307,0.00164932,200,-959.353089,True,0.00497512,0,200,deuteronomy,control_exclude_meteg,full
3,7.48763264,10.78673776,0.00566356,200,-582.514588,True,0.00497512,0,200,deuteronomy,control_exclude_meteg,full
4,9.01155505,12.93793992,0.00850126,200,-461.859296,True,0.00497512,0,200,deuteronomy,control_exclude_meteg,full
5,10.38362321,13.55347432,0.003928,187,-806.987988,True,0.00497512,0,200,deuteronomy,control_exclude_meteg,full
6,11.5305704,13.63258579,0.00136212,78,-1543.191786,True,0.00497512,0,200,deuteronomy,control_exclude_meteg,full
