metric,observed,null_mean,null_sd,z,empirical_p,book,level,shape_field,n_segments,vocab_size,split_mode,transition_accent_mode,empirical_p_tail,n_train_bigrams,n_test_bigrams
unigram_entropy,2.84106203,2.84106203,0,0,,exodus,minor,transition_bucket_shape,4509,18,chronological,accent_words,,,
conditional_entropy,2.79418047,2.80636297,0.00292597,-4.163577,0.00199601,exodus,minor,transition_bucket_shape,4509,18,chronological,accent_words,lower,,
entropy_reduction,0.04688156,0.03469906,0.00292597,4.163577,0.00199601,exodus,minor,transition_bucket_shape,4509,18,chronological,accent_words,upper,,
in_sample_next_accuracy,0.31388642,0.31465972,0.00127407,-0.606947,0.74650699,exodus,minor,transition_bucket_shape,4509,18,chronological,accent_words,upper,,
cv_next_accuracy,0.29600887,0.30822395,0.01376555,-0.887366,0.83233533,exodus,minor,transition_bucket_shape,4509,18,chronological,accent_words,upper,3606,902
unigram_entropy,3.68238716,3.68238716,0,0,,exodus,minor,transition_exact_shape,4509,51,chronological,accent_words,,,
conditional_entropy,3.51987811,3.53809287,0.00549369,-3.315579,0.00199601,exodus,minor,transition_exact_shape,4509,51,chronological,accent_words,lower,,
entropy_reduction,0.16250905,0.14429428,0.00549369,3.315579,0.00199601,exodus,minor,transition_exact_shape,4509,51,chronological,accent_words,upper,,
in_sample_next_accuracy,0.22249335,0.22257054,0.00196986,-0.039189,0.51696607,exodus,minor,transition_exact_shape,4509,51,chronological,accent_words,upper,,
cv_next_accuracy,0.20731707,0.20497783,0.01177797,0.198612,0.46107784,exodus,minor,transition_exact_shape,4509,51,chronological,accent_words,upper,3606,902
unigram_entropy,4.71532856,4.71532856,0,0,,exodus,major,transition_bucket_shape,2350,57,chronological,accent_words,,,
conditional_entropy,4.19018799,4.22401381,0.01243704,-2.719765,0.00598802,exodus,major,transition_bucket_shape,2350,57,chronological,accent_words,lower,,
entropy_reduction,0.52514057,0.49131475,0.01243704,2.719765,0.00598802,exodus,major,transition_bucket_shape,2350,57,chronological,accent_words,upper,,
in_sample_next_accuracy,0.14091103,0.13667944,0.0030617,1.382105,0.0998004,exodus,major,transition_bucket_shape,2350,57,chronological,accent_words,upper,,
cv_next_accuracy,0.09361702,0.08909362,0.01213086,0.372884,0.4011976,exodus,major,transition_bucket_shape,2350,57,chronological,accent_words,upper,1879,470
unigram_entropy,6.24577345,6.24577345,0,0,,exodus,major,transition_exact_shape,2350,222,chronological,accent_words,,,
conditional_entropy,4.16909712,4.17840315,0.01623867,-0.573079,0.28343313,exodus,major,transition_exact_shape,2350,222,chronological,accent_words,lower,,
entropy_reduction,2.07667634,2.0673703,0.01623867,0.573079,0.28343313,exodus,major,transition_exact_shape,2350,222,chronological,accent_words,upper,,
in_sample_next_accuracy,0.16645381,0.16212261,0.00288329,1.502175,0.07784431,exodus,major,transition_exact_shape,2350,222,chronological,accent_words,upper,,
cv_next_accuracy,0.06170213,0.04315745,0.00961273,1.92918,0.03792415,exodus,major,transition_exact_shape,2350,222,chronological,accent_words,upper,1879,470
unigram_entropy,4.64775682,4.64775682,0,0,,exodus,verse,transition_bucket_shape,1205,42,chronological,accent_words,,,
conditional_entropy,3.98310596,4.00374663,0.02026851,-1.018362,0.16566866,exodus,verse,transition_bucket_shape,1205,42,chronological,accent_words,lower,,
entropy_reduction,0.66465086,0.64401019,0.02026851,1.018362,0.16566866,exodus,verse,transition_bucket_shape,1205,42,chronological,accent_words,upper,,
in_sample_next_accuracy,0.14534884,0.14584551,0.0042266,-0.117512,0.60678643,exodus,verse,transition_bucket_shape,1205,42,chronological,accent_words,upper,,
cv_next_accuracy,0.06224066,0.07860581,0.01641611,-0.996896,0.8762475,exodus,verse,transition_bucket_shape,1205,42,chronological,accent_words,upper,963,241
unigram_entropy,7.78104307,7.78104307,0,0,,exodus,verse,transition_exact_shape,1205,333,chronological,accent_words,,,
conditional_entropy,2.38843744,2.41677841,0.00760759,-3.725354,0.00199601,exodus,verse,transition_exact_shape,1205,333,chronological,accent_words,lower,,
entropy_reduction,5.39260563,5.36426466,0.00760759,3.725354,0.00199601,exodus,verse,transition_exact_shape,1205,333,chronological,accent_words,upper,,
in_sample_next_accuracy,0.30149502,0.29184385,0.00296234,3.257953,0.00199601,exodus,verse,transition_exact_shape,1205,333,chronological,accent_words,upper,,
cv_next_accuracy,0.01659751,0.00639834,0.00516816,1.973461,0.0738523,exodus,verse,transition_exact_shape,1205,333,chronological,accent_words,upper,963,241
