shape_field,n_segments,unique_shapes,entropy_norm,top1,top1_share,top3,top3_share,top5,top5_share,top10,top10_share,top20,top20_share,book,level
shape_PA,4509,119,0.75431168,P7_A3,0.0800621,P7_A3+P8_A3+P5_A2,0.21734309,P7_A3+P8_A3+P5_A2+P6_A2+P6_A3,0.34087381,P7_A3+P8_A3+P5_A2+P6_A2+P6_A3+P9_A3+P7_A2+P10_A4+P9_A4+P11_A4,0.55156354,P7_A3+P8_A3+P5_A2+P6_A2+P6_A3+P9_A3+P7_A2+P10_A4+P9_A4+P11_A4+P4_A2+P3_A1+P5_A3+P8_A4+P12_A4+P2_A1+P10_A3+P8_A2+P11_A5+P13_A5,0.77799956,exodus,minor
bucket_PA,4509,34,0.74394007,P7-9_A3,0.20625416,P7-9_A3+P5-6_A2+P10-12_A4,0.43291195,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A4,0.59192726,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A4+P7-9_A2+P1-4_A0-1+P1-4_A2+P10-12_A5+P10-12_A3,0.85096474,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A4+P7-9_A2+P1-4_A0-1+P1-4_A2+P10-12_A5+P10-12_A3+P13-15_A5+P13-15_A6-7+P16-18_A6-7+P13-15_A4+P19-24_A6-7+P19-24_A8++P16-18_A5+P10-12_A6-7+P7-9_A5+P5-6_A4,0.98159237,exodus,minor
shape_PAW,4509,267,0.77136005,P7_A3_W3,0.0603238,P7_A3_W3+P6_A3_W3+P5_A2_W2,0.16367265,P7_A3_W3+P6_A3_W3+P5_A2_W2+P6_A2_W2+P8_A3_W3,0.25105345,P7_A3_W3+P6_A3_W3+P5_A2_W2+P6_A2_W2+P8_A3_W3+P4_A2_W2+P9_A3_W4+P3_A1_W1+P8_A3_W4+P5_A3_W3,0.38922156,P7_A3_W3+P6_A3_W3+P5_A2_W2+P6_A2_W2+P8_A3_W3+P4_A2_W2+P9_A3_W4+P3_A1_W1+P8_A3_W4+P5_A3_W3+P10_A4_W4+P7_A2_W2+P9_A4_W4+P9_A3_W3+P2_A1_W1+P8_A4_W4+P7_A3_W4+P11_A4_W5+P7_A2_W3+P6_A2_W3,0.59081836,exodus,minor
bucket_PAW,4509,68,0.71861254,P7-9_A3_W3-4,0.19716123,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4,0.38035041,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P7-9_A4_W3-4,0.5021069,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P7-9_A4_W3-4+P10-12_A4_W5-6+P10-12_A4_W3-4+P1-4_A2_W1-2+P10-12_A5_W5-6+P7-9_A2_W3-4,0.71634509,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P7-9_A4_W3-4+P10-12_A4_W5-6+P10-12_A4_W3-4+P1-4_A2_W1-2+P10-12_A5_W5-6+P7-9_A2_W3-4+P7-9_A2_W1-2+P5-6_A2_W3-4+P13-15_A5_W5-6+P10-12_A3_W3-4+P7-9_A4_W5-6+P16-18_A6-7_W7-8+P13-15_A6-7_W7-8+P13-15_A4_W5-6+P13-15_A6-7_W5-6+P7-9_A3_W5-6,0.91151031,exodus,minor
shape_PA,2350,215,0.86250186,P10_A4,0.03404255,P10_A4+P11_A4+P8_A3,0.09489362,P10_A4+P11_A4+P8_A3+P7_A3+P13_A5,0.14765957,P10_A4+P11_A4+P8_A3+P7_A3+P13_A5+P12_A4+P9_A4+P9_A3+P12_A5+P15_A6,0.26297872,P10_A4+P11_A4+P8_A3+P7_A3+P13_A5+P12_A4+P9_A4+P9_A3+P12_A5+P15_A6+P8_A4+P14_A5+P16_A6+P11_A5+P14_A6+P6_A2+P17_A6+P18_A7+P13_A6+P6_A3,0.44255319,exodus,major
bucket_PA,2350,30,0.82189964,P25+_A8+,0.13361702,P25+_A8++P19-24_A8++P10-12_A4,0.35021277,P25+_A8++P19-24_A8++P10-12_A4+P16-18_A6-7+P7-9_A3,0.5187234,P25+_A8++P19-24_A8++P10-12_A4+P16-18_A6-7+P7-9_A3+P13-15_A6-7+P13-15_A5+P10-12_A5+P19-24_A6-7+P7-9_A4,0.79957447,P25+_A8++P19-24_A8++P10-12_A4+P16-18_A6-7+P7-9_A3+P13-15_A6-7+P13-15_A5+P10-12_A5+P19-24_A6-7+P7-9_A4+P5-6_A2+P13-15_A4+P16-18_A8++P5-6_A3+P7-9_A2+P10-12_A3+P10-12_A6-7+P16-18_A5+P7-9_A5+P1-4_A2,0.98425532,exodus,major
shape_PAW,2350,514,0.88936548,P7_A3_W3,0.02,P7_A3_W3+P11_A4_W5+P9_A4_W4,0.05531915,P7_A3_W3+P11_A4_W5+P9_A4_W4+P10_A4_W4+P10_A4_W5,0.08765957,P7_A3_W3+P11_A4_W5+P9_A4_W4+P10_A4_W4+P10_A4_W5+P8_A3_W3+P8_A4_W4+P6_A2_W2+P12_A4_W5+P11_A4_W4,0.15744681,P7_A3_W3+P11_A4_W5+P9_A4_W4+P10_A4_W4+P10_A4_W5+P8_A3_W3+P8_A4_W4+P6_A2_W2+P12_A4_W5+P11_A4_W4+P11_A5_W5+P12_A5_W5+P6_A3_W3+P13_A5_W5+P10_A5_W5+P13_A6_W6+P9_A3_W3+P5_A2_W2+P14_A5_W5+P8_A3_W4,0.26595745,exodus,major
bucket_PAW,2350,63,0.81523251,P19-24_A8+_W9-12,0.10468085,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4,0.25914894,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A4_W5-6,0.38170213,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A4_W5-6+P10-12_A5_W5-6+P25+_A8+_W9-12+P13-15_A5_W5-6+P13-15_A6-7_W7-8+P10-12_A4_W3-4,0.60680851,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A4_W5-6+P10-12_A5_W5-6+P25+_A8+_W9-12+P13-15_A5_W5-6+P13-15_A6-7_W7-8+P10-12_A4_W3-4+P7-9_A4_W3-4+P19-24_A6-7_W7-8+P13-15_A6-7_W5-6+P5-6_A2_W1-2+P5-6_A3_W3-4+P19-24_A6-7_W9-12+P19-24_A8+_W7-8+P13-15_A4_W5-6+P16-18_A8+_W9-12+P13-15_A5_W7-8,0.82170213,exodus,major
shape_PA,1205,303,0.93871992,P28_A11,0.01410788,P28_A11+P32_A13+P20_A8,0.04232365,P28_A11+P32_A13+P20_A8+P23_A10+P23_A9,0.06970954,P28_A11+P32_A13+P20_A8+P23_A10+P23_A9+P29_A12+P39_A16+P24_A9+P17_A7+P31_A11,0.12365145,P28_A11+P32_A13+P20_A8+P23_A10+P23_A9+P29_A12+P39_A16+P24_A9+P17_A7+P31_A11+P30_A12+P30_A13+P11_A4+P26_A11+P22_A9+P21_A8+P28_A12+P14_A5+P13_A5+P25_A10,0.21742739,exodus,verse
bucket_PA,1205,17,0.43445908,P25+_A8+,0.68215768,P25+_A8++P19-24_A8++P16-18_A6-7,0.86473029,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P13-15_A5,0.92116183,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P13-15_A5+P13-15_A6-7+P16-18_A8++P10-12_A4+P10-12_A5+P7-9_A4,0.98423237,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P13-15_A5+P13-15_A6-7+P16-18_A8++P10-12_A4+P10-12_A5+P7-9_A4+P16-18_A5+P1-4_A2+P25+_A6-7+P7-9_A5+P7-9_A3+P10-12_A3+P13-15_A4,1.0,exodus,verse
