from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A5_C0,P<=4_A3_C0,96,0.2962963,0.31255546,0.94797992,101.518,7.91574343,-0.697092,0.7744511,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A4_C0,89,0.08010801,0.08562555,0.93556195,95.078,8.60534834,-0.706305,0.74051896,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A3_C0,142,0.29707113,0.31255546,0.95045894,149.69,10.50402633,-0.7321,0.7744511,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A0-1_C0,20,0.0617284,0.0716504,0.861522,23.326,4.46358277,-0.745141,0.79041916,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A4_C0,111,0.09990999,0.10603372,0.94224736,118.096,8.6338793,-0.821879,0.8003992,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A2_C0,38,0.22093023,0.24645075,0.89644778,42.44,5.27883815,-0.841094,0.82035928,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A2_C0,73,0.22530864,0.24645075,0.91421364,79.71,7.36956722,-0.910501,0.83433134,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A3_C0,427,0.30305181,0.31255546,0.96959373,439.646,13.54886813,-0.933362,0.8243513,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A6-7_C0,22,0.01561391,0.01818988,0.85838425,25.718,3.96508762,-0.937684,0.85229541,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A0-1_C0,72,0.06480648,0.0716504,0.90448178,79.928,7.48323551,-1.059435,0.88423154,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A2_C0,86,0.22337662,0.24645075,0.90637427,95.154,7.79125737,-1.174907,0.89021956,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P7-9_A6-7_C0,36,0.03240324,0.03815439,0.84926632,42.822,5.61510238,-1.214938,0.90618762,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A4_C0,32,0.08311688,0.10603372,0.78387219,40.766,6.01561462,-1.457208,0.9500998,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A5_C0,89,0.06316537,0.07187223,0.87885638,101.188,8.15731203,-1.49412,0.95209581,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A4_C0,107,0.07594038,0.08562555,0.88688924,120.86,8.74146592,-1.585546,0.9500998,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P5-6_A6-7_C0,P<=4_A3_C0,19,0.23170732,0.31255546,0.74133186,25.478,4.06676692,-1.592912,0.95808383,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P5-6_A4_C0,20,0.0617284,0.08562555,0.72091089,27.554,4.53654544,-1.665144,0.97205589,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A3_C0,41,0.23837209,0.31255546,0.76265536,53.708,6.05773293,-2.097815,0.98403194,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A2_C0,98,0.20502092,0.24645075,0.83189407,118.9,9.18579107,-2.275253,0.98602794,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P1_A1_C0,P3_A3_C0,92,0.31724138,0.21362023,1.48507179,61.866,6.56523027,4.589938,0.00199601,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P3_A3_C0,200,0.25412961,0.21362023,1.18963267,168.576,10.13042324,3.101943,0.00199601,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
