book,model,relation,reset_taamim,n_words,n_pulses,n_accents,n_intervals,unique_intervals,mean_interval,median_interval,entropy_norm,top1_interval,top1_share,top3_intervals,top3_share,top5_intervals,top5_share,null_model,null_top3_mean,null_top3_sd,top3_z,top3_empirical_p,top3_empirical_p_tail,null_entropy_mean,null_entropy_sd,entropy_z,entropy_empirical_p,entropy_empirical_p_tail
exodus,continuous,continuous,none,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
exodus,sof_only,within,sof_pasuq,16701,37520,14626,13421,8,2.548245,2,0.67035686,2,0.40980553,2+3+1,0.84188958,2+3+1+4+5,0.99172938,global_interval_shuffle,0.83700767,0.00077507,6.298673,0.00199601,upper,0.67299976,0.00362535,-0.729007,0.01197605,lower
exodus,sof_only,cross_reset,sof_pasuq,16701,37520,14626,1204,6,2.756645,3.0,0.79690567,3,0.34302326,3+2+4,0.85714286,3+2+4+1+5,0.99335548,global_interval_shuffle,0.84230565,0.00852745,1.739935,0.04590818,upper,0.72466473,0.03229738,2.236743,0.99800399,lower
exodus,sof_only,all,sof_pasuq,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
exodus,major,within,atnah+atnah_hafukh+sof_pasuq,16701,37520,14626,12276,8,2.539752,2.0,0.66572589,2,0.41528185,2+3+1,0.84693711,2+3+1+4+5,0.99177256,global_interval_shuffle,0.83724829,0.0011203,8.648434,0.00199601,upper,0.67352392,0.00613043,-1.27202,0.00199601,lower
exodus,major,cross_reset,atnah+atnah_hafukh+sof_pasuq,16701,37520,14626,2349,7,2.699447,3,0.74939553,2,0.34653044,2+3+4,0.83226905,2+3+4+1+5,0.99233716,global_interval_shuffle,0.84043082,0.00582865,-1.400284,0.9261477,upper,0.70802736,0.02509879,1.648214,0.95409182,lower
exodus,major,all,atnah+atnah_hafukh+sof_pasuq,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
exodus,major_minor,within,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16701,37520,14626,10117,8,2.526243,2,0.64824912,2,0.43204507,2+3+1,0.85736879,2+3+1+4+5,0.99347633,global_interval_shuffle,0.83757715,0.00176338,11.22368,0.00199601,upper,0.67675464,0.01308563,-2.178383,0.00199601,lower
exodus,major_minor,cross_reset,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16701,37520,14626,4508,7,2.653283,3.0,0.76712755,2,0.34183673,2+3+4,0.79813665,2+3+4+1+5,0.98824312,global_interval_shuffle,0.83918722,0.00388551,-10.565034,1.0,upper,0.69544492,0.02306868,3.107357,0.99800399,lower
exodus,major_minor,all,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
