excluded_book,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
NONE,minor,robustness,5697,16124,run_preserving_circular_translation,500,0.35332423716199457,0.307836641032002,0.04548759612999259,1.1477653731456348,0.003332893925252549,13.648077961720844,0.001996007984031936,1.0,0.003992015968063872
NONE,major,robustness,3034,16124,run_preserving_circular_translation,500,0.18816670801290003,0.16089754403373852,0.027269163979161515,1.1694815426980256,0.002622128433212678,10.399629413175179,0.001996007984031936,1.0,0.003992015968063872
NONE,verse,exploratory,1595,16124,run_preserving_circular_translation,500,0.09892086330935251,0.08291342098734805,0.01600744232200446,1.1930621379673512,0.0019603110693411528,8.165766429806702,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,4198,12003,run_preserving_circular_translation,500,0.34974589685911855,0.30476314254769643,0.044982754311422124,1.1475990631130277,0.0038658643637575385,11.635885297253378,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,2272,12003,run_preserving_circular_translation,500,0.18928601183037574,0.15949929184370576,0.029786719986669985,1.1867514246762811,0.0029932840537465807,9.951183867560806,0.001996007984031936,1.0,0.003992015968063872
genesis,verse,exploratory,1191,12003,run_preserving_circular_translation,500,0.09922519370157461,0.08248887778055486,0.016736315921019748,1.2028917882183263,0.0022189250063345822,7.542533376856338,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,robustness,4517,12773,run_preserving_circular_translation,500,0.3536365771549362,0.30771079621075703,0.04592578094417915,1.1492498199924182,0.0037161370479763564,12.358473423144686,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,2406,12773,run_preserving_circular_translation,500,0.18836608470993502,0.16090143270962187,0.027464652000313144,1.1706924017878604,0.0030114223609223213,9.120159415931756,0.001996007984031936,1.0,0.003992015968063872
exodus,verse,exploratory,1265,12773,run_preserving_circular_translation,500,0.09903703123776716,0.08309715806779927,0.015939873169967894,1.191822121726022,0.0022323484020464798,7.140405662196455,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,robustness,4887,13736,run_preserving_circular_translation,500,0.3557804309842749,0.30964181712288874,0.04613861386138618,1.1490064045292532,0.0036895030145543584,12.505373672112068,0.001996007984031936,1.0,0.003992015968063872
leviticus,major,robustness,2580,13736,run_preserving_circular_translation,500,0.18782760629004078,0.16077402446126965,0.02705358182877113,1.1682708504649537,0.0028654858930101906,9.441184789903593,0.001996007984031936,1.0,0.003992015968063872
leviticus,verse,exploratory,1370,13736,run_preserving_circular_translation,500,0.09973791496796738,0.08286604542807222,0.016871869539895168,1.2036041354783844,0.0021301973826615196,7.920331551067371,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,robustness,4456,12744,run_preserving_circular_translation,500,0.34965473948524795,0.30715646578782174,0.0424982736974262,1.1383603421416604,0.0037256930032805516,11.406810400106925,0.001996007984031936,1.0,0.003992015968063872
numbers,major,robustness,2316,12744,run_preserving_circular_translation,500,0.1817325800376648,0.1590194601381042,0.022713119899560597,1.142832329325196,0.0028803146971127613,7.885638302761957,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,exploratory,1210,12744,run_preserving_circular_translation,500,0.09494664155681105,0.08139532328939109,0.013551318267419968,1.1664876766843215,0.00217596822425734,6.227718822523268,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,robustness,4730,13240,run_preserving_circular_translation,500,0.35725075528700906,0.30952628398791543,0.04772447129909363,1.154185520803645,0.003768084132281005,12.665447379542368,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,robustness,2562,13240,run_preserving_circular_translation,500,0.19350453172205437,0.16409728096676737,0.029407250755286996,1.1792062036740418,0.0030158905310950185,9.750768621104335,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,verse,exploratory,1344,13240,run_preserving_circular_translation,500,0.1015105740181269,0.08463141993957704,0.016879154078549855,1.199443115696284,0.0022284392178702904,7.574428749589674,0.001996007984031936,1.0,0.003992015968063872
