level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04381736794986568,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.02652402267979706,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.013884494054841073,directional audit; books are not treated as independent replications
