shape_field,n_segments,unique_shapes,entropy_norm,top1,top1_share,top3,top3_share,top5,top5_share,top10,top10_share,top20,top20_share,book,level
shape_PA,5747,107,0.74507337,P8_A3,0.09030799,P8_A3+P7_A3+P5_A2,0.25404559,P8_A3+P7_A3+P5_A2+P6_A2+P6_A3,0.38420045,P8_A3+P7_A3+P5_A2+P6_A2+P6_A3+P9_A3+P3_A1+P9_A4+P10_A4+P4_A2,0.59300505,P8_A3+P7_A3+P5_A2+P6_A2+P6_A3+P9_A3+P3_A1+P9_A4+P10_A4+P4_A2+P7_A2+P5_A3+P8_A4+P11_A4+P10_A3+P2_A1+P12_A5+P12_A4+P11_A5+P13_A5,0.81137985,genesis,minor
bucket_PA,5747,31,0.73780736,P7-9_A3,0.23333913,P7-9_A3+P5-6_A2+P5-6_A3,0.46737428,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P7-9_A4,0.62641378,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P7-9_A4+P1-4_A0-1+P7-9_A2+P1-4_A2+P10-12_A5+P10-12_A3,0.87784931,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P7-9_A4+P1-4_A0-1+P7-9_A2+P1-4_A2+P10-12_A5+P10-12_A3+P13-15_A5+P13-15_A6-7+P16-18_A6-7+P13-15_A4+P7-9_A5+P10-12_A6-7+P1-4_A3+P16-18_A5+P19-24_A8++P19-24_A6-7,0.98677571,genesis,minor
shape_PAW,5747,253,0.75531719,P7_A3_W3,0.0635114,P7_A3_W3+P5_A2_W2+P8_A3_W3,0.17800592,P7_A3_W3+P5_A2_W2+P8_A3_W3+P6_A3_W3+P6_A2_W2,0.27144597,P7_A3_W3+P5_A2_W2+P8_A3_W3+P6_A3_W3+P6_A2_W2+P3_A1_W1+P8_A3_W4+P4_A2_W2+P9_A4_W4+P5_A3_W3,0.42839742,P7_A3_W3+P5_A2_W2+P8_A3_W3+P6_A3_W3+P6_A2_W2+P3_A1_W1+P8_A3_W4+P4_A2_W2+P9_A4_W4+P5_A3_W3+P9_A3_W4+P7_A3_W4+P6_A2_W3+P9_A3_W3+P8_A4_W4+P10_A4_W4+P2_A1_W1+P7_A2_W2+P10_A4_W5+P7_A2_W3,0.63685401,genesis,minor
bucket_PAW,5747,61,0.70818031,P7-9_A3_W3-4,0.2227249,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4,0.41760919,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P7-9_A4_W3-4,0.55646424,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P7-9_A4_W3-4+P10-12_A4_W5-6+P1-4_A2_W1-2+P10-12_A5_W5-6+P5-6_A2_W3-4+P10-12_A4_W3-4,0.75395859,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P7-9_A4_W3-4+P10-12_A4_W5-6+P1-4_A2_W1-2+P10-12_A5_W5-6+P5-6_A2_W3-4+P10-12_A4_W3-4+P10-12_A3_W3-4+P7-9_A2_W3-4+P7-9_A2_W1-2+P13-15_A5_W5-6+P7-9_A4_W5-6+P16-18_A6-7_W7-8+P7-9_A3_W5-6+P13-15_A6-7_W5-6+P13-15_A6-7_W7-8+P7-9_A5_W5-6,0.92152427,genesis,minor
shape_PA,2996,212,0.8502901,P8_A3,0.0493992,P8_A3+P10_A4+P13_A5,0.11515354,P8_A3+P10_A4+P13_A5+P7_A3+P12_A5,0.17757009,P8_A3+P10_A4+P13_A5+P7_A3+P12_A5+P9_A4+P9_A3+P11_A5+P15_A6+P14_A6,0.29672897,P8_A3+P10_A4+P13_A5+P7_A3+P12_A5+P9_A4+P9_A3+P11_A5+P15_A6+P14_A6+P11_A4+P6_A2+P12_A4+P5_A2+P14_A5+P16_A6+P8_A4+P13_A6+P18_A7+P10_A5,0.47563418,genesis,major
bucket_PA,2996,29,0.82474601,P25+_A8+,0.12883845,P25+_A8++P19-24_A8++P7-9_A3,0.35113485,P25+_A8++P19-24_A8++P7-9_A3+P16-18_A6-7+P13-15_A6-7,0.5123498,P25+_A8++P19-24_A8++P7-9_A3+P16-18_A6-7+P13-15_A6-7+P10-12_A4+P10-12_A5+P13-15_A5+P7-9_A4+P5-6_A2,0.80674232,P25+_A8++P19-24_A8++P7-9_A3+P16-18_A6-7+P13-15_A6-7+P10-12_A4+P10-12_A5+P13-15_A5+P7-9_A4+P5-6_A2+P19-24_A6-7+P16-18_A8++P10-12_A6-7+P10-12_A3+P5-6_A3+P13-15_A4+P7-9_A2+P16-18_A5+P1-4_A2+P7-9_A5,0.9829773,genesis,major
shape_PAW,2996,543,0.8668706,P8_A3_W3,0.03137517,P8_A3_W3+P9_A4_W4+P7_A3_W3,0.07443258,P8_A3_W3+P9_A4_W4+P7_A3_W3+P10_A4_W4+P8_A3_W4,0.11181575,P8_A3_W3+P9_A4_W4+P7_A3_W3+P10_A4_W4+P8_A3_W4+P13_A5_W5+P5_A2_W2+P8_A4_W4+P12_A5_W5+P12_A5_W6,0.18724967,P8_A3_W3+P9_A4_W4+P7_A3_W3+P10_A4_W4+P8_A3_W4+P13_A5_W5+P5_A2_W2+P8_A4_W4+P12_A5_W5+P12_A5_W6+P13_A6_W6+P11_A5_W5+P10_A5_W5+P13_A5_W6+P9_A3_W4+P10_A4_W5+P9_A3_W3+P14_A6_W6+P7_A3_W4+P6_A3_W3,0.30540721,genesis,major
bucket_PAW,2996,59,0.81631977,P7-9_A3_W3-4,0.10313752,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13+,0.27403204,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13++P10-12_A5_W5-6+P16-18_A6-7_W7-8,0.39786382,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13++P10-12_A5_W5-6+P16-18_A6-7_W7-8+P25+_A8+_W9-12+P13-15_A5_W5-6+P7-9_A4_W3-4+P13-15_A6-7_W7-8+P10-12_A4_W5-6,0.62216288,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13++P10-12_A5_W5-6+P16-18_A6-7_W7-8+P25+_A8+_W9-12+P13-15_A5_W5-6+P7-9_A4_W3-4+P13-15_A6-7_W7-8+P10-12_A4_W5-6+P10-12_A4_W3-4+P13-15_A6-7_W5-6+P5-6_A2_W1-2+P19-24_A6-7_W7-8+P5-6_A3_W3-4+P19-24_A8+_W7-8+P16-18_A8+_W9-12+P10-12_A3_W3-4+P10-12_A6-7_W5-6+P5-6_A2_W3-4,0.83277704,genesis,major
shape_PA,1530,297,0.92403609,P22_A9,0.01764706,P22_A9+P20_A8+P26_A10,0.04640523,P22_A9+P20_A8+P26_A10+P21_A8+P27_A11,0.07254902,P22_A9+P20_A8+P26_A10+P21_A8+P27_A11+P23_A9+P21_A9+P16_A6+P16_A7+P33_A13,0.13660131,P22_A9+P20_A8+P26_A10+P21_A8+P27_A11+P23_A9+P21_A9+P16_A6+P16_A7+P33_A13+P30_A12+P32_A12+P23_A10+P15_A6+P25_A9+P19_A7+P26_A11+P24_A9+P23_A8+P33_A12,0.2496732,genesis,verse
bucket_PA,1530,21,0.41272084,P25+_A8+,0.64901961,P25+_A8++P19-24_A8++P16-18_A6-7,0.88235294,P25+_A8++P19-24_A8++P16-18_A6-7+P13-15_A6-7+P19-24_A6-7,0.9372549,P25+_A8++P19-24_A8++P16-18_A6-7+P13-15_A6-7+P19-24_A6-7+P16-18_A8++P13-15_A5+P10-12_A5+P10-12_A4+P16-18_A5,0.98169935,P25+_A8++P19-24_A8++P16-18_A6-7+P13-15_A6-7+P19-24_A6-7+P16-18_A8++P13-15_A5+P10-12_A5+P10-12_A4+P16-18_A5+P13-15_A4+P10-12_A6-7+P10-12_A3+P7-9_A3+P13-15_A8++P7-9_A4+P19-24_A5+P16-18_A4+P25+_A6-7+P7-9_A5,0.99934641,genesis,verse
