book,model,within_n,cross_n,within_top3_share,cross_top3_share,delta_top3_within_minus_cross,delta_top3_null_mean,delta_top3_null_sd,delta_top3_z,delta_top3_empirical_p,delta_top3_empirical_p_tail,within_entropy,cross_entropy,delta_entropy_within_minus_cross,delta_entropy_null_mean,delta_entropy_null_sd,delta_entropy_z,delta_entropy_empirical_p,delta_entropy_empirical_p_tail,null_model
genesis,sof_only,16599,1529,0.85270197,0.85938522,-0.00668325,,,,,upper,0.66612726,0.71248788,-0.04636062,,,,,lower,none
genesis,major,15133,2995,0.85515099,0.83105175,0.02409924,,,,,upper,0.6627226,0.73133542,-0.06861282,,,,,lower,none
genesis,major_minor,12382,5746,0.86310774,0.82213714,0.0409706,,,,,upper,0.64983719,0.74757779,-0.0977406,,,,,lower,none
exodus,sof_only,13421,1204,0.84188958,0.85714286,-0.01525328,,,,,upper,0.67035686,0.79690567,-0.12654881,,,,,lower,none
exodus,major,12276,2349,0.84693711,0.83226905,0.01466806,,,,,upper,0.66572589,0.74939553,-0.08366964,,,,,lower,none
exodus,major_minor,10117,4508,0.85736879,0.79813665,0.05923214,,,,,upper,0.64824912,0.76712755,-0.11887843,,,,,lower,none
leviticus,sof_only,9480,856,0.85116034,0.75233645,0.09882389,,,,,upper,0.71892451,0.80974424,-0.09081973,,,,,lower,none
leviticus,major,8667,1669,0.85819776,0.7669263,0.09127146,,,,,upper,0.7119886,0.79567843,-0.08368983,,,,,lower,none
leviticus,major_minor,7259,3077,0.86885246,0.78030549,0.08854697,,,,,upper,0.6948047,0.79107464,-0.09626994,,,,,lower,none
numbers,sof_only,13180,1283,0.83778452,0.81917381,0.01861071,,,,,upper,0.68348769,0.74087607,-0.05738838,,,,,lower,none
numbers,major,12029,2434,0.83947128,0.8147083,0.02476298,,,,,upper,0.68049553,0.75028251,-0.06978698,,,,,lower,none
numbers,major_minor,9969,4494,0.84441769,0.81508678,0.02933091,,,,,upper,0.6706682,0.71248687,-0.04181867,,,,,lower,none
deuteronomy,sof_only,11739,953,0.83158702,0.80587618,0.02571084,,,,,upper,0.68865844,0.76548722,-0.07682878,,,,,lower,none
deuteronomy,major,10831,1861,0.83408734,0.80386889,0.03021845,,,,,upper,0.6853513,0.76797312,-0.08262182,,,,,lower,none
deuteronomy,major_minor,8881,3811,0.84708929,0.78903175,0.05805754,,,,,upper,0.66931887,0.7342134,-0.06489453,,,,,lower,none
