from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P5-6_A4_C0,P<=4_A3_C0,38,0.19191919,0.24560483,0.78141457,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,38,0.04761905,0.03306219,1.44028723,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A2_C0,37,0.18686869,0.1569142,1.19089727,deuteronomy,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A3_C0,37,0.29365079,0.24560483,1.19562305,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A5_C0,36,0.06010017,0.06743637,0.89121298,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A4_C0,36,0.15254237,0.20939386,0.72849497,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A2_C0,35,0.16203704,0.1569142,1.0326474,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A5_C0,34,0.05676127,0.05667804,1.0014685,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A4_C0,34,0.15044248,0.20939386,0.71846652,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A4_C0,34,0.15740741,0.20939386,0.75172886,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A2_C0,33,0.1460177,0.1569142,0.93055761,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A5_C0,33,0.04135338,0.05667804,0.72961919,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A4_C0,31,0.05175292,0.05195487,0.99611305,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A6-7_C0,31,0.05175292,0.061926,0.83572197,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A4_C0,30,0.03759398,0.05195487,0.72358928,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,26,0.11504425,0.061926,1.85776961,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A0-1_C0,25,0.11574074,0.05930202,1.95171665,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,25,0.11061947,0.06743637,1.64035329,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,24,0.09338521,0.05667804,1.64764375,deuteronomy,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A2_C0,23,0.18253968,0.1569142,1.16330891,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P7-9_A6-7_C0,21,0.03505843,0.03306219,1.06037841,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,20,0.07782101,0.06743637,1.15399173,deuteronomy,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,20,0.15873016,0.20939386,0.75804591,deuteronomy,minor,transition_bucket_shape,taam_events
P3_A3_C0,P3_A3_C0,89,0.16211293,0.14431908,1.12329525,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P3_A4_C0,79,0.143898,0.10417213,1.38134827,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P3_A3_C0,62,0.15617128,0.14431908,1.08212503,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A3_C0,61,0.14558473,0.14431908,1.0087698,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A3_C0,56,0.15053763,0.14431908,1.04308895,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P2_A2_C0,55,0.10018215,0.1096825,0.91338318,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A4_C0,54,0.09836066,0.09761218,1.0076679,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A4_C0,54,0.12887828,0.10417213,1.23716658,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P2_A2_C0,49,0.12342569,0.1096825,1.1252998,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P2_A2_C0,46,0.12365591,0.1096825,1.12739878,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P4_A4_C0,42,0.10579345,0.09761218,1.08381409,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A4_C0,41,0.09785203,0.09761218,1.00245721,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P4_A4_C0,39,0.10483871,0.09761218,1.07403313,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P3_A4_C0,37,0.09319899,0.10417213,0.89466338,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A4_C0,37,0.09946237,0.10417213,0.9547886,deuteronomy,minor,transition_exact_shape,taam_events
P1_A1_C0,P3_A3_C0,35,0.18918919,0.14431908,1.31090909,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P2_A2_C0,35,0.08353222,0.1096825,0.76158203,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P2_A3_C0,34,0.06193078,0.04460771,1.38834244,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P5_A5_C0,30,0.07556675,0.04775649,1.58233454,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P2_A3_C0,30,0.07159905,0.04460771,1.60508213,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A5_C0,29,0.05282332,0.04539491,1.16363962,deuteronomy,minor,transition_exact_shape,taam_events
P3_A4_C0,P1_A1_C0,28,0.07052897,0.04854369,1.45289673,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P1_A1_C0,26,0.04735883,0.04854369,0.97559199,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P3_A4_C0,25,0.11574074,0.10417213,1.1110528,deuteronomy,minor,transition_exact_shape,taam_events
P2_A3_C0,P3_A3_C0,25,0.14705882,0.14431908,1.01898396,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P3_A3_C0,25,0.11574074,0.14431908,0.80197811,deuteronomy,minor,transition_exact_shape,taam_events
P4_A4_C0,P1_A1_C0,25,0.0672043,0.04854369,1.3844086,deuteronomy,minor,transition_exact_shape,taam_events
P3_A2_C0,P3_A3_C0,25,0.22522523,0.14431908,1.56060606,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A5_C0,24,0.04371585,0.04775649,0.91539062,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A5_C0,24,0.05727924,0.04539491,1.26179867,deuteronomy,minor,transition_exact_shape,taam_events
P5_A5_C0,P2_A2_C0,24,0.13186813,0.1096825,1.20227141,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P4_A3_C0,24,0.04371585,0.05667804,0.77130136,deuteronomy,minor,transition_exact_shape,taam_events
P5_A4_C0,P3_A3_C0,24,0.13559322,0.14431908,0.93953775,deuteronomy,minor,transition_exact_shape,taam_events
P1_A1_C0,P2_A2_C0,23,0.12432432,0.1096825,1.13349282,deuteronomy,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A4_C0,23,0.04189435,0.0464445,0.9020304,deuteronomy,minor,transition_exact_shape,taam_events
P5_A4_C0,P3_A4_C0,23,0.1299435,0.10417213,1.24739216,deuteronomy,minor,transition_exact_shape,taam_events
P4_A5_C0,P3_A3_C0,22,0.12716763,0.14431908,0.88115607,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A3_C0,22,0.05250597,0.05667804,0.92638999,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P4_A4_C0,22,0.10185185,0.09761218,1.04343389,deuteronomy,minor,transition_exact_shape,taam_events
P5_A4_C0,P2_A2_C0,22,0.12429379,0.1096825,1.13321439,deuteronomy,minor,transition_exact_shape,taam_events
P2_A3_C0,P4_A4_C0,22,0.12941176,0.09761218,1.32577483,deuteronomy,minor,transition_exact_shape,taam_events
P2_A2_C0,P5_A5_C0,21,0.05011933,0.04775649,1.04947678,deuteronomy,minor,transition_exact_shape,taam_events
P4_A3_C0,P4_A3_C0,21,0.09722222,0.05667804,1.71534208,deuteronomy,minor,transition_exact_shape,taam_events
P3_A2_C0,P3_A4_C0,20,0.18018018,0.10417213,1.72963896,deuteronomy,minor,transition_exact_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,22,0.18181818,0.08436325,2.1551824,deuteronomy,major,transition_bucket_shape,taam_events
