from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A4_C0,P13-15_A8+_C2,5,0.02325581,0.0221857,1.04823428,4.892,2.010099,0.053729,0.56175299,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P10-12_A8+_C1,7,0.04402516,0.04272802,1.03035801,6.908,2.5873371,0.035558,0.50996016,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P5-6_A5_C0,7,0.05932203,0.0566968,1.04630312,6.928,2.56693839,0.028049,0.54581673,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P10-12_A8+_C1,P10-12_A8+_C2,5,0.04807692,0.05012325,0.95917402,5.016,2.17869937,-0.007344,0.54183267,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P7-9_A8+_C1,9,0.06081081,0.06080526,1.00009131,9.064,2.99194098,-0.021391,0.51394422,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P10-12_A8+_C2,8,0.05031447,0.05012325,1.00381483,8.064,2.72941437,-0.023448,0.55378486,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P10-12_A8+_C2,6,0.05084746,0.05012325,1.01444846,6.072,2.23759768,-0.032177,0.61354582,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P10-12_A8+_C2,6,0.04918033,0.05012325,0.98118785,6.104,2.31920219,-0.044843,0.55776892,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A2_C0,4,0.02898551,0.02917009,0.99367218,4.112,1.93557272,-0.057864,0.6374502,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A5_C1,9,0.03913043,0.04026294,0.97187223,9.16,2.62640286,-0.06092,0.5936255,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P10-12_A8+_C1,5,0.04098361,0.04272802,0.95917402,5.14,2.2334622,-0.062683,0.60956175,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P<=4_A2_C0,4,0.02702703,0.02917009,0.92653217,4.18,1.88941248,-0.095268,0.62549801,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P5-6_A6-7_C1,9,0.07627119,0.08011504,0.95202086,9.3,2.97411861,-0.10087,0.56573705,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A5_C0,P7-9_A6-7_C1,6,0.06382979,0.06532457,0.97711762,6.292,2.38273913,-0.122548,0.65338645,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P10-12_A8+_C2,10,0.04651163,0.05012325,0.9279451,10.472,3.16120052,-0.14931,0.60956175,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,5,0.03623188,0.03861956,0.93817453,5.332,2.14854392,-0.154523,0.6374502,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P7-9_A6-7_C1,7,0.05932203,0.06532457,0.90811214,7.4,2.51421661,-0.159095,0.64940239,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C1,8,0.0372093,0.04026294,0.92415757,8.456,2.55542261,-0.178444,0.6374502,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P10-12_A8+_C1,6,0.04054054,0.04272802,0.94880457,6.448,2.25825038,-0.198384,0.69721116,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P5-6_A5_C1,7,0.03608247,0.04026294,0.89617084,7.516,2.46292672,-0.209507,0.65737052,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C1,P<=4_A4_C0,8,0.08163265,0.08833196,0.92415757,8.692,2.86039568,-0.241925,0.62151394,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P7-9_A8+_C2,6,0.04347826,0.04847987,0.89683125,6.58,2.38881261,-0.242798,0.70916335,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A3_C0,20,0.08695652,0.09449466,0.92022684,21.116,4.16412099,-0.268004,0.63346614,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A6-7_C0,6,0.04761905,0.05176664,0.91987906,6.708,2.55044212,-0.277599,0.62948207,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P10-12_A8+_C2,9,0.04639175,0.05012325,0.92555349,9.92,2.87098768,-0.320447,0.6812749,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A8+_C1,13,0.05652174,0.06080526,0.92955347,14.224,3.54288472,-0.345481,0.64541833,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P5-6_A5_C0,8,0.05031447,0.0566968,0.8874305,8.984,2.73599831,-0.359649,0.71314741,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P10-12_A8+_C2,6,0.04347826,0.05012325,0.86742694,6.94,2.60066411,-0.361446,0.70517928,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
