shape_field,n_segments,unique_shapes,entropy_norm,top1,top1_share,top3,top3_share,top5,top5_share,top10,top10_share,top20,top20_share,book,level
shape_PA,4495,118,0.7480592,P7_A3,0.08209121,P7_A3+P8_A3+P5_A2,0.2246941,P7_A3+P8_A3+P5_A2+P6_A2+P6_A3,0.35061179,P7_A3+P8_A3+P5_A2+P6_A2+P6_A3+P7_A2+P9_A3+P10_A4+P9_A4+P11_A4,0.56462736,P7_A3+P8_A3+P5_A2+P6_A2+P6_A3+P7_A2+P9_A3+P10_A4+P9_A4+P11_A4+P3_A1+P4_A2+P10_A3+P5_A3+P2_A1+P8_A2+P8_A4+P12_A4+P12_A5+P13_A5,0.79377086,numbers,minor
bucket_PA,4495,31,0.76201363,P7-9_A3,0.20266963,P7-9_A3+P5-6_A2+P10-12_A4,0.43337041,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A2,0.59221357,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A2+P1-4_A0-1+P7-9_A4+P1-4_A2+P10-12_A5+P10-12_A3,0.85494994,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A2+P1-4_A0-1+P7-9_A4+P1-4_A2+P10-12_A5+P10-12_A3+P13-15_A5+P13-15_A6-7+P16-18_A6-7+P13-15_A4+P19-24_A8++P25+_A8++P1-4_A3+P19-24_A6-7+P7-9_A5+P5-6_A0-1,0.98086763,numbers,minor
shape_PAW,4495,257,0.76866627,P7_A3_W3,0.0567297,P7_A3_W3+P5_A2_W2+P6_A3_W3,0.15506118,P7_A3_W3+P5_A2_W2+P6_A3_W3+P6_A2_W2+P8_A3_W3,0.24449388,P7_A3_W3+P5_A2_W2+P6_A3_W3+P6_A2_W2+P8_A3_W3+P3_A1_W1+P8_A3_W4+P7_A2_W2+P4_A2_W2+P9_A4_W4,0.39154616,P7_A3_W3+P5_A2_W2+P6_A3_W3+P6_A2_W2+P8_A3_W3+P3_A1_W1+P8_A3_W4+P7_A2_W2+P4_A2_W2+P9_A4_W4+P7_A3_W4+P10_A4_W4+P9_A3_W3+P5_A3_W3+P2_A1_W1+P9_A3_W4+P11_A4_W5+P7_A2_W3+P6_A2_W3+P5_A2_W3,0.60333704,numbers,minor
bucket_PAW,4495,63,0.72578184,P7-9_A3_W3-4,0.1971079,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4,0.37730812,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P10-12_A4_W5-6,0.50433815,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P10-12_A4_W5-6+P7-9_A4_W3-4+P10-12_A4_W3-4+P7-9_A2_W1-2+P1-4_A2_W1-2+P10-12_A5_W5-6,0.71612903,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P1-4_A0-1_W1-2+P10-12_A4_W5-6+P7-9_A4_W3-4+P10-12_A4_W3-4+P7-9_A2_W1-2+P1-4_A2_W1-2+P10-12_A5_W5-6+P5-6_A2_W3-4+P7-9_A2_W3-4+P10-12_A3_W3-4+P13-15_A5_W5-6+P7-9_A4_W5-6+P13-15_A6-7_W7-8+P13-15_A6-7_W5-6+P16-18_A6-7_W7-8+P19-24_A8+_W9-12+P10-12_A3_W5-6,0.91768632,numbers,minor
shape_PA,2435,209,0.84616717,P11_A4,0.04517454,P11_A4+P8_A3+P9_A3,0.11088296,P11_A4+P8_A3+P9_A3+P12_A5+P10_A4,0.17043121,P11_A4+P8_A3+P9_A3+P12_A5+P10_A4+P10_A3+P15_A6+P14_A5+P7_A3+P6_A2,0.2973306,P11_A4+P8_A3+P9_A3+P12_A5+P10_A4+P10_A3+P15_A6+P14_A5+P7_A3+P6_A2+P14_A6+P7_A2+P11_A5+P13_A5+P16_A6+P5_A2+P17_A7+P13_A6+P12_A4+P10_A5,0.48336756,numbers,major
bucket_PA,2435,32,0.80894858,P25+_A8+,0.12361396,P25+_A8++P19-24_A8++P7-9_A3,0.31868583,P25+_A8++P19-24_A8++P7-9_A3+P10-12_A4+P16-18_A6-7,0.49240246,P25+_A8++P19-24_A8++P7-9_A3+P10-12_A4+P16-18_A6-7+P13-15_A6-7+P10-12_A5+P13-15_A5+P5-6_A2+P19-24_A6-7,0.77905544,P25+_A8++P19-24_A8++P7-9_A3+P10-12_A4+P16-18_A6-7+P13-15_A6-7+P10-12_A5+P13-15_A5+P5-6_A2+P19-24_A6-7+P7-9_A2+P10-12_A3+P7-9_A4+P5-6_A3+P13-15_A4+P16-18_A8++P16-18_A5+P10-12_A6-7+P1-4_A2+P7-9_A5,0.98850103,numbers,major
shape_PAW,2435,483,0.87306442,P11_A4_W5,0.02874743,P11_A4_W5+P9_A3_W3+P12_A5_W5,0.06652977,P11_A4_W5+P9_A3_W3+P12_A5_W5+P6_A2_W2+P7_A3_W3,0.10061602,P11_A4_W5+P9_A3_W3+P12_A5_W5+P6_A2_W2+P7_A3_W3+P8_A3_W3+P8_A3_W4+P10_A3_W3+P10_A4_W5+P11_A4_W4,0.17659138,P11_A4_W5+P9_A3_W3+P12_A5_W5+P6_A2_W2+P7_A3_W3+P8_A3_W3+P8_A3_W4+P10_A3_W3+P10_A4_W5+P11_A4_W4+P7_A2_W2+P11_A5_W5+P10_A4_W4+P14_A5_W5+P9_A3_W4+P14_A6_W6+P15_A6_W6+P10_A5_W5+P6_A3_W3+P13_A6_W6,0.29815195,numbers,major
bucket_PAW,2435,61,0.81427973,P7-9_A3_W3-4,0.08952772,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13+,0.24969199,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13++P10-12_A5_W5-6+P16-18_A6-7_W7-8,0.37207392,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13++P10-12_A5_W5-6+P16-18_A6-7_W7-8+P10-12_A4_W5-6+P13-15_A5_W5-6+P25+_A8+_W9-12+P13-15_A6-7_W7-8+P13-15_A6-7_W5-6,0.6110883,P7-9_A3_W3-4+P19-24_A8+_W9-12+P25+_A8+_W13++P10-12_A5_W5-6+P16-18_A6-7_W7-8+P10-12_A4_W5-6+P13-15_A5_W5-6+P25+_A8+_W9-12+P13-15_A6-7_W7-8+P13-15_A6-7_W5-6+P10-12_A4_W3-4+P10-12_A3_W3-4+P5-6_A2_W1-2+P7-9_A2_W1-2+P7-9_A4_W3-4+P19-24_A6-7_W7-8+P5-6_A3_W3-4+P16-18_A6-7_W5-6+P16-18_A8+_W9-12+P7-9_A2_W3-4,0.84065708,numbers,major
shape_PA,1284,290,0.92828951,P11_A4,0.03504673,P11_A4+P20_A9+P18_A7,0.06853583,P11_A4+P20_A9+P18_A7+P21_A8+P19_A7,0.09423676,P11_A4+P20_A9+P18_A7+P21_A8+P19_A7+P28_A10+P29_A12+P19_A8+P31_A12+P23_A9,0.15264798,P11_A4+P20_A9+P18_A7+P21_A8+P19_A7+P28_A10+P29_A12+P19_A8+P31_A12+P23_A9+P22_A8+P16_A6+P17_A7+P25_A10+P22_A9+P20_A8+P15_A6+P20_A7+P23_A8+P8_A3,0.25623053,numbers,verse
bucket_PA,1284,19,0.52189431,P25+_A8+,0.58566978,P25+_A8++P19-24_A8++P16-18_A6-7,0.79672897,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P10-12_A4,0.88785047,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P10-12_A4+P13-15_A6-7+P16-18_A8++P13-15_A5+P7-9_A3+P13-15_A4,0.97507788,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P10-12_A4+P13-15_A6-7+P16-18_A8++P13-15_A5+P7-9_A3+P13-15_A4+P16-18_A5+P10-12_A3+P10-12_A5+P25+_A6-7+P10-12_A6-7+P16-18_A4+P7-9_A4+P7-9_A2+P7-9_A5,1.0,numbers,verse
