level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04319116757410768,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.026182093163944375,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012630639563708482,directional audit; books are not treated as independent replications
