trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5517,15888,run_preserving_circular_translation,1000,0.3472432024169184,0.3024114425981873,0.04483175981873111,1.1482475644226824,0.0033322344438459373,13.453963271260113,0.000999000999000999,1.0,0.001998001998001998
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,2982,15888,run_preserving_circular_translation,1000,0.18768882175226587,0.16096594914400805,0.026722872608257814,1.1660156868602702,0.002657991128353583,10.053785478513067,0.000999000999000999,1.0,0.001998001998001998
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1559,15888,run_preserving_circular_translation,1000,0.09812437059415911,0.08296248741188318,0.015161883182275931,1.1827558895022259,0.0019495111458562543,7.77727442826012,0.000999000999000999,1.0,0.001998001998001998
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,5430,15651,run_preserving_circular_translation,1000,0.34694268736821926,0.3020942148454519,0.04484847252276736,1.1484585613323026,0.0033534557170884494,13.373807888450626,0.000999000999000999,1.0,0.001998001998001998
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,2935,15651,run_preserving_circular_translation,1000,0.1875279534854003,0.1607943092747295,0.026733644210670787,1.1662598902365027,0.002675891671713465,9.990555482222613,0.000999000999000999,1.0,0.001998001998001998
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1533,15651,run_preserving_circular_translation,1000,0.09794901284262987,0.08290052811510727,0.015048484727522599,1.181524594229699,0.001964570526311068,7.6599361163071,0.000999000999000999,1.0,0.001998001998001998
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,5247,15039,run_preserving_circular_translation,1000,0.34889287851585876,0.3016724897672521,0.04722038874860668,1.156528653922134,0.0034202712861883815,13.806036070673803,0.000999000999000999,1.0,0.001998001998001998
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2845,15039,run_preserving_circular_translation,1000,0.18917481215506352,0.15988924417374087,0.029285567981322647,1.1831615887151232,0.0027031307761802934,10.833944195147351,0.000999000999000999,1.0,0.001998001998001998
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1484,15039,run_preserving_circular_translation,1000,0.09867677372165702,0.08245026168576693,0.016226512035890095,1.196803645059761,0.0019901230239443516,8.153522089167,0.000999000999000999,1.0,0.001998001998001998
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,5005,14323,run_preserving_circular_translation,1000,0.34943796690637435,0.3017965800814761,0.04764138682489827,1.1578592667022154,0.003508522155694054,13.578761857775378,0.000999000999000999,1.0,0.001998001998001998
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,2687,14323,run_preserving_circular_translation,1000,0.18760036305243316,0.15942825685466616,0.028172106197767,1.1767071079717601,0.002756531117702154,10.220129936806693,0.000999000999000999,1.0,0.001998001998001998
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,1399,14323,run_preserving_circular_translation,1000,0.09767506807233121,0.08220465304426874,0.01547041502806247,1.1881939094096214,0.00202512979494771,7.639221479362968,0.000999000999000999,1.0,0.001998001998001998
