level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.056763630825464484,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.04375230333097094,directional audit; books are not treated as independent replications
verse,exploratory,5,4,0.8,0.020543586109142448,directional audit; books are not treated as independent replications
