level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.032035398230088497,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.026128521684077255,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012843657817109153,directional audit; books are not treated as independent replications
