trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5600,15888,run_preserving_circular_translation,500,0.35246727089627394,0.30784944612286,0.04461782477341392,1.1449339127789346,0.0033711222770601997,13.23530299598716,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,2982,15888,run_preserving_circular_translation,500,0.18768882175226587,0.16091503021148038,0.02677379154078549,1.1663846534758027,0.002725619502834578,9.823011433892882,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1559,15888,run_preserving_circular_translation,500,0.09812437059415911,0.08291968781470292,0.015204682779456191,1.183366377517405,0.001995223282206957,7.62054197895986,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,5513,15651,run_preserving_circular_translation,500,0.35224586288416077,0.3075845433672507,0.04466131951691005,1.1452001424648481,0.00338528073419318,13.192796410001211,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,2935,15651,run_preserving_circular_translation,500,0.1875279534854003,0.1607397577409057,0.02678819574449459,1.1666556931588397,0.0027444942851223585,9.760703780551063,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1533,15651,run_preserving_circular_translation,500,0.09794901284262987,0.08285841257631005,0.015090600266319823,1.1821251433271407,0.0020189176226585305,7.474599308538589,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,5329,15039,run_preserving_circular_translation,500,0.3543453687080258,0.30724579572514504,0.047099572982880755,1.153296069916006,0.00342743239459494,13.741940776762446,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2845,15039,run_preserving_circular_translation,500,0.18917481215506352,0.15985424424966296,0.029320567905400552,1.183420640740744,0.0027393555227167347,10.703454758702552,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1484,15039,run_preserving_circular_translation,500,0.09867677372165702,0.08242011265077367,0.016256661070883346,1.197241432315984,0.0020178487827315,8.056431785179266,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,5083,14323,run_preserving_circular_translation,500,0.35488375340361655,0.30745641008296115,0.0474273433206554,1.1542571296785065,0.0035341562917969448,13.419707394021595,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,2687,14323,run_preserving_circular_translation,500,0.18760036305243316,0.15938012354164952,0.028220239510783646,1.1770624773258447,0.0028149729829084705,10.025048084698167,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,1399,14323,run_preserving_circular_translation,500,0.09767506807233121,0.08215333250388872,0.015521735568442496,1.1889361647953571,0.0020730727682772947,7.4873086010101435,0.001996007984031936,1.0,0.003992015968063872
