level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04486932849364794,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.02615003024803389,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012784828953891922,directional audit; books are not treated as independent replications
