level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04535649546827797,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.026236858006042307,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012782156133828992,directional audit; books are not treated as independent replications
