level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.05275313059033987,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.029011926058437665,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012949182501104717,directional audit; books are not treated as independent replications
