scope,level,metric_role,metric,eligible_blocks,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
ALL,minor,robustness,positive_block_difference_share,70,run_preserving_circular_translation,1000,0.8285714285714286,0.49577142857142853,0.3328000000000001,1.6712770862148458,0.057697989212655176,5.767965305921016,0.000999000999000999,1.0,0.001998001998001998
ALL,minor,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,1000,0.0390503741034961,-0.00016733246992003603,0.03921770657341613,-233.36997369462895,0.004250687533646162,9.226203117258045,0.000999000999000999,1.0,0.001998001998001998
ALL,major,robustness,positive_block_difference_share,70,run_preserving_circular_translation,1000,0.7714285714285715,0.4946285714285714,0.27680000000000005,1.5596118299445472,0.0588193776205892,4.705932146808515,0.000999000999000999,1.0,0.001998001998001998
ALL,major,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,1000,0.023753955260355716,-0.0002881267895862738,0.02404208204994199,-82.44271660564583,0.003293900541647019,7.2989702469645446,0.000999000999000999,1.0,0.001998001998001998
ALL,verse,exploratory,positive_block_difference_share,70,run_preserving_circular_translation,1000,0.7857142857142857,0.4917142857142857,0.294,1.597908192911098,0.058389263760121,5.035172240017139,0.000999000999000999,1.0,0.001998001998001998
ALL,verse,exploratory,median_block_hit_rate_difference,70,run_preserving_circular_translation,1000,0.013411458684958542,-0.00034524524376129613,0.01375670392871984,-38.846179425519544,0.002376118298372335,5.789570299653565,0.000999000999000999,1.0,0.001998001998001998
genesis,minor,robustness,positive_block_difference_share,18,run_preserving_circular_translation,1000,0.9444444444444444,0.4945,0.4499444444444444,1.9098977642961465,0.11718402484559211,3.8396397891036353,0.000999000999000999,1.0,0.001998001998001998
genesis,minor,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,1000,0.04619901835628931,-0.0002798551211273118,0.046478873477416624,-165.0819115626347,0.00860719533345773,5.400002169899039,0.000999000999000999,1.0,0.001998001998001998
genesis,major,robustness,positive_block_difference_share,18,run_preserving_circular_translation,1000,0.8333333333333334,0.49294444444444446,0.3403888888888889,1.6905218077313198,0.12047835469750276,2.825311565247864,0.008991008991008992,0.999000999000999,0.017982017982017984
genesis,major,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,1000,0.016245269747172858,-0.0004884426085970957,0.016733712355769953,-33.259321486781225,0.006577907462616319,2.5439263855369334,0.008991008991008992,0.9920079920079921,0.017982017982017984
genesis,verse,exploratory,positive_block_difference_share,18,run_preserving_circular_translation,1000,0.7777777777777778,0.49094444444444446,0.28683333333333333,1.5842480479800838,0.11895158004441021,2.4113452988707254,0.014985014985014986,0.998001998001998,0.029970029970029972
genesis,verse,exploratory,median_block_hit_rate_difference,18,run_preserving_circular_translation,1000,0.01101546907972245,-0.00039037805300828833,0.01140584713273074,-28.21743946627188,0.004781552802774016,2.3853855856435677,0.008991008991008992,0.9920079920079921,0.017982017982017984
exodus,minor,robustness,positive_block_difference_share,15,run_preserving_circular_translation,1000,0.8,0.4942,0.30580000000000007,1.6187778227438285,0.12730420260148523,2.4021202265983352,0.013986013986013986,0.999000999000999,0.027972027972027972
exodus,minor,robustness,median_block_hit_rate_difference,15,run_preserving_circular_translation,1000,0.03578292113001408,-0.00023838197245760733,0.03602130310247169,-150.1074966412468,0.009546636398946587,3.77319315381556,0.000999000999000999,1.0,0.001998001998001998
exodus,major,robustness,positive_block_difference_share,15,run_preserving_circular_translation,1000,0.7333333333333333,0.4938,0.23953333333333326,1.485081679492372,0.12756438025997346,1.8777446560330515,0.054945054945054944,0.987012987012987,0.10989010989010989
