level,n_segments,n_incomplete_trailing,word_count_n,word_count_unique,word_count_mean,word_count_median,word_count_min,word_count_max,word_count_entropy_norm,word_count_top1,word_count_top1_share,word_count_top3,word_count_top3_share,word_count_top5,word_count_top5_share,pulse_count_n,pulse_count_unique,pulse_count_mean,pulse_count_median,pulse_count_min,pulse_count_max,pulse_count_entropy_norm,pulse_count_top1,pulse_count_top1_share,pulse_count_top3,pulse_count_top3_share,pulse_count_top5,pulse_count_top5_share,accent_count_n,accent_count_unique,accent_count_mean,accent_count_median,accent_count_min,accent_count_max,accent_count_entropy_norm,accent_count_top1,accent_count_top1_share,accent_count_top3,accent_count_top3_share,accent_count_top5,accent_count_top5_share,density_mean,shape_top5,bucket_shape_top5,book,run_label
verse,1284,0,1284,28,12.77570093,12.0,3,30,0.91346289,11,0.0771028,11+9+13,0.21495327,11+9+13+10+14,0.34423676,1284,57,28.95950156,28.0,7,64,0.93960669,20,0.04127726,20+11+31,0.1152648,20+11+31+23+28,0.18302181,1284,27,11.26479751,11.0,2,28,0.88431218,12,0.08489097,12+9+8,0.24610592,12+9+8+7+10,0.39875389,0.38907071,P11_A4+P20_A9+P18_A7+P21_A8+P19_A7,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P10-12_A4,numbers,control_top200
major,2435,0,2435,24,6.73675565,6,1,25,0.8012838,5,0.15112936,5+6+4,0.39712526,5+6+4+3+7,0.61314168,2435,47,15.27063655,13,3,52,0.85924922,11,0.07556468,11+10+8,0.21067762,11+10+8+12+14,0.32648871,2435,19,5.94004107,5,1,19,0.81465234,3,0.14948665,3+5+4,0.44147844,3+5+4+6+7,0.66078029,0.39243525,P11_A4+P8_A3+P9_A3+P12_A5+P10_A4,P25+_A8++P19-24_A8++P7-9_A3+P10-12_A4+P16-18_A6-7,numbers,control_top200
minor,4495,0,4495,18,3.64938821,3,1,21,0.65568171,3,0.27919911,3+4+2,0.68031146,3+4+2+5+1,0.87608454,4495,34,8.27230256,8,1,36,0.75761131,7,0.14593993,7+6+8,0.38776418,7+6+8+5+9,0.57486096,4495,14,3.21779755,3,1,14,0.65223765,3,0.32880979,3+2+4,0.76774194,3+2+4+1+5,0.92614016,0.40371233,P7_A3+P8_A3+P5_A2+P6_A2+P6_A3,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A2,numbers,control_top200
