level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,4,0.8,0.027567445365486054,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,4,0.8,0.013160051216389218,directional audit; books are not treated as independent replications
verse,exploratory,5,4,0.8,0.0062662632375189015,directional audit; books are not treated as independent replications
