relation,n_parent_segments,child_count_mean,child_count_median,child_count_entropy_norm,child_count_top5,child_count_top5_share,child_count_1_share,child_count_2_share,child_count_3_share,partition_exact_share,top_child_pulse_sequences,top_child_accent_sequences,top_child_bucket_sequences,book,run_label
verse_contains_major,1284,1.89641745,2.0,0.48025023,2+1,1.0,0.10358255,0.89641745,0.0,1.0,11+8+13+20+33+17,4+3+5+5+2+3+3+5+4,P10-12_A4+P25+_A8+ | P16-18_A6-7+P25+_A8+ | P19-24_A8++P25+_A8+ | P10-12_A4+P25+_A8+ | P7-9_A3,numbers,main
major_contains_minor,2435,1.84599589,2,0.61533001,1+2+3+4+5,0.99876797,0.4201232,0.3724846,0.15728953,1.0,8+11+7+9+10,3+4+2+5+2+3,P7-9_A3+P10-12_A4+P5-6_A2+P7-9_A2+P10-12_A5,numbers,main
