book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
numbers,1,minor,robustness,1,200,80,run_preserving_circular_translation,500,0.4,0.3149975091553546,0.0850024908446454,1.2698513111185357,0.03330964350639518,2.5518883391329483,0.007984031936127744,0.9940119760479041,0.015968063872255488
numbers,1,major,robustness,1,200,56,run_preserving_circular_translation,500,0.28,0.18870807561541977,0.09129192438458025,1.483773278312847,0.02598102483791847,3.5137922754818596,0.001996007984031936,1.0,0.003992015968063872
numbers,1,verse,exploratory,1,200,32,run_preserving_circular_translation,500,0.16,0.10111816229552385,0.05888183770447615,1.5823072370756746,0.020773716336476945,2.8344392861995744,0.011976047904191617,0.9900199600798403,0.023952095808383235
numbers,2,minor,robustness,1,207,59,run_preserving_circular_translation,500,0.28502415458937197,0.333021304400979,-0.04799714981160702,0.8558736357785225,0.031053811477032654,-1.5456121979456734,0.9401197604790419,0.06187624750499002,0.12375249500998003
numbers,2,major,robustness,1,207,35,run_preserving_circular_translation,500,0.16908212560386474,0.17415895439575063,-0.005076828791885896,0.9708494529638163,0.025449685257608077,-0.19948493431242725,0.5568862275449101,0.44510978043912175,0.8902195608782435
numbers,2,verse,exploratory,1,207,19,run_preserving_circular_translation,500,0.09178743961352658,0.08999987358791571,0.001787566025610865,1.0198618726265731,0.019744805260771128,0.09053348473192549,0.4750499001996008,0.530938123752495,0.9500998003992016
numbers,3,minor,robustness,1,184,47,run_preserving_circular_translation,500,0.2554347826086957,0.28359095324758116,-0.02815617063888548,0.9007155541583708,0.030761112265672425,-0.9153170534183218,0.810379241516966,0.19161676646706588,0.38323353293413176
numbers,3,major,robustness,1,184,25,run_preserving_circular_translation,500,0.1358695652173913,0.1463788222149659,-0.0105092569975746,0.9282050720278296,0.024347556266004846,-0.4316349814641603,0.6586826347305389,0.34331337325349304,0.6866267465069861
numbers,3,verse,exploratory,1,184,17,run_preserving_circular_translation,500,0.09239130434782608,0.08141252886228223,0.010978775485543851,1.1348536354166763,0.018370970970924917,0.5976154174387173,0.27944111776447106,0.7305389221556886,0.5588822355289421
numbers,4,minor,robustness,1,217,54,run_preserving_circular_translation,500,0.2488479262672811,0.2602235185271158,-0.011375592259834671,0.9562853030186458,0.03078108456037305,-0.36956437443011286,0.6347305389221557,0.36926147704590817,0.7385229540918163
numbers,4,major,robustness,1,217,23,run_preserving_circular_translation,500,0.10599078341013825,0.14006276764987907,-0.034071984239740824,0.7567377482864538,0.023532978976597313,-1.4478398282522653,0.9281437125748503,0.07385229540918163,0.14770459081836326
numbers,4,verse,exploratory,1,217,19,run_preserving_circular_translation,500,0.08755760368663594,0.08436933727350938,0.003188266413126556,1.037789397382497,0.018690703809928863,0.17058032942734275,0.4431137724550898,0.5588822355289421,0.8862275449101796
