excluded_book,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
NONE,minor,robustness,4108,12574,run_preserving_circular_translation,500,0.3267059010656911,0.30806934945124864,0.018636551614442443,1.0604946634504178,0.0040782045358323075,4.569793263357981,0.001996007984031936,1.0,0.003992015968063872
NONE,major,robustness,2169,12574,run_preserving_circular_translation,500,0.1724988070621918,0.16110959121997775,0.011389215842214057,1.0706923514358826,0.0031872146436946313,3.573407227136618,0.001996007984031936,1.0,0.003992015968063872
NONE,verse,exploratory,1120,12574,run_preserving_circular_translation,500,0.0890726896771115,0.08300874821059329,0.006063941466518216,1.073051836068338,0.002387548451250379,2.5398192289427595,0.011976047904191617,0.9900199600798403,0.023952095808383235
genesis,minor,robustness,3076,9483,run_preserving_circular_translation,500,0.3243699251291785,0.3053470420752926,0.019022883053885886,1.062299221648249,0.0046878099946424555,4.057946690592519,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,1622,9483,run_preserving_circular_translation,500,0.17104291890751872,0.16001855952757565,0.01102435937994306,1.068894254594532,0.003627329535629837,3.039249473105517,0.005988023952095809,0.998003992015968,0.011976047904191617
genesis,verse,exploratory,831,9483,run_preserving_circular_translation,500,0.08763049667826638,0.0827396393546346,0.004890857323631773,1.059111416991665,0.002730774850299861,1.7910144892006448,0.033932135728542916,0.9680638722554891,0.06786427145708583
exodus,minor,robustness,3295,9990,run_preserving_circular_translation,500,0.32982982982982983,0.3079881881881882,0.02184164164164165,1.0709171405894822,0.004613577447994172,4.734209382599107,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,1742,9990,run_preserving_circular_translation,500,0.17437437437437436,0.1611375375375375,0.013236836836836852,1.082146202797429,0.0035816094237370918,3.6957789839142725,0.001996007984031936,1.0,0.003992015968063872
exodus,verse,exploratory,903,9990,run_preserving_circular_translation,500,0.09039039039039039,0.08317417417417416,0.007216216216216223,1.0867602989493448,0.002646586638909384,2.726612501599385,0.011976047904191617,0.9900199600798403,0.023952095808383235
leviticus,minor,robustness,3530,10718,run_preserving_circular_translation,500,0.329352491136406,0.30975032655346146,0.01960216458294456,1.0632837576026295,0.004487813245805426,4.36786548577214,0.001996007984031936,1.0,0.003992015968063872
leviticus,major,robustness,1870,10718,run_preserving_circular_translation,500,0.17447284941220376,0.16094084717298002,0.01353200223922374,1.0840805953051773,0.003384749386175811,3.9979332870232356,0.001996007984031936,1.0,0.003992015968063872
leviticus,verse,exploratory,988,10718,run_preserving_circular_translation,500,0.0921813771225975,0.08302015301362195,0.009161224108975546,1.1103494004338004,0.002550129386880197,3.5924546245017384,0.003992015968063872,1.0,0.007984031936127744
numbers,minor,robustness,3221,9842,run_preserving_circular_translation,500,0.32727087990245884,0.30731030278398697,0.01996057711847188,1.064952515218803,0.004507211800367744,4.428586452680856,0.001996007984031936,1.0,0.003992015968063872
numbers,major,robustness,1648,9842,run_preserving_circular_translation,500,0.16744564112985166,0.15915342410079253,0.008292217029059135,1.0521020334680806,0.003619264467523674,2.291133213244493,0.00998003992015968,0.9920159680638723,0.01996007984031936
numbers,verse,exploratory,838,9842,run_preserving_circular_translation,500,0.08514529567161146,0.08140499898394636,0.0037402966876650956,1.0459467690479636,0.002647135969652814,1.412959791466872,0.10578842315369262,0.9041916167664671,0.21157684630738524
deuteronomy,minor,robustness,3310,10263,run_preserving_circular_translation,500,0.3225177823248563,0.3096361687615707,0.012881613563285599,1.0416024187833328,0.004376835772732726,2.9431338602048625,0.003992015968063872,0.998003992015968,0.007984031936127744
deuteronomy,major,robustness,1794,10263,run_preserving_circular_translation,500,0.17480268927214265,0.16414264834843612,0.010660040923706537,1.064943760996702,0.0034951227161157477,3.049976149493662,0.003992015968063872,0.998003992015968,0.007984031936127744
deuteronomy,verse,exploratory,920,10263,run_preserving_circular_translation,500,0.08964240475494495,0.08462243008866803,0.005019974666276919,1.0593220338983051,0.0026873184486536066,1.8680237426986048,0.031936127744510975,0.9720558882235529,0.06387225548902195
