level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.013866764275256183,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,4,0.8,0.012508573277256546,directional audit; books are not treated as independent replications
verse,exploratory,5,4,0.8,0.009662892267874479,directional audit; books are not treated as independent replications
