level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.044456014362657115,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.027330939557151407,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.01320915510104699,directional audit; books are not treated as independent replications
