trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5682,16095,run_preserving_circular_translation,500,0.35302889095992546,0.30787735321528426,0.0451515377446412,1.146654300074708,0.003629043369760936,12.441718972241318,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,3027,16095,run_preserving_circular_translation,500,0.18807082945013978,0.160981174277726,0.027089655172413768,1.1682784045647379,0.0028234984061831616,9.59435823058738,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1588,16095,run_preserving_circular_translation,500,0.09866418142280212,0.082933706119913,0.01573047530288911,1.1896752965572837,0.002007460323636034,7.836008073323769,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,5597,15852,run_preserving_circular_translation,500,0.35307847590209435,0.307635224550006,0.04544325135208832,1.1477179715637587,0.003665518344194289,12.397496638930917,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,2983,15852,run_preserving_circular_translation,500,0.18817814786777692,0.16080675392247773,0.027371393945299194,1.1702129623143471,0.002845417907105581,9.619463586332017,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1563,15852,run_preserving_circular_translation,500,0.09859954579863739,0.08287490501730799,0.015724640781329402,1.1897394727396116,0.002040415907105315,7.706586057563891,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,5363,15144,run_preserving_circular_translation,500,0.3541336502905441,0.30787883986746345,0.04625481042308066,1.150237055729431,0.003747610008611675,12.342482359901702,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2850,15144,run_preserving_circular_translation,500,0.1881933438985737,0.16070178529606807,0.027491558602505628,1.1710718928968755,0.00290445238217913,9.465315655090711,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1490,15144,run_preserving_circular_translation,500,0.09838880084521923,0.08280353102047931,0.015585269824739914,1.1882198697647965,0.002104866743648452,7.40439739084163,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,5167,14518,run_preserving_circular_translation,500,0.35590301694448273,0.30829331849950775,0.04760969844497498,1.1544298743699533,0.003813229588229683,12.485400457379251,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,2738,14518,run_preserving_circular_translation,500,0.18859347017495523,0.1597665153251071,0.028826954849848124,1.1804317681410805,0.0029412886757916043,9.800790751043767,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,1424,14518,run_preserving_circular_translation,500,0.0980851356936217,0.08214314936190205,0.015941986331719657,1.1940756649283468,0.0021467875627809007,7.425972931885614,0.001996007984031936,1.0,0.003992015968063872
