scope,metric,fully_represented_verses,eligible_positions,marked_positions,permutations,observed,null_mean,difference,null_sd,z,p_enrich,p_deplete,p_two_sided,null_q025,null_q975
genesis,activity_coverage,1530,18103,6870,5000,0.9810457516339869,0.9848087581699346,-0.003763006535947744,0.00294421075151636,-1.2781036595324158,0.9118176364727054,0.1221755648870226,0.2443511297740452,0.9790849673202614,0.9901960784313726
genesis,burst_end_coverage,1530,18103,4033,5000,0.9705882352941176,0.9188130718954249,0.0517751633986927,0.00608289481963704,8.511599318066471,0.0001999600079984003,1.0,0.0003999200159968006,0.9065359477124183,0.930718954248366
exodus,activity_coverage,1206,14604,5896,5000,0.9825870646766169,0.987886567164179,-0.005299502487562058,0.003051778189753395,-1.7365293799384203,0.9608078384323135,0.06418716256748651,0.12837432513497302,0.9817578772802653,0.9933665008291874
exodus,burst_end_coverage,1206,14604,3306,5000,0.9734660033167496,0.9228535655058042,0.050612437810945377,0.006776691886111656,7.468605428951542,0.0001999600079984003,1.0,0.0003999200159968006,0.9096185737976783,0.9361525704809287
leviticus,activity_coverage,857,10312,4305,5000,0.9813302217036173,0.9882632438739791,-0.006933022170361847,0.0035447304004303823,-1.9558672697703825,0.9768046390721855,0.039192161567686463,0.07838432313537293,0.9813302217036173,0.9953325554259043
leviticus,burst_end_coverage,857,10312,2362,5000,0.9766627771295215,0.9225701283547257,0.054092648774795804,0.00797510178217015,6.782690710697907,0.0001999600079984003,1.0,0.0003999200159968006,0.9066511085180864,0.9381563593932322
numbers,activity_coverage,1286,14435,6140,5000,0.9852255054432348,0.9820340590979783,0.0031914463452565878,0.003506387080348394,0.9101808420248589,0.21675664867026595,0.8508298340331933,0.4335132973405319,0.9743390357698289,0.9883359253499222
numbers,burst_end_coverage,1286,14435,3342,5000,0.973561430793157,0.9016667185069985,0.07189471228615851,0.007037960837555724,10.215275979160957,0.0001999600079984003,1.0,0.0003999200159968006,0.8880054432348367,0.9152410575427683
deuteronomy,activity_coverage,955,12670,5066,5000,0.981151832460733,0.9891346596858639,-0.007982827225130884,0.0032356245761663758,-2.4671673234071787,0.9938012397520496,0.015996800639872025,0.03199360127974405,0.9821989528795811,0.9947643979057592
deuteronomy,burst_end_coverage,955,12670,2840,5000,0.9717277486910995,0.9320536125654449,0.03967413612565451,0.007147143573466844,5.5510478721795,0.0001999600079984003,1.0,0.0003999200159968006,0.9172774869109948,0.9455497382198953
ALL,activity_coverage,5834,70124,28277,5000,0.9823448748714433,0.9860489544052107,-0.0037040795337673904,0.0014616848174791336,-2.5341164452645537,0.9944011197760448,0.008398320335932814,0.016796640671865627,0.9830305107987659,0.9888584161810079
ALL,burst_end_coverage,5834,70124,15883,5000,0.9729173808707576,0.9185880356530682,0.054329345217689395,0.0031082463214037476,17.47909901592135,0.0001999600079984003,1.0,0.0003999200159968006,0.9122386013027083,0.9245800479945149
