book,model,relation,reset_taamim,n_words,n_pulses,n_accents,n_intervals,unique_intervals,mean_interval,median_interval,entropy_norm,top1_interval,top1_share,top3_intervals,top3_share,top5_intervals,top5_share,null_model,null_top3_mean,null_top3_sd,top3_z,top3_empirical_p,top3_empirical_p_tail,null_entropy_mean,null_entropy_sd,entropy_z,entropy_empirical_p,entropy_empirical_p_tail
exodus,continuous,continuous,none,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
exodus,sof_only,within,sof_pasuq,16701,37520,14626,13421,8,2.548245,2,0.67035686,2,0.40980553,2+3+1,0.84188958,2+3+1+4+5,0.99172938,cyclic_shift,0.83696058,0.00075899,6.49411,0.00199601,upper,0.67301345,0.00361192,-0.735507,0.00598802,lower
exodus,sof_only,cross_reset,sof_pasuq,16701,37520,14626,1204,6,2.756645,3.0,0.79690567,3,0.34302326,3+2+4,0.85714286,3+2+4+1+5,0.99335548,cyclic_shift,0.8422309,0.0085316,1.747851,0.04391218,upper,0.72505055,0.02964938,2.423495,0.99800399,lower
exodus,sof_only,all,sof_pasuq,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
exodus,major,within,atnah+atnah_hafukh+sof_pasuq,16701,37520,14626,12276,8,2.539752,2.0,0.66572589,2,0.41528185,2+3+1,0.84693711,2+3+1+4+5,0.99177256,cyclic_shift,0.83721962,0.0011576,8.394544,0.00199601,upper,0.67371576,0.00672749,-1.187645,0.00199601,lower
exodus,major,cross_reset,atnah+atnah_hafukh+sof_pasuq,16701,37520,14626,2349,7,2.699447,3,0.74939553,2,0.34653044,2+3+4,0.83226905,2+3+4+1+5,0.99233716,cyclic_shift,0.84033972,0.00594663,-1.357185,0.9261477,upper,0.70740093,0.02532543,1.658199,0.95608782,lower
exodus,major,all,atnah+atnah_hafukh+sof_pasuq,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
exodus,major_minor,within,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16701,37520,14626,10117,8,2.526243,2,0.64824912,2,0.43204507,2+3+1,0.85736879,2+3+1+4+5,0.99347633,cyclic_shift,0.83752239,0.00172136,11.529478,0.00199601,upper,0.67666153,0.01295578,-2.193029,0.00199601,lower
exodus,major_minor,cross_reset,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16701,37520,14626,4508,7,2.653283,3.0,0.76712755,2,0.34183673,2+3+4,0.79813665,2+3+4+1+5,0.98824312,cyclic_shift,0.83902351,0.00388574,-10.522282,1.0,upper,0.69403544,0.02325983,3.142418,0.99600798,lower
exodus,major_minor,all,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
