book,run_label,model,comparator,observed_f1_difference,null_mean,null_sd,z,empirical_p_one_sided,permutations,cluster_unit,nonzero_clusters
genesis,control_include_edges,current_only,structure,0.19810978,-6.688e-05,0.01603105,12.362049,0.00019996,5000,major_unit,990
genesis,control_include_edges,adjacent_only,structure,0.37549982,-0.00019077,0.01663818,22.580035,0.00019996,5000,major_unit,1042
genesis,control_include_edges,local_taam,structure,0.42275536,0.00027946,0.0167639,25.201526,0.00019996,5000,major_unit,1033
genesis,control_include_edges,local_taam,adjacent_only,0.04725554,8.244e-05,0.00730812,6.454888,0.00019996,5000,major_unit,348
genesis,control_include_edges,structure_current,structure,0.29843693,8.957e-05,0.01238687,24.08578,0.00019996,5000,major_unit,801
genesis,control_include_edges,structure_local,structure,0.42130134,-8.433e-05,0.01608198,26.202344,0.00019996,5000,major_unit,973
genesis,control_include_edges,structure_local,structure_current,0.12286441,-2.385e-05,0.00865321,14.201466,0.00019996,5000,major_unit,453
exodus,control_include_edges,current_only,structure,0.16859657,-7.392e-05,0.01777386,9.489809,0.00019996,5000,major_unit,814
exodus,control_include_edges,adjacent_only,structure,0.36220472,-0.00054451,0.01787455,20.294178,0.00019996,5000,major_unit,858
exodus,control_include_edges,local_taam,structure,0.39879574,2.816e-05,0.01854092,21.507431,0.00019996,5000,major_unit,834
exodus,control_include_edges,local_taam,adjacent_only,0.03659101,-0.00026308,0.00953035,3.867023,0.00019996,5000,major_unit,322
exodus,control_include_edges,structure_current,structure,0.28716999,6.262e-05,0.01471927,19.505542,0.00019996,5000,major_unit,639
exodus,control_include_edges,structure_local,structure,0.41639648,-0.0002994,0.01765484,23.60236,0.00019996,5000,major_unit,779
exodus,control_include_edges,structure_local,structure_current,0.12922649,7.874e-05,0.00993642,12.997409,0.00019996,5000,major_unit,362
leviticus,control_include_edges,current_only,structure,0.13068182,0.00023665,0.02046515,6.374013,0.00019996,5000,major_unit,499
leviticus,control_include_edges,adjacent_only,structure,0.36576705,3.182e-05,0.0217637,16.804826,0.00019996,5000,major_unit,590
leviticus,control_include_edges,local_taam,structure,0.41193182,0.00018352,0.022523,18.281238,0.00019996,5000,major_unit,589
leviticus,control_include_edges,local_taam,adjacent_only,0.04616477,-0.00028551,0.01097517,4.232305,0.00019996,5000,major_unit,203
leviticus,control_include_edges,structure_current,structure,0.29545455,-0.0002642,0.01789581,16.524471,0.00019996,5000,major_unit,407
leviticus,control_include_edges,structure_local,structure,0.42329545,-0.00033608,0.02092177,20.248363,0.00019996,5000,major_unit,537
leviticus,control_include_edges,structure_local,structure_current,0.12784091,-0.00014972,0.01233093,10.379638,0.00019996,5000,major_unit,257
numbers,control_include_edges,current_only,structure,0.15194175,0.0003101,0.0176959,8.568747,0.00019996,5000,major_unit,771
numbers,control_include_edges,adjacent_only,structure,0.34223301,-4.99e-05,0.01843178,18.570255,0.00019996,5000,major_unit,802
numbers,control_include_edges,local_taam,structure,0.39466019,-4.951e-05,0.01847586,21.363532,0.00019996,5000,major_unit,791
numbers,control_include_edges,local_taam,adjacent_only,0.05242718,-7.612e-05,0.00985062,5.329951,0.00019996,5000,major_unit,366
numbers,control_include_edges,structure_current,structure,0.28932039,0.00012311,0.01478166,19.564605,0.00019996,5000,major_unit,607
numbers,control_include_edges,structure_local,structure,0.4,0.00027883,0.01816576,22.004098,0.00019996,5000,major_unit,721
numbers,control_include_edges,structure_local,structure_current,0.11067961,6.485e-05,0.00941589,11.747667,0.00019996,5000,major_unit,285
deuteronomy,control_include_edges,current_only,structure,0.21076923,0.00013928,0.01995249,10.556574,0.00019996,5000,major_unit,751
deuteronomy,control_include_edges,adjacent_only,structure,0.37282051,-1.641e-05,0.01935075,19.267312,0.00019996,5000,major_unit,711
deuteronomy,control_include_edges,local_taam,structure,0.41230769,-0.00017703,0.02024141,20.378258,0.00019996,5000,major_unit,723
deuteronomy,control_include_edges,local_taam,adjacent_only,0.03948718,-0.000136,0.01024111,3.86903,0.00019996,5000,major_unit,313
deuteronomy,control_include_edges,structure_current,structure,0.29846154,-0.00016779,0.01616992,18.468196,0.00019996,5000,major_unit,547
deuteronomy,control_include_edges,structure_local,structure,0.41076923,0.00028451,0.01907618,21.518183,0.00019996,5000,major_unit,676
deuteronomy,control_include_edges,structure_local,structure_current,0.11230769,0.00012021,0.00968045,11.589081,0.00019996,5000,major_unit,288
