level,metric_role,books,books_positive_difference,positive_book_share,median_book_difference,interpretation
minor,descriptive_robustness,5,5,1.0,0.04290264187866921,directional audit; books are not treated as independent replications
major,descriptive_robustness,5,5,1.0,0.024067368421052643,directional audit; books are not treated as independent replications
verse,exploratory,5,5,1.0,0.012111545988258324,directional audit; books are not treated as independent replications
